REQUIREMENT_ID,CURRENT_STATUS_IN_MATRIX,NEW_CLASSIFICATION,ACTUAL_MISSING_SOURCE,PRIMARY_OWNER,RATIONALE
PCA-FR-063,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"None structural -- opaque storage, deterministic local transition logic, local Android receiver/runtime/alert delivery all exist and are tested. Feature is non-functional end-to-end only because ParentActionAuthorizationService is bound to UnavailableTrustSetRoleResolver (deliberate fail-closed placeholder), which denies every request.",Coordinator (gate),"All source-level pieces required by the requirement exist and are tested. The only blocker is the intentional trust-set activation gate -- same posture as other trust-set-gated PCA surfaces, not a coding gap. See SAFE_ZONE_ACTOR_IDENTITY finding below before activating."
PCA-FR-091,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"Geofence-policy slice only (other 5 policy-page domains -- screen-time/content/app-limits/bedtime/YouTube -- were out of scope of this pass, covered by other requirement IDs)",Coordinator (gate),"UI page, encrypted authoring, and transport client all exist and are tested for the geofence slice; same trust-set activation gate as FR-063 blocks end-to-end exercise, not missing source."
PCA-FR-135,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"None beyond the same trust-set activation gate as FR-063/091. Matrix's own language (""does not claim end-to-end authoring or device delivery"") is an honest self-scoping, not evidence of a coding gap.",Coordinator (gate),"Identical underlying capability set to FR-063 (explicitly cross-referenced in the requirement text). Local alert generation exists and is tested."
PCA-FR-021,PARTIAL,SOURCE_COMPLETE_VALIDATION_PENDING,"On-screen eye-rest ""shield"" presentation UI -- no Compose NavHost exists anywhere in android/app/src/main, so no delivery UI is wired to any screen (app-wide UI-assembly gap, not camera-specific)",Writer D,EyeDistanceEngine state machine and hardware-tier proximity trigger are genuinely wired and reachable via PcaRuntime.applyEyeDistanceEvent. Missing piece is UI delivery/E2E validation on a device.
PCA-FR-023,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"Same camera-session adapter + composition-root wiring gap as FR-024 (grouped, tracked once under FR-024)",Writer D,"Requirement is a negative constraint (must not claim medical-precision distance); FaceProximityClassifier structurally can only emit NEAR/FAR/UNKNOWN, so it cannot violate this by construction. Algorithm exists and is unit-tested."
PCA-FR-024,NOT_STARTED,REAL_SOURCE_GAP,"(1) A concrete EphemeralCameraFrameSource adapter (CameraX/Camera2) does not exist anywhere in src/main; (2) CameraProximitySource is never added to PcaAppGraph's PrioritizedProximitySource list (only hardwareProximitySource is composed)",Writer D,"Matrix's ""no algorithm exists"" (lines 866-880) is false/stale. AndroidFaceGeometryDetector + FaceProximityClassifier + OnDeviceApproximateFaceProximityEstimator are real, on-device-only, non-frame-retaining, and unit-tested. The real gap is narrower: camera adapter + one composition-root wiring line, not an absent algorithm. Recommend relabeling from NOT_STARTED to PARTIAL with this narrow scope."
PCA-PRIV-001,PARTIAL,SOURCE_COMPLETE_VALIDATION_PENDING,"EyeDistanceCameraPermissionScreen never composed/invoked anywhere -- depends on FR-024's camera tier being activated first",Writer D,"Correct disclosure copy (proximity-only, no image storage/upload, declinable) exists in source; unreachable only because the upstream camera capability is dormant, consistent with matrix's own note."
PCA-FR-080,PARTIAL,SOURCE_COMPLETE_VALIDATION_PENDING,"CameraPermissionStateTracker exists but is never instantiated in PcaAppGraph -- trivial, well-scoped wiring gap on the camera sub-case only; gated on FR-024 camera tier existing at all",Writer D,"3 of 4 capability-loss classes (Usage Access, VPN, Device Policy) are genuinely wired and reachable. Only the camera-permission-loss sub-case is unwired, and it's a one-line composition fix, not an architectural gap."
PCA-ADD-ENR-009,PARTIAL,OWNER_DECISION_REQUIRED,N/A -- gate is live and correctly blocks provisioning pending PCA-DEC-002/014/015,Owner,"DeviceOwnerAuthorityGate reads live authority state and correctly reports PENDING_OWNER_DECISION; matrix's own externalGate field already reflects this correctly. Not stale."
PCA-ADD-ENR-021,PARTIAL,SOURCE_COMPLETE_VALIDATION_PENDING,"Real-device validation that TelecomManager.getSystemDialerPackage() etc. resolve correctly across OEMs",Writer D,"EmergencyAccessFloor is genuinely the sole, first-line chokepoint every schedule-driven enforcement decision funnels through (confirmed via ScheduleEvaluator/ScheduleEnforcementConsumer/ProductionScheduleRuntimePort). Logic complete and wired; remaining need is OEM-diversity device validation."
PCA-NFR-025,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"Real, approved EnvelopeDecryptor and something calling localFamilyDataStore.put(...) -- both intentionally withheld pending the PCA-DEC-020 crypto-suite security review (same gate as sibling NFR-024)",Coordinator (gate),"Child-side offline enforcement is fully implemented/tested/reachable (ScheduleRuntime lastKnownGoodPolicy, 9-day offline staleness test). Parent-side outage-viewing fails closed honestly (throws rather than serving stale/fake data) pending the same crypto gate. Also: matrix's own cited evidence files for this row are wrong (point at unrelated retention/export files) -- fix the citation regardless of final status."
PCA-FR-113,PARTIAL,REAL_SOURCE_GAP,"Wire translate() into backend/src/retention/engine.ts (PurgePlanEntry.reason), backend/src/export/types.ts (ExportOutcomeKind), backend/src/retention/deletionStateMachine.ts, and backend/src/commercialnotifications/CommercialNotificationService.ts -- currently zero references to translate/i18n/locale/MessageId in any of these",Writer E,"EN/AR message tables for deletion confirmations and export outcomes are fully defined (backend/src/i18n/messages/{en,ar}.ts) but never consumed by the actual notice-generation code -- dead localization data, not wired output. Matrix's own honest note already flags this correctly; confirmed genuine, not stale."
PCA-FR-053,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"An actual compliant Restricted Mode signal integration requiring a real YouTube/platform API partnership/terms review -- currently and correctly absent",Coordinator (gate),"defaultYouTubeSafeContentCapability() correctly returns UNSUPPORTED/UNAVAILABLE by construction; a dedicated regression test (SafeContentCapability.test.mjs) guards against ever introducing scraping/watch-history-monitoring/TLS-interception. No violation found -- this is the honest unavailable-capability outcome the architecture calls for."
PCA-FR-137,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"Deployed log/metrics pipeline configuration (reverse proxy / container log shipping) -- infra-level, not found anywhere in this repo beyond a plain Dockerfile",Coordinator (gate),"Unusually strong source proof: type-level exclusion of plaintext fields, Fastify logger explicitly disabled (source-guarded), empirical stdio-capture test across success+error paths proving no leak, whole-directory scan confirming zero console/log call sites, dedicated mutation tests. Nothing left to build in-repo."
PCA-NFR-014,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"None -- do NOT build a telemetry ingestion route/table. Only a formal product/privacy-owner sign-off to ever activate optional telemetry remains.",Owner (gate),"Consent module defaults off, has explicit distinct grant/revoke, enforces an allowlisted aggregate-only event shape, and a dedicated static-scan regression test (noTelemetryEndpoint.test.mjs) proves zero ingestion routes exist anywhere in the product. Building infrastructure here would violate NFR-014/PRIV-002, not satisfy it."
PCA-NFR-051,PARTIAL,REAL_SOURCE_GAP,"85/375 matrix rows (23%) have no testEvidence entry at all; 38/375 rows have no sourceEvidence entry at all -- continue backfilling both fields per row",Coordinator,"Measured directly from docs/implementation/PCA_COMPLETION_V2_MATRIX.json. Quantifiable, genuine, whole-matrix gap -- not explainable away as intentional absence like the telemetry rows."
PCA-NFR-060,PARTIAL,SOURCE_COMPLETE_VALIDATION_PENDING,"Formal audit sign-off that every backend notice/producer is catalogued -- no concrete undisclosed producer was found after checking doc 10's full activity-entity list, alerts, device-status, and third-party SDK dependencies (none integrated yet)",Coordinator,"Every enumerable child-activity producer traces to a disclosed Transparency.tsx category. Remaining work is a review/sign-off task, not new code or new disclosure infrastructure."
PCA-ADD-PA-041,PARTIAL,REAL_SOURCE_GAP,"(1) subscriptionsByStatus groups only by status despite billing_subscriptions.plan_id already existing in schema -- trivial one-line query-level fix, no new table; (2) operationalSignals (crash/error rate, capability-activation failure, latency buckets) has genuinely no underlying data source anywhere in the repo -- requires doc 27's observability pipeline, which has never been built at all",Writer E (item 1) / Owner (item 2 -- new pipeline),"Everything else in PA-041 (account totals/growth, active/suspended, entitlement utilization, request aging, invoice/payment-by-currency, settlement summary, exception queues) is source-complete and MySQL-tested. Do not invent new dashboard tables -- item 1 is a query fix against existing data; item 2 is honestly marked UNAVAILABLE pending a real, currently-nonexistent observability pipeline, correctly deferred rather than faked."
