KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED,SEVERITY
accessibility.seo.title,/ar/accessibility/,Accessibility,seo,PCA Accessibility — Designing for More Families,إمكانية الوصول في PCA — تصميم يخدم أسرًا أكثر,NONE,NONE,SEO_METADATA,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
brand.homeLink,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",brand,PCA home,الصفحة الرئيسية لـ PCA,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
contact.categories.items,/ar/contact/,Contact,categories,"[1] General inquiry
[2] Technical support
[3] Privacy question
[4] Partnership
[5] Accessibility
[6] Report security concern","[1] استفسار عام
[2] دعم فني
[3] سؤال عن الخصوصية
[4] شراكة
[5] إمكانية الوصول
[6] الإبلاغ عن مشكلة أمنية",NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
contact.categories.title,/ar/contact/,Contact,categories,Categories,الفئات,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
contact.hero.body,/ar/contact/,Contact,hero,"Choose the topic that best matches your question. Please do not include private information about your child unless PCA has specifically requested a safe, necessary detail.",اختر الموضوع الأقرب إلى استفسارك. يرجى عدم إدخال معلومات خاصة عن طفلك إلا إذا طلب فريق PCA معلومة محددة وضرورية بطريقة آمنة.,NONE,NONE,BODY_COPY,MEDIUM,REVISE_MEDIUM,اختر الموضوع الأقرب إلى استفسارك. يُرجى عدم تضمين معلومات خاصة عن طفلك إلا إذا طلبت PCA تحديدًا معلومة ضرورية بطريقة آمنة.,النص الحالي يضيف «فريق PCA» رغم أن المصدر يقول PCA فقط. المقترح يحافظ على الجهة والشرط كما وردا في الإنجليزية.,NO,MEDIUM
contact.hero.title,/ar/contact/,Contact,hero,How can we help?,كيف يمكننا مساعدتك؟,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
contact.privacyNote.body,/ar/contact/,Contact,privacyNote,"Please do not include child messages, browsing history, precise location, photos, videos or other sensitive child content.",يرجى عدم تضمين رسائل الطفل أو سجل التصفح أو الموقع الدقيق أو الصور أو الفيديوهات أو أي محتوى حساس آخر.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
contact.privacyNote.title,/ar/contact/,Contact,privacyNote,Privacy note,تنبيه الخصوصية,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
contact.seo.description,/ar/contact/,Contact,seo,"PCA is not able to receive messages yet. Support, privacy, accessibility and security contact channels will be published before PCA opens to families.",لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل أن تُفتح PCA للأسر.,NONE,NONE,SEO_METADATA,MEDIUM,REVISE_LOW,لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل إتاحة PCA للأسر.,تحسين الصياغة الطبيعية مع الحفاظ على حالة الإطلاق.,NO,LOW
contact.seo.title,/ar/contact/,Contact,seo,Contact PCA — Channels Opening Before Launch,تواصل مع PCA — الدعم والخصوصية والاستفسارات,NONE,NONE,SEO_METADATA,MEDIUM,REVISE_MEDIUM,التواصل مع PCA — قنوات ستُفتح قبل الإطلاق,العنوان العربي الحالي يحذف المعلومة الأساسية في المصدر: أن القنوات ستفتح قبل الإطلاق.,NO,MEDIUM
cta.access,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Learn About Access,تعرّف على إتاحة PCA,NONE,NONE,CTA,HIGH,REVISE_LOW,تعرّف على خيارات الوصول إلى PCA,«إتاحة PCA» ثقيلة وغير طبيعية كزر؛ المقترح واضح للوالد ولا يخلط مع مصطلح إمكانية الوصول.,NO,LOW
cta.allFaqs,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,View All FAQs,جميع الأسئلة الشائعة,NONE,NONE,CTA,HIGH,REVISE_LOW,عرض جميع الأسئلة الشائعة,يحوّل النص إلى دعوة إجراء فعلية بدل اسم قسم فقط.,NO,LOW
cta.childSafety,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Read Our Child Safety Principles,اقرأ مبادئ سلامة الطفل,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.createAccount,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Create Account,إنشاء حساب,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.exploreFeatures,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Explore Features,استكشف المزايا,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.getStarted,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Get Started,ابدأ الآن,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.howPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,How PCA Works,كيف تعمل PCA؟,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.login,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Sign In,تسجيل الدخول,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.pcaParent,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,PCA Parent,PCA Parent,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.privacyHandling,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,See How PCA Handles Privacy,كيف تتعامل PCA مع الخصوصية؟,NONE,NONE,CTA,HIGH,REVISE_LOW,تعرّف على كيفية تعامل PCA مع الخصوصية,دعوة إجراء أكثر طبيعية واتساقًا مع المصدر الإنجليزي.,NO,LOW
cta.seeHowPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,See How PCA Works,تعرّف على طريقة عمل PCA,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
cta.whyPca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Why PCA,لماذا PCA؟,NONE,NONE,CTA,HIGH,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
footer.group.help,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Help,المساعدة,NONE,NONE,FOOTER_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
footer.group.legal,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Legal,الشؤون القانونية,NONE,NONE,FOOTER_CHROME,LOW,REVISE_LOW,المعلومات القانونية,«الشؤون القانونية» يوحي بقسم إداري داخل مؤسسة؛ «المعلومات القانونية» أنسب لمجموعة روابط في التذييل.,NO,LOW
footer.group.pca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,PCA,PCA,NONE,NONE,FOOTER_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
footer.group.trust,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Trust,الثقة والخصوصية,NONE,NONE,FOOTER_CHROME,LOW,REVISE_LOW,الثقة,المصدر الإنجليزي هو Trust فقط؛ النص الحالي يضيف «والخصوصية» دون حاجة.,NO,LOW
footer.legalNote,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,"PCA is a digital child protection platform. Plans, prices and availability described as coming later are not yet released.",PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار والمزايا الموصوفة بأنها قادمة لاحقًا لم تُطلق بعد.,NONE,NONE,FOOTER_CHROME,LOW,REVISE_MEDIUM,‏PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار وأي عناصر مذكورة على أنها «قادمة لاحقًا» لم تُطرح بعد.,النص الحالي يستبدل مفهوم availability بـ«المزايا»، ما يضيّق المعنى. المقترح يبقى عامًا ويمنع الإيحاء بإتاحة أي عنصر لم يُطرح.,NO,MEDIUM
home.affordability.body,/ar/,Home,affordability,PCA is being designed with affordability and broad access in mind.,تُصمم PCA مع مراعاة القدرة على تحمل التكلفة وإتاحة الخدمة على نطاق أوسع.,NONE,NONE,BODY_COPY,MEDIUM,REVISE_LOW,تُصمم PCA مع مراعاة أن تكون التكلفة في متناول الأسر وأن تتاح الخدمة على نطاق أوسع.,«القدرة على تحمل التكلفة» ترجمة حرفية ثقيلة؛ المقترح أوضح للوالدين.,NO,LOW
home.affordability.label,/ar/,Home,affordability,Access,الإتاحة,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.affordability.title,/ar/,Home,affordability,A safer digital world should not depend on income,العالم الرقمي الأكثر أمانًا لا ينبغي أن يعتمد على دخل الأسرة,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.availability.items,/ar/,Home,availability,"[1] title: PCA Parent
[1] body: A responsive experience for phone, tablet and computer. Account access is not open yet.
[2] title: PCA Child on Android
[2] body: The planned primary platform for the first release.
[3] title: PCA Child on iPhone and iPad
[3] body: iPhone and iPad child protection is planned for a later release.","[1] title: PCA Parent
[1] body: تجربة ويب متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. لم يُفتح إنشاء الحسابات بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الأساسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لها في إصدار لاحق.",CLM-024; CLM-026,COMING_LATER; COMING_LATER,RELEASE_STATE_NOTICE,CRITICAL,REVISE_MEDIUM,"[1] title: PCA Parent
[1] body: تجربة متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. الوصول إلى الحساب غير متاح بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الرئيسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لإتاحتها في إصدار لاحق.",المصدر يقول إن الوصول إلى الحساب غير مفتوح بعد، بينما العربية الحالية تحصر ذلك في إنشاء الحساب. كما تُحسَّن صياغة الحالات المخطط لها دون جعلها تبدو متاحة حاليًا.,NO,MEDIUM
home.availability.label,/ar/,Home,availability,Availability,التوفر,NONE,NONE,RELEASE_STATE_NOTICE,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.availability.title,/ar/,Home,availability,PCA Parent and PCA Child,PCA Parent وPCA Child,NONE,NONE,RELEASE_STATE_NOTICE,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.different.items,/ar/,Home,different,"[1] title: Designed without a readable central child profile
[1] body: Protection does not require a readable central copy.
[2] title: Not designed to collect photos, videos, files or messages
[2] body: Routine protection does not need them.
[3] title: Local-first protection
[3] body: Sensitive information is designed to stay family-side.
[4] title: Affordable, broad access
[4] body: Affordability and broad access shape the design.","[1] title: مصممة دون ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو فيديوهاته أو ملفاته أو رسائله
[2] body: الحماية المعتادة لا تحتاج إليها.
[3] title: حماية تبدأ من الجهاز
[3] body: صُممت المعلومات الحساسة لتبقى لدى الأسرة.
[4] title: تكلفة معقولة وإتاحة أوسع
[4] body: القدرة على تحمل التكلفة والإتاحة الواسعة جزء من التصميم.",NONE,NONE,BODY_COPY,MEDIUM,REVISE_LOW,"[1] title: مصممة دون إنشاء ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو مقاطع الفيديو أو الملفات أو الرسائل
[2] body: الحماية المعتادة لا تحتاج إلى هذه المحتويات.
[3] title: حماية تبدأ محليًا من الجهاز
[3] body: صُمم نهج PCA بحيث تبقى المعلومات الحساسة لدى الأسرة.
[4] title: تكلفة في المتناول وإتاحة أوسع
[4] body: مراعاة التكلفة والإتاحة الواسعة جزء من التصميم.",تحسينات طبيعية، خصوصًا «صُممت المعلومات الحساسة» و«القدرة على تحمل التكلفة»، مع بقاء المعنى والقيود كما هي.,NO,LOW
home.different.label,/ar/,Home,different,Why PCA is different,لماذا PCA مختلفة؟,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.different.title,/ar/,Home,different,Technology should protect without taking away dignity,التقنية ينبغي أن تحمي الطفل وتحترم كرامته,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.faq.items,/ar/,Home,faq,"[1] q: Does PCA read my child's messages?
[1] a: PCA is not designed to capture or centrally read personal messages.
[2] q: Does PCA collect photos or files?
[2] a: Routine protection does not require a child's photo library, videos or arbitrary files.
[3] q: Can I use PCA Parent without installing it?
[3] a: Yes. Installation is optional; Parent Web remains available in the browser.
[4] q: Does PCA use AI?
[4] a: AI-supported features are planned for a later release.
[5] q: Does PCA protect YouTube use?
[5] a: Advanced YouTube protection is planned for a later release.
[6] q: How much does PCA cost?
[6] a: Final plans and prices are not published yet.","[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري ويمكن استخدام نسخة الويب من المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لـYouTube مخطط لها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",NONE,NONE,FAQ,MEDIUM,REVISE_MEDIUM,"[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو مقاطع الفيديو أو أي ملفات أخرى غير لازمة للحماية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري، وتظل PCA Parent متاحة عبر المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لإتاحتها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لاستخدام YouTube مخطط لإتاحتها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",«الملفات العشوائية» غير طبيعية وقد تُفهم خطأ، كما تُحسَّن صياغة الميزات المخطط لها وتحافظ صراحةً على حالة «إصدار لاحق».,NO,MEDIUM
home.faq.label,/ar/,Home,faq,Common questions,أسئلة شائعة,NONE,NONE,FAQ,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.faq.title,/ar/,Home,faq,Quick answers,أسئلة سريعة,NONE,NONE,HEADING,MEDIUM,REVISE_MEDIUM,إجابات سريعة,المصدر Quick answers وليس Quick questions؛ «أسئلة سريعة» تغيّر معنى العنوان.,NO,MEDIUM
home.final.body,/ar/,Home,final,"Understand the tools, choose the protections that fit your family, and stay in control of sensitive information.",تعرّف على الأدوات، واختر الحماية المناسبة لأسرتك، واحتفظ بالتحكم في المعلومات الحساسة.,NONE,NONE,BODY_COPY,MEDIUM,REVISE_LOW,تعرّف على الأدوات، واختر وسائل الحماية المناسبة لأسرتك، وحافظ على تحكمك في المعلومات الحساسة.,«احتفظ بالتحكم» تركيب مترجم حرفيًا؛ المقترح طبيعي ويحافظ على معنى stay in control.,NO,LOW
home.final.title,/ar/,Home,final,Start building safer digital habits with your family,ابدأ ببناء عادات رقمية أكثر أمانًا مع أسرتك,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.hero.body,/ar/,Home,hero,Children deserve care and protection wherever they spend time—including online.,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك الإنترنت.,NONE,NONE,BODY_COPY,MEDIUM,REVISE_LOW,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك على الإنترنت.,«بما في ذلك الإنترنت» أقل طبيعية من «على الإنترنت» للمقصود online.,NO,LOW
home.hero.reassure,/ar/,Home,hero,PCA is designed not to build a readable central profile of your child's sensitive activity.,صُممت PCA بحيث لا تنشئ ملفًا مركزيًا مقروءًا عن النشاط الحساس لطفلك.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.hero.title,/ar/,Home,hero,Protecting children in digital spaces.,حماية الأطفال في المساحات الرقمية,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
