KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,REVIEW_DECISION,SEVERITY,PROPOSED_ARABIC,RATIONALE,CLAIM_OR_STATUS,LEGAL_REVIEW_REQUIRED,SIGNOFF_REASON
cta.access,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Learn About Access,تعرّف على إتاحة PCA,REVISE_LOW,LOW,تعرّف على خيارات الوصول إلى PCA,«إتاحة PCA» ثقيلة وغير طبيعية كزر؛ المقترح واضح للوالد ولا يخلط مع مصطلح إمكانية الوصول.,NONE,NO,CHANGED_STRING;CTA
cta.allFaqs,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,View All FAQs,جميع الأسئلة الشائعة,REVISE_LOW,LOW,عرض جميع الأسئلة الشائعة,يحوّل النص إلى دعوة إجراء فعلية بدل اسم قسم فقط.,NONE,NO,CHANGED_STRING;CTA
cta.childSafety,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Read Our Child Safety Principles,اقرأ مبادئ سلامة الطفل,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.createAccount,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Create Account,إنشاء حساب,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.exploreFeatures,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Explore Features,استكشف المزايا,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.getStarted,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Get Started,ابدأ الآن,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.howPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,How PCA Works,كيف تعمل PCA؟,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.login,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Sign In,تسجيل الدخول,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.pcaParent,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,PCA Parent,PCA Parent,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.privacyHandling,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,See How PCA Handles Privacy,كيف تتعامل PCA مع الخصوصية؟,REVISE_LOW,LOW,تعرّف على كيفية تعامل PCA مع الخصوصية,دعوة إجراء أكثر طبيعية واتساقًا مع المصدر الإنجليزي.,NONE,NO,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;CTA
cta.seeHowPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,See How PCA Works,تعرّف على طريقة عمل PCA,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
cta.whyPca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Why PCA,لماذا PCA؟,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
footer.group.legal,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Legal,الشؤون القانونية,REVISE_LOW,LOW,المعلومات القانونية,«الشؤون القانونية» يوحي بقسم إداري داخل مؤسسة؛ «المعلومات القانونية» أنسب لمجموعة روابط في التذييل.,NONE,NO,CHANGED_STRING
footer.group.trust,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Trust,الثقة والخصوصية,REVISE_LOW,LOW,الثقة,المصدر الإنجليزي هو Trust فقط؛ النص الحالي يضيف «والخصوصية» دون حاجة.,NONE,NO,CHANGED_STRING
footer.legalNote,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,"PCA is a digital child protection platform. Plans, prices and availability described as coming later are not yet released.",PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار والمزايا الموصوفة بأنها قادمة لاحقًا لم تُطلق بعد.,REVISE_MEDIUM,MEDIUM,‏PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار وأي عناصر مذكورة على أنها «قادمة لاحقًا» لم تُطرح بعد.,النص الحالي يستبدل مفهوم availability بـ«المزايا»، ما يضيّق المعنى. المقترح يبقى عامًا ويمنع الإيحاء بإتاحة أي عنصر لم يُطرح.,NONE,NO,CHANGED_STRING
home.affordability.body,/ar/,Home,affordability,PCA is being designed with affordability and broad access in mind.,تُصمم PCA مع مراعاة القدرة على تحمل التكلفة وإتاحة الخدمة على نطاق أوسع.,REVISE_LOW,LOW,تُصمم PCA مع مراعاة أن تكون التكلفة في متناول الأسر وأن تتاح الخدمة على نطاق أوسع.,«القدرة على تحمل التكلفة» ترجمة حرفية ثقيلة؛ المقترح أوضح للوالدين.,NONE,NO,CHANGED_STRING
home.availability.items,/ar/,Home,availability,"[1] title: PCA Parent
[1] body: A responsive experience for phone, tablet and computer. Account access is not open yet.
[2] title: PCA Child on Android
[2] body: The planned primary platform for the first release.
[3] title: PCA Child on iPhone and iPad
[3] body: iPhone and iPad child protection is planned for a later release.","[1] title: PCA Parent
[1] body: تجربة ويب متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. لم يُفتح إنشاء الحسابات بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الأساسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لها في إصدار لاحق.",REVISE_MEDIUM,MEDIUM,"[1] title: PCA Parent
[1] body: تجربة متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. الوصول إلى الحساب غير متاح بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الرئيسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لإتاحتها في إصدار لاحق.",المصدر يقول إن الوصول إلى الحساب غير مفتوح بعد، بينما العربية الحالية تحصر ذلك في إنشاء الحساب. كما تُحسَّن صياغة الحالات المخطط لها دون جعلها تبدو متاحة حاليًا.,CLM-024; CLM-026; COMING_LATER; COMING_LATER,NO,CHANGED_STRING;FEATURE_OR_RELEASE_STATUS
home.availability.label,/ar/,Home,availability,Availability,التوفر,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,FEATURE_OR_RELEASE_STATUS
home.availability.title,/ar/,Home,availability,PCA Parent and PCA Child,PCA Parent وPCA Child,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,FEATURE_OR_RELEASE_STATUS
home.different.items,/ar/,Home,different,"[1] title: Designed without a readable central child profile
[1] body: Protection does not require a readable central copy.
[2] title: Not designed to collect photos, videos, files or messages
[2] body: Routine protection does not need them.
[3] title: Local-first protection
[3] body: Sensitive information is designed to stay family-side.
[4] title: Affordable, broad access
[4] body: Affordability and broad access shape the design.","[1] title: مصممة دون ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو فيديوهاته أو ملفاته أو رسائله
[2] body: الحماية المعتادة لا تحتاج إليها.
[3] title: حماية تبدأ من الجهاز
[3] body: صُممت المعلومات الحساسة لتبقى لدى الأسرة.
[4] title: تكلفة معقولة وإتاحة أوسع
[4] body: القدرة على تحمل التكلفة والإتاحة الواسعة جزء من التصميم.",REVISE_LOW,LOW,"[1] title: مصممة دون إنشاء ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو مقاطع الفيديو أو الملفات أو الرسائل
[2] body: الحماية المعتادة لا تحتاج إلى هذه المحتويات.
[3] title: حماية تبدأ محليًا من الجهاز
[3] body: صُمم نهج PCA بحيث تبقى المعلومات الحساسة لدى الأسرة.
[4] title: تكلفة في المتناول وإتاحة أوسع
[4] body: مراعاة التكلفة والإتاحة الواسعة جزء من التصميم.",تحسينات طبيعية، خصوصًا «صُممت المعلومات الحساسة» و«القدرة على تحمل التكلفة»، مع بقاء المعنى والقيود كما هي.,NONE,NO,CHANGED_STRING
home.faq.items,/ar/,Home,faq,"[1] q: Does PCA read my child's messages?
[1] a: PCA is not designed to capture or centrally read personal messages.
[2] q: Does PCA collect photos or files?
[2] a: Routine protection does not require a child's photo library, videos or arbitrary files.
[3] q: Can I use PCA Parent without installing it?
[3] a: Yes. Installation is optional; Parent Web remains available in the browser.
[4] q: Does PCA use AI?
[4] a: AI-supported features are planned for a later release.
[5] q: Does PCA protect YouTube use?
[5] a: Advanced YouTube protection is planned for a later release.
[6] q: How much does PCA cost?
[6] a: Final plans and prices are not published yet.","[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري ويمكن استخدام نسخة الويب من المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لـYouTube مخطط لها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",REVISE_MEDIUM,MEDIUM,"[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو مقاطع الفيديو أو أي ملفات أخرى غير لازمة للحماية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري، وتظل PCA Parent متاحة عبر المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لإتاحتها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لاستخدام YouTube مخطط لإتاحتها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",«الملفات العشوائية» غير طبيعية وقد تُفهم خطأ، كما تُحسَّن صياغة الميزات المخطط لها وتحافظ صراحةً على حالة «إصدار لاحق».,NONE,NO,CHANGED_STRING
home.faq.title,/ar/,Home,faq,Quick answers,أسئلة سريعة,REVISE_MEDIUM,MEDIUM,إجابات سريعة,المصدر Quick answers وليس Quick questions؛ «أسئلة سريعة» تغيّر معنى العنوان.,NONE,NO,CHANGED_STRING
home.final.body,/ar/,Home,final,"Understand the tools, choose the protections that fit your family, and stay in control of sensitive information.",تعرّف على الأدوات، واختر الحماية المناسبة لأسرتك، واحتفظ بالتحكم في المعلومات الحساسة.,REVISE_LOW,LOW,تعرّف على الأدوات، واختر وسائل الحماية المناسبة لأسرتك، وحافظ على تحكمك في المعلومات الحساسة.,«احتفظ بالتحكم» تركيب مترجم حرفيًا؛ المقترح طبيعي ويحافظ على معنى stay in control.,NONE,NO,CHANGED_STRING
home.hero.body,/ar/,Home,hero,Children deserve care and protection wherever they spend time—including online.,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك الإنترنت.,REVISE_LOW,LOW,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك على الإنترنت.,«بما في ذلك الإنترنت» أقل طبيعية من «على الإنترنت» للمقصود online.,NONE,NO,CHANGED_STRING
home.protects.items,/ar/,Home,protects,"[1] title: Screen Time
[1] body: Support healthier device-use limits and routines.
[2] title: Safer Browsing
[2] body: Help apply approved web-safety decisions.
[3] title: Apps & Web Controls
[3] body: Set appropriate boundaries for apps and online access.
[4] title: Schedules
[4] body: Create predictable times for study, rest and sleep.
[5] title: Protection Status
[5] body: See whether protections are active.
[6] title: Parent & Child Requests
[6] body: Support clear family interaction when a child needs more time.
[7] title: Alerts
[7] body: Receive relevant protection notices.
[8] title: Device Protection
[8] body: Help maintain the protection configuration on the child device.","[1] title: وقت الشاشة
[1] body: المساعدة في وضع حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في اتخاذ قرارات الحماية على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت الحماية تعمل.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: إرسال تنبيهات مفيدة مرتبطة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.",REVISE_MEDIUM,MEDIUM,"[1] title: وقت الشاشة
[1] body: دعم حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في تطبيق قرارات السلامة المعتمدة على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت وسائل الحماية مفعّلة.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: تلقي تنبيهات ذات صلة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.",تصحيح فروق معنى في ثلاث نقاط: apply approved decisions ≠ اتخاذ القرارات، active ≠ تعمل بالضرورة، وReceive alerts ≠ إرسال التنبيهات.,CLM-028; CLM-029; CLM-030; CLM-031; CLM-032; CLM-033; CLM-034; CLM-035; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT,NO,CHANGED_STRING
home.why.title,/ar/,Home,why,Built from a parent's concern,بدأت من اهتمام أب بحماية أطفاله,REVISE_MEDIUM,MEDIUM,بدأت من اهتمام أحد الوالدين بحماية أطفاله,المصدر الحالي يقول parent's concern بينما العربية تحدده بأنه أب. المقترح يتبع المصدر الإنجليزي الحالي دون إضافة جنس الوالد.,NONE,NO,CHANGED_STRING
howItWorks.parent.items,/ar/how-it-works/,How PCA Works,parent,"[1] title: No installation required
[1] body: PCA Parent is designed to run in a supported browser on phone, tablet or computer, with nothing to install.
[2] title: Install PCA Parent
[2] body: Where installation is supported, you may install it for app-like access.
[3] title: Installation remains optional
[3] body: You never need to install PCA Parent just to use the service.","[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا يمكنك تثبيتها لوصول أقرب للتطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent حتى تستخدم الخدمة.",REVISE_LOW,LOW,"[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا، يمكنك تثبيتها للحصول على تجربة أقرب إلى استخدام التطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent لمجرد استخدام الخدمة.",تحسين «لوصول أقرب للتطبيق» إلى صياغة عربية طبيعية مع الحفاظ على أن التثبيت اختياري.,CLM-019; CLM-020; CLM-021; COMING_LATER; COMING_LATER; VERIFIED_AVAILABLE,NO,CHANGED_STRING
howItWorks.security.title,/ar/how-it-works/,How PCA Works,security,Important security distinction,فرق أمني مهم,REVISE_LOW,LOW,فرق مهم من ناحية الأمان,أكثر طبيعية ووضوحًا لغير المتخصص من «فرق أمني مهم».,NONE,NO,CHANGED_STRING
howItWorks.seo.description,/ar/how-it-works/,How PCA Works,seo,"See the planned PCA journey from parent account to child-device protection, status and family requests.",تعرّف على المسار المخطط من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة.,REVISE_MEDIUM,MEDIUM,تعرّف على المسار المخطط في PCA، من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة والتعامل مع طلبات الوالدين والطفل.,العربية الحالية تحذف family requests من وصف SEO.,NONE,NO,CHANGED_STRING
howItWorks.seo.title,/ar/how-it-works/,How PCA Works,seo,How PCA Works — Parent and Child Protection Flow,كيف تعمل PCA؟ — مسار الوالدين وحماية جهاز الطفل,REVISE_LOW,LOW,كيف تعمل PCA؟ — مسار الوالدين وحماية الطفل,أقرب إلى Parent and Child Protection Flow من الصياغة الحالية التي تحصر المعنى في جهاز الطفل.,NONE,NO,CHANGED_STRING
