ITEM_ID,REQUIREMENT_ID,PHASE,DOMAIN,PLATFORM,ROUTE_OR_COMPONENT,SOURCE_PATHS,CURRENT_STATUS,WHY_NOT_STARTED,REPO_SOLVABLE,EXTERNAL_GATE,OWNER_DECISION,SECURITY_DEPENDENCY,DEPENDENCIES,TARGET_STATE,WRITER,STATUS,COMMITS,TEST_EVIDENCE,RUNTIME_EVIDENCE,FINAL_CLASSIFICATION
N11,wellbeing-messages,architecture,wellbeing,backend+parent-web+android,WellbeingAdmin.tsx;CustomMessageForm.tsx,parent-web/src/api/real/unavailableProviders.ts,PARTIAL,"Carried forward, NOT reopened. docs/architecture/36_PARENT_WELLBEING_MESSAGE_CONTROL.md (PCA-WELLCTRL-001/002/003) is unambiguous: parent-authored message text is family plaintext and MUST NOT require a readable central store at any point. The correct real implementation is an entirely client-side encrypted-envelope package, blocked on the same crypto boundary as N10. UnavailableWellbeingMessageAdminClient is the architecturally CORRECT current state, not an oversight.","NO -- a compliant implementation is architecturally required to be client-side-encrypted, and that boundary is not yet available",YES,"NO -- this is an architecture-mandated boundary, not an owner decision",YES -- shared gate with N10,Same production-crypto-suite gate as N10,EXTERNAL_SECURITY_REVIEW,n/a,NOT_REOPENED,,,,EXTERNAL_SECURITY_REVIEW -- unchanged from partial/intentional register item D. Do not build a prohibited central-backend design merely to close this register.
N12,PCA-DEC-002;PCA-DEC-014;PCA-DEC-015,architecture,device-provisioning,android,Device Owner provisioning,android/app/src/main/java/org/pca/app/platform/ProtectedModeProvisioningGate.kt,BY_DESIGN_PENDING_DECISION,"UnresolvedProtectedModeProvisioningGate.feasibility() correctly returns PENDING_OWNER_DECISION -- the surrounding capability-detection/degradation-monitoring source is real and complete (DevicePolicyCapabilitySource, DevicePolicyDegradationMonitor). WHAT'S MISSING is not code: which provisioning path is authorized (QR PROVISION_MANAGED_DEVICE vs. ADB dpm set-device-owner pilot-only) is an explicit unresolved owner decision. Building a QR flow now would embed an unauthorized assumption.",NO,NO,YES -- which provisioning mechanism (QR vs ADB) is authorized for production,NO,Actual device enrollment is separately REAL_DEVICE_REQUIRED once the mechanism is chosen,NEW_FEATURE_ARCHITECTURE_REQUIRED (decision) then REAL_DEVICE_REQUIRED,n/a,NOT_STARTED,,,,"NEW_FEATURE_ARCHITECTURE_REQUIRED -- exact requirement: PCA-FR-082/145 device enrollment. Missing decision: QR vs ADB provisioning path. Current architecture deliberately does not choose one. Source inspected: ProtectedModeProvisioningGate.kt and siblings, all correct/complete pending the decision. Decision needed: owner/product must select the authorized provisioning mechanism."
N13,PCA-DEC-017,architecture,shield-ui,ios,ShieldConfigurationExtension,ios/PCAShieldConfiguration/ShieldConfigurationExtension.swift,BY_DESIGN,"Always returns default ShieldConfiguration(). Explicitly cited in-source as PCA-DEC-017: '(b) Default Apple shield at launch, custom shield as fast-follow' -- an already-made owner decision to ship the default first, not an oversight or unresolved question.","N/A -- already decided, deliberately deferred past v1",NO,NO (already decided),NO,None,NOT_APPLICABLE_V1,n/a,NOT_REOPENED,,,,"NOT_APPLICABLE_V1 -- deliberately deferred past v1 per PCA-DEC-017, not a gap"
N14,YouTube-ModeB,architecture,app-usage,backend+android+ios,ModeBFeatureFlagService;ModeTransitionService;YouTubeVisibilityMode.swift,backend/src/youtube/,BY_DESIGN,"Backend Mode-B domain logic (flag/transition/playback-event services) is fully unit-tested but has zero HTTP route or main.ts wiring; Android's ModeBFeatureFlagLocalStore mirrors this correctly (read-only, no mutator, defaults OFF); iOS's YouTubeVisibilityMode models .unavailable correctly. docs/architecture/15_APP_USAGE_YOUTUBE_VISIBILITY.md explicitly marks Mode B as requiring further owner decision AND YouTube ToS/API-partnership verification before release -- correctly scaffolded and deliberately not connected, not an oversight.",NO -- connecting it without the legal/partnership decision would be premature,NO,YES -- proceed with YouTube API partnership/ToS verification,NO,Legal/API partnership is external regardless of source completeness,COMMERCIAL_PROVIDER_REQUIRED,n/a,NOT_REOPENED,,,,"COMMERCIAL_PROVIDER_REQUIRED -- safe scaffolding already complete on all 3 platforms, do not wire further without the partnership decision"
N15,observability,verification,platform-admin,backend,dashboard read-model + authz-boundary,backend/src/http/buildServer.ts (health endpoints),VERIFIED_ALREADY_ACCEPTED,"PCA-ADD-PA-041 is already SOURCE_COMPLETE_EXTERNAL_GATE in docs/implementation/PCA_COMPLETION_V2_MATRIX.json -- in-repo dashboard read-model + authz-boundary tests already validated, only the deployed monitoring pipeline is external. A separate backend-focused auditor's raw grep flagged 'no /metrics endpoint' as a textual gap, but per this register's own instruction not to reopen items the requirements matrix (the primary source of truth) has already accepted as complete-with-external-gate, this is NOT reclassified as a fresh NOT_STARTED item -- noted for owner visibility only, not actioned.","N/A -- already-accepted scope boundary, not re-adjudicated as a gap",NO,NO,NO,Deployed monitoring/metrics pipeline is PRODUCTION_INFRA_REQUIRED regardless,PRODUCTION_INFRA_REQUIRED,n/a,NOT_REOPENED,,,,"PRODUCTION_INFRA_REQUIRED -- unchanged, matrix-accepted; a discretionary /metrics endpoint was considered and deliberately not built this pass to avoid scope-creep beyond the matrix's own acceptance"
N16,billing+free-access+family-capacity,verification,billing/entitlements,backend+parent-web+platform-admin-web,PCA-ADD-BILL-*;PCA-ADD-IDENT-019/020/021;PCA-ADD-COMP-*,docs/implementation/PCA_COMPLETION_V2_MATRIX.json,VERIFIED_CLOSED,"Independently re-checked against current source by the requirements/architecture auditor: all rows now SOURCE_COMPLETE. Register items A (auto-renew, c4eb2bf), C (billing plans list, adac52f), and I (member capacity, dddf4bc) already closed this programme; free-access enforcement (IDENT-021) independently confirmed wired at all real call sites (main.ts:340,356,365). No further gap found.",N/A -- verification only,NO,NO,NO,None,No implementation needed -- already complete,n/a,VERIFIED_CLOSED,,,,"NOT_APPLICABLE_V1 -- verified already source-complete, no action taken"
N17,PCA-WEB-RULE-LISTRULES,wave3,web-filter,parent-web,WebProtectionPage,parent-web/src/api/real/realWebRuleAdminClient.ts,COMPLETE,"Found by the independent second audit (not by this session's own wave-2 sweep). listRules() unconditionally throws and never calls the backend, even though its own siblings setRule/removeRule (added by N5, commit 1a93aa0) perform real fetch() calls against the ALREADY-WORKING GET /api/parent/families/:familyId/children/:childProfileId/web-rules route (backend/src/http/routes/webRuleRoutes.ts). A same-file inconsistency left over from N5's scope, not a new backend gap.",YES,NO,NO,NO,"None -- the backend route already exists and works, this is purely wiring the frontend read method to it, mirroring setRule's existing fetch pattern",IMPLEMENT_NOW,writer-notstarted-7,COMPLETE,6e35d73,"parent-web: realWebRuleAdminClient(+Mutations).test.ts 2 files/15 tests pass (6 new listRules tests: success, empty LOCAL_DRAFT, malformed-element discard, HTTP-failure propagation, network-error propagation, not-trusted-fails-before-fetch); tsc clean; full suite re-run 115 files/705 tests pass.",none -- not real-browser verified this wave; unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published 6e35d73)
N18,PCA-WELLBEING-CARD-WIRING,wave3,wellbeing,android,WellbeingCardScreen;ParentWellbeingPolicyScreen;DailyMissionCardScreen;ReflectionPromptScreen;GameReturnCardScreen,android/app/src/main/java/org/pca/app/.../PcaAppGraph.kt;WellbeingNotificationDelivery.kt;NudgeSelectionEngine.kt,COMPLETE,"Found by the independent second audit. NudgeSelectionEngine routinely recommends IN_APP_CARD/NEXT_UNLOCK_CARD/BREAK_SHIELD_CARD delivery channels, but WellbeingNotificationDelivery only implements STANDARD_NOTIFICATION/LOCK_SCREEN_NOTIFICATION_BEST_EFFORT and returns SUPPRESSED_CAPABILITY_UNAVAILABLE for everything else. The Compose screens built for exactly those suppressed channels already exist (WellbeingCardScreen.kt, ParentWellbeingPolicyScreen.kt, DailyMissionCardScreen/ReflectionPromptScreen, GameReturnCardScreen.kt) but have zero call sites anywhere in PcaAppGraph.kt. Policy store is local and non-crypto-gated -- this is a same-app wiring gap, not an E2EE-blocked feature.",YES,NO,NO,NO,Follow the existing SafeBrowserEntryCard/AdminSecurityEntryCard host precedent already established in this codebase for hosting a similar card-style screen from a delivery event,IMPLEMENT_NOW,writer-notstarted-9,COMPLETE,"828a851,953cc21","Targeted (WellbeingCardDeliveryTest, WellbeingPersistenceRoundTripTest, WellbeingFeedbackRecorderTest, WellbeingRuntimeCoordinatorTest, PcaAppGraphTest, WellbeingPrivacyStaticScanTest): BUILD SUCCESSFUL, all pass. Full Android JVM suite: 1295 tests, 0 failures, 0 errors, 1 pre-existing skip. Coordinator code review (953cc21) found and fixed a real bug in the initial implementation (828a851): the pending NEXT_UNLOCK_CARD entry only cleared in the Compose onDismiss callback, so a child leaving via system-back/Home instead of the in-app Dismiss button would leave a stale entry that re-launched the same card on every future unlock indefinitely; moved the clear to onCreate/load time. Full suite re-verified unchanged (1295/0/0/1) after the fix.",none -- no emulator/device in this environment; JVM/Robolectric level only. The async next-real-unlock observer specifically is not exercised via a real Robolectric broadcast (AndroidScreenStateObserverTest's own documented finding: unreliable/hang-prone in this environment for the same screenStateObserver.observe() flow); its gating logic is covered deterministically at the unit level instead.,"IMPLEMENT_NOW -- COMPLETE (published 828a851, corrected 953cc21)"
N19,PCA-RELEASE-SERVICE-ROUTE,wave3,release,backend,Platform Admin release management,backend/src/release/ReleaseService.ts;backend/src/release/MySqlReleaseRepository.ts,COMPLETE,"Found by the independent second audit. ReleaseService and MySqlReleaseRepository are fully built, tested, and backed by real DB tables, but have zero HTTP route or main.ts wiring -- confirmed zero matches for ReleaseService/ReleaseRepository/releaseRoutes anywhere in main.ts, buildServer.ts, or the platform-admin routes. Unlike ModelLifecycleService (N9-gated) and RecoveryService (N10-gated), this service treats signed release metadata as an opaque externally-produced blob and performs no crypto of its own -- publishing an app/model release needs no pending crypto decision.",YES,NO,NO,NO,None -- mirror the existing planRoutes.ts (platform-admin) pattern for authorization/wiring,IMPLEMENT_NOW,writer-notstarted-8,COMPLETE,d4e5ea4,"backend: releaseRoutes.test.mjs + release/service.test.mjs + rbacPolicy.test.mjs + buildServer wiring regression, combined 55/55 pass; tsc clean. This commit also fixed a real gap it surfaced: two prior test files (N5's webRuleRoutes.test.mjs and this commit's own releaseRoutes.test.mjs) were never wired into package.json's npm test script, so earlier 'full suite' counts this session silently excluded 28 real tests. True full backend suite re-run after the fix: 1892/1892 (corrected from the previously-reported 1864/1864).",none -- not real-browser verified this wave; unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published d4e5ea4)
N20,PCA-DASHBOARD-CARDS,wave4,parent-panel,backend+parent-web,"Parent Dashboard cards (web-filtering status, YouTube status)",backend/src/parentpanel/DashboardCardProvider.ts;backend/src/parentpanel/DashboardAggregatorService.ts;backend/src/safebrowser/SafeBrowserNavigationPolicy.ts;backend/src/youtube/ModeTransitionService.ts,COMPLETE,"Found by the third independent audit as 3 separate findings, consolidated here into one coherent task: DashboardCardProvider (zero implementations anywhere -- its own doc comment names the missing WEB_FILTERING and YOUTUBE providers explicitly), DashboardAggregatorService (fully built/tested, zero real wiring), SafeBrowserNavigationPolicy and YouTube Mode A/ModeTransitionService (both real and tested, but unwired to any route -- distinct from the correctly-gated AI classifier (N9) and YouTube Mode B (N14), neither of which this touches).",YES,NO,NO,NO,Must not populate AI classifierResult fields (still N9-gated) or touch YouTube Mode B (still N14-gated) -- only Mode A usage/transition state and already-recorded (not live-evaluated) block/review decisions,IMPLEMENT_NOW,writer-notstarted-10,COMPLETE,b558e21,"backend: WebFilteringDashboardCardProvider.test.mjs + YouTubeDashboardCardProvider.test.mjs + dashboardRoutes.test.mjs 22/22 pass; regression (DashboardAggregatorService/safebrowser/youtube) 69/69 pass; full suite (pre-integration, own worktree base) 1918/1918. Full suite re-run after integrating N20+N21+N22 together: 1945/1945. WEB_FILTERING card surfaces counts only (never url/domain/pageTitle/reasonCode); YouTube card reports Mode B current-mode-only (never usage/playback), ships an honest UnavailableModeAUsageEvidenceSource default rather than fabricating a real usage-evidence source. parent-web checked (Dashboard.tsx uses a different ChildSummary model, no slot for this data) -- backend-only wiring per task's own fallback instruction.",none -- not real-browser verified this wave; unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published b558e21)
N21,PCA-BILLING-ADMIN-ROUTES,wave4,billing,backend,Platform Admin billing operations,backend/src/billing/paymentMethod.ts;backend/src/billing/subscription.ts;backend/src/billing/dispute.ts,COMPLETE,"Found by the third independent audit. PaymentMethodService/SubscriptionService/DisputeService are RBAC-gated, fully built, and unit-tested, but have zero instantiation anywhere in production code -- backend/src/http/routes/platformadmin/billingReadRoutes.ts only exposes reads. No real API exists today for a platform admin to open/resolve a dispute or admin-manage a payment method.",YES,NO,NO,NO,"None -- these services already correctly abstract any real payment-provider integration behind providerRegistry.ts/sandboxProvider.ts; this item only wires the existing admin-write surface, no new charging logic",IMPLEMENT_NOW,writer-notstarted-11,COMPLETE,0f1b9f5,"backend: billingAdminRoutes.test.mjs 27/27 pass; billing/*.test.mjs regression (14 files) 121/121 pass; rbacPolicy.test.mjs 9/9 pass; full suite (pre-integration, own worktree base) 1919/1919. Full suite re-run after integrating N20+N21+N22 together: 1945/1945. Investigation found PaymentMethodService/SubscriptionService/DisputeService already have a self-contained billing/rbac.ts RBAC vocabulary with full role coverage -- no platformadmin/auth/rbacPolicy.ts changes were needed, a cleaner outcome than initially assumed. Did not duplicate item A's (c4eb2bf) family-owner auto-renew mutation -- wires the separate operator-facing createSubscription/cancelSubscription surface.",none -- not real-browser verified this wave; unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published 0f1b9f5)
N22,PCA-ANDROID-AUDIT-EXPORT-UI,wave4,privacy,android,Admin/security settings surface,android/app/src/main/java/org/pca/app/persistence/export/AuditRecordExportService.kt,COMPLETE,"Found by the third independent audit. exportFamily/generateEncryptedExport is fully implemented, unit-tested, and constructed once at PcaLocalPersistence.kt:78, but has zero call sites anywhere in production UI -- no settings screen, menu, or ViewModel references it.",YES,NO,NO,NO,"Must stay behind the same admin-PIN gate other sensitive actions in this app already require, not a weaker parallel gate",IMPLEMENT_NOW,writer-notstarted-12,COMPLETE,2786884,"AuditExportScreenReachabilityTest 2/2 pass; DeleteNowScreenReachabilityTest + AuditRecordExportServiceTest unaffected/still green. Full Android JVM suite re-run by coordinator after taking over from a stuck agent (Windows Gradle daemon file-lock, resolved via --stop): 1297 tests, 0 failures, 0 errors, 1 pre-existing skip. Coordinator verified AuditExportScreen sits inside the same isAuthenticated branch as DeleteNowScreen/RemovalDecisionScreen -- genuinely gated, not a parallel weaker path. Deliberately does NOT wire generateEncryptedExport (separate PCA-FR-125/PCA-SEC-026 path) -- its only production FamilyExportEncryptor is RejectingFamilyExportEncryptor pending crypto approval.",none -- no emulator/device in this environment; JVM/Robolectric level only,IMPLEMENT_NOW -- COMPLETE (published 2786884)
