GATE_ID,CURRENT_STATUS,OWNER,CURRENT_EVIDENCE,V1_RELEVANT,V1_BLOCKING,CLOSURE_EVIDENCE_REQUIRED
IOS_PHYSICAL_DEVICE,EXTERNAL,"iOS device owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
MERCHANT_ACCOUNT_APPROVAL,EXTERNAL,"Commercial/finance owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
OBSERVABILITY_PIPELINE,EXTERNAL,"Platform operations owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
OEM_DEVICE_DIVERSITY_VALIDATION,EXTERNAL,"Android device owner / QA",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
OFFLINE_DEVICE_INTERRUPTION_RECOVERY_VALIDATION,EXTERNAL,"Android device owner / QA",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PAYMENT_PRODUCTION_CERTIFICATION,OPEN_UNREGISTERED,"Commercial/finance owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PAYMENT_PROVIDER_SELECTION,EXTERNAL,"Commercial/finance owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PCA_DEC_009_DISCLOSURE_TEXT,BLOCKED,"Product owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PENDING_OWNER_DECISION,BLOCKED,"Product owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PLATFORM_ADMIN_ALERT_DELIVERY,EXTERNAL,"Platform operations owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PRODUCER_CATALOGUE_AUDIT_SIGNOFF,BLOCKED,"Compliance/privacy owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PRODUCTION_CRYPTO_SECURITY_REVIEW,BLOCKED,"External security reviewer",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
PRODUCTION_CRYPTO_SUITE,BLOCKED,"External security reviewer",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
REAL_DEVICE_TELEPHONY_SMS_UAT,EXTERNAL,"Android device owner / QA",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
REAL_DEVICE_TELEPHONY_UAT,EXTERNAL,"Android device owner / QA",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
REQUIRES_ENTITLEMENT,EXTERNAL,"Apple Developer account holder",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
SETTLEMENT_BANK_CONFIGURATION,EXTERNAL,"Finance/settlement owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
SUPPORTED_CHARGE_CURRENCIES,EXTERNAL,"Commercial/finance owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
SUPPORTED_SETTLEMENT_CURRENCIES,EXTERNAL,"Finance/settlement owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
TELEMETRY_ACTIVATION_OWNER_SIGNOFF,BLOCKED,"Product/privacy owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
YOUTUBE_MODE_B_POLICY_REVIEW,BLOCKED,"Compliance/legal owner",NONE,NO,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
YOUTUBE_PLATFORM_API_PARTNERSHIP,EXTERNAL,"Commercial/partnerships owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
