DEFECT_ID,SOURCE_PPR1_ID,DOMAIN,PLATFORM,DESCRIPTION,ROOT_CAUSE,AFFECTED_REQUIREMENTS,CLASSIFICATION,REPO_SOLVABLE,V1_RELEVANT,SECURITY_IMPACT,CURRENT_STATUS,OWNER,IMPLEMENTATION_COMMIT,TEST_EVIDENCE,FINAL_DISPOSITION
PPR1R-D013,BE-2,BACKEND,Backend,family_member_invitations lacked UNIQUE and used check-then-act across three transactions,Concurrency never modelled; the invariant lived only in application code,NONE,REPO_SOLVABLE_NOW,Y,YES,HIGH,FIXED,BACKEND,PPR1R,migration 0035 + createAtomically with FOR UPDATE; capacity guard reads the LOCKED connection; FreeAccessAcquisitionCallSites 9/9,CLOSED - coordinator completed the refactor after the writer was interrupted mid-edit
PPR1R-D014,BE-3+BE-6,BACKEND,Backend,SIGTERM handlers suppressed Node default exit and drained nothing; npm as PID 1,Partial signal handler installed with no shutdown path,NONE,REPO_SOLVABLE_NOW,Y,YES,MEDIUM,FIXED,BACKEND,PPR1R,graceful shutdown plus Dockerfile CMD node as PID 1; backend tsc clean,CLOSED
PPR1R-D015,BE-4,BACKEND,Backend,40 authenticated routes had no rate limiter,Rate limiting attached per-route so new routes silently opted out,NONE,REPO_SOLVABLE_NOW,N,YES,HIGH,FIXED,BACKEND,e180e16,instance-level hook; buildServerRateLimiting 7/7,CLOSED - structurally unrepeatable. TRADE-OFF RECORDED: one 60/min/IP bucket now shared across planes
PPR1R-D016,BE-5,BACKEND,Backend,7-day ciphertext TTL not enforced for family_audit_events or protection_alerts,"Two tables added after the retention mechanism, never enrolled in it",NONE,REPO_SOLVABLE_NOW,Y,YES,MEDIUM,FIXED,BACKEND,PPR1R,migration 0034 + serverCiphertextTtl 11/11,CLOSED - mirrors the relay-envelope precedent
PPR1R-D021,GAPS-6,BACKEND,Backend,Migrations forward-only with no advisory lock,Runner written for single-operator use,NONE,REPO_SOLVABLE_NOW,Y,YES,MEDIUM,FIXED,BACKEND,PPR1R,migrationAdvisoryLock 10/10,CLOSED
PPR1R-D022,BI-1,BILLING,Backend,Transiently FAILED webhook ACKed 200 and never reprocessed,FAILED and IGNORED treated identically at the ACK boundary,NONE,REPO_SOLVABLE_NOW,Y,OPTIONAL,MEDIUM,FIXED,BILLING,PPR1R,WebhookService RETRY/503 for FAILED + atomic claimFailedForReprocessing; webhookService.mysql 12/12 incl. 4 concurrent redeliveries re-driving exactly once,"CLOSED - IGNORED stays terminal and succeeded-event duplicates stay idempotent. Replay-window boundary documented, not papered over"
PPR1R-D025,PW-1,PARENT_WEB,Parent Web,RealRetentionClient short-circuited on a false premise,Comment claimed only Bearer accepted; the auth plugin names retentionRoutes as a cookie consumer,NONE,REPO_SOLVABLE_NOW,N,YES,LOW,FIXED,PARENT_WEB,d4c9b4e,the PPR-1 adversarial pass attacked it and could not break it,CLOSED
PPR1R-D026,PW-2,PARENT_WEB,Parent Web,RealDeviceEnrollmentClient carried the identical false premise,Same premise copied into a second client,NONE,REPO_SOLVABLE_NOW,N,YES,LOW,FIXED,PARENT_WEB,d4c9b4e,parent-web tsc clean,CLOSED
PPR1R-D027,PW-3,PARENT_WEB,Parent Web,Synthetic device-id could never resolve; the replacement can never return one either,Id fabricated client-side rather than read from the real device record,NONE,EXTERNAL_SECURITY_REVIEW,N,YES,LOW,RECLASSIFIED,EXTERNAL_REVIEWER,d4c9b4e,familyDataGate requireTrustedAndCryptoReady,"RECLASSIFIED - the fabrication is genuinely fixed. The store being empty is correct fail-closed crypto behaviour, not a source defect. PPR-1's reopening was itself a misclassification"
PPR1R-D028,A20-19,PARENT_WEB,Parent Web,Parent Web carried a non-conformant wellbeing taxonomy,Its catalogue validator is one of three that CI never runs,NONE,REPO_SOLVABLE_NOW,Y,YES,NONE,FIXED,PARENT_WEB,PPR1R,imports the SDK taxonomy; en and ar both carry the canonical 13; wellbeingTaxonomyConformance 5/5; 11/11 total,"CLOSED - PPR-1's three-way-divergence claim was FALSE. Contract, SDK and Android already agreed and doc 38 had already ruled Android canonical. Backend absence is a MANDATED privacy invariant, not a gap"
PPR1R-D029,A20-18,PARENT_SDK,Parent SDK,parent-sdk-runtime-sync has zero consumers,Package built to a contract with no consuming application scoped,NONE,OWNER_DECISION_REQUIRED,N,YES,NONE,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - delete-vs-consume is a scope call
PPR1R-D030,GAPS-7,PARENT_WEB,Parent Web,A true app./api. split would break every Parent Web mutation,PCA-ADD-IDENT-012 never contemplated cross-subdomain cookie scope,PCA-ADD-IDENT-012,OWNER_DECISION_REQUIRED,N,YES,HIGH,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - owner decision D16. Single-origin behind a proxy needs zero source change
PPR1R-D031,GAPS-2.5,IOS,iOS,"iOS host-app composition layer never built (five symptoms, one root cause)",One missing artifact presenting as five separate symptoms,PCA-IOS-001;PCA-IOS-002;PCA-IOS-003,POST_V1,N,NO,NONE,DEFERRED,IOS,n/a,A6 adjudication,"DEFERRED - POST_V1 SOURCE DEBT, not entitlement-gated. All 10 iOS row bases corrected: macOS+Xcode is NOT a gate, CI has a macos-14 runner building 32 of 32 sources"
PPR1R-D032,PR-1,PRIVACY,Android+Backend,Installed-app inventory collected and shown to parents but declared in no disclosure category,A data category was added without a producer-catalogue entry,PCA-FR-045,COMPLIANCE_REQUIRED,N,YES,MEDIUM,OPEN,COMPLIANCE,TBD,TBD,BLOCKED - the disclosure copy itself needs legal sign-off
PPR1R-D033,PR-2,PRIVACY,Android,InstalledAppEventEntity stored package name and label in plaintext,Two entities holding the same value class built with different storage decisions,PCA-FR-045,REPO_SOLVABLE_NOW,Y,YES,HIGH,FIXED,PRIVACY,PPR1R,packageNameEnc/Iv and appLabelEnc/Iv; Room migration to schema 6; InstalledAppEventEncryptionMigrationTest; Android 1326/1326,"CLOSED - reused the existing cipher, authored no new crypto"
PPR1R-D034,PR-3,PRIVACY,Backend+Parent Web,No parental-consent artifact exists,Consent never modelled as a first-class artifact,NONE,NEW_FEATURE_ARCHITECTURE_REQUIRED,N,YES,HIGH,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - V1 blocker; new surface plus legal sign-off. Represented by NO requirement row
PPR1R-D035,PR-4,PRIVACY,ALL,"No privacy policy document, page or URL exists anywhere",Compliance artifact assumed to exist outside the repo,NONE,COMPLIANCE_REQUIRED,N,YES,MEDIUM,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - V1 blocker; legal deliverable. Represented by NO requirement row
PPR1R-D036,PR-5,PRIVACY,Backend+Parent Web,No account-deletion path exists,Account lifecycle termination never designed,NONE,NEW_FEATURE_ARCHITECTURE_REQUIRED,N,YES,HIGH,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - V1 blocker; needs an owner ruling on retention and legal hold. Represented by NO requirement row
PPR1R-D037,PR-6,PRIVACY,Backend+Android,Retention enum could not address installed-app events,Retention class omitted when the entity was added,PCA-FR-045,PARTIALLY_REPO_SOLVABLE,Y,YES,MEDIUM,FIXED,PRIVACY,PPR1R,"LocalRoomFamilyExportDataSource emits INSTALLED_APP_EVENT (was the catch-all ROUTINE_ACTIVITY, so no parent request could ever name these records); ExportEntityClassRetentionParityTest added; Android 1345/1345","CLOSED - the brief's premise was stale: the emitter existed, the entity CLASS was wrong. Parity guard also found deletion-evidence classes deliberately left unaddressable"
PPR1R-D039,SEC-1,SECURITY,Parent Web+Platform Admin,frame-ancestors is ignored in a meta CSP so neither console has clickjacking protection,CSP delivered from the SPA build because no repo-side hosting layer exists,NONE,PRODUCTION_INFRA_REQUIRED,N,YES,HIGH,PARTIALLY_FIXED,SECURITY,e180e16,both plugins emit http-equiv meta only,"REPO-SOLVABLE PORTION CLOSED - a strict CSP ships on both consoles and script-src, object-src and connect-src ARE effective via meta. RESIDUAL IS INFRASTRUCTURE: frame-ancestors is ignored in a meta CSP per CSP3, so clickjacking protection needs real HTTP response headers from a production host that does not exist in this repository."
PPR1R-D040,GAPS-2.4c-1,SECURITY,Tooling,Security-scanner exemption was wider than its comment claimed and did not close the job,Exemption prefix chosen without checking what it actually covered,NONE,REPO_SOLVABLE_NOW,Y,YES,MEDIUM,FIXED,SECURITY,PPR1R,Invoke-SecurityChecks exit 0 on its own merits,"CLOSED - SELF-INFLICTED BY PPR-1, now removed. The job passes without the exemption"
PPR1R-D041,GAPS-2.4c-2,SECURITY,Backend,PUT added to the CORS allowlist with no client needing it,A permissive change to a security boundary on a rationale that does not hold,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,SECURITY,PPR1R,parentWebCors.ts ALLOWED_METHODS has no PUT; DELETE retained; cors 3/3,CLOSED - self-inflicted PPR-1 widening removed
PPR1R-D042,GAPS-4,TOOLING,Tooling,Nine pre-existing violations kept the security and quality CI jobs red for weeks,First-failure-only reporting concealed eight of the nine,NONE,REPO_SOLVABLE_NOW,Y,YES,MEDIUM,FIXED,TOOLING,PPR1R,security exit 0; quality exit 0; repo-checks exit 0,CLOSED - PPR-1 wrongly framed this as an owner decision on a false dichotomy
PPR1R-D043,GAPS-4,TOOLING,Tooling,Check scripts reported only their first failure,A terminating error preference combined with a report-all loop,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,TOOLING,PPR1R,scripts now report every violation then exit non-zero,CLOSED - this is what let nine violations hide behind one
PPR1R-D044,GAPS-4,TOOLING,Tooling,CI runs no JS/TS unit suite - 2055 backend and about 150 web tests never gate a PR,"CI built around build, lint and static gates only",NONE,OWNER_DECISION_REQUIRED,N,YES,MEDIUM,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - a genuine CI cost and latency decision. Deliberately not attempted
PPR1R-D045,GAPS-2.4b,TOOLING,Tooling,CI executes one of four contract catalogue validators,Three catalogues added after the CI step was written,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,TOOLING,PPR1R,all four catalogue validators + tests wired in quality-gates.yml,CLOSED - the drift-detection mechanism is now in CI
PPR1R-D046,GAPS-4,TOOLING,Tooling,Dependency audit excludes parent-web,Audit steps added per package as packages were created; parent-web missed,NONE,PARTIALLY_REPO_SOLVABLE,Y,YES,MEDIUM,FIXED,TOOLING,PPR1R,"npm audit now covers backend, parent-web, platform-admin-web and all three parent-sdk packages",CLOSED
PPR1R-D051,GAPS-3,TOOLING,Tooling,Mutation harness pinned to a SHA about 140 commits behind and aborts unless HEAD matches,Hard SHA equality where a parameterised baseline was needed,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,TOOLING,PPR1R,entrySha re-pinned to the current baseline AND the hard HEAD comparison replaced by a parameterised baseline,CLOSED - cannot rot the same way again
PPR1R-D052,GAPS-3,TOOLING,Tooling,Real-E2E runs committed no result artifact,Reporter configuration never set for artifact capture,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,TOOLING,PPR1R,both real-E2E configs emit JSON; both apps tsc clean,CLOSED - real-E2E claims now have an artifact a gate script can read
PPR1R-D057,NEW,DOCUMENTATION,Docs,Published defect counts were wrong and a stale subheading claimed 27 open,Counts rewritten after the adversarial pass without re-deriving them from the rows,NONE,REPO_SOLVABLE_NOW,Y,YES,NONE,FIXED,DOCS,PPR1R,A1 re-derivation from actual rows,"CLOSED - true PPR-1 figures were FOUND 39, FIXED 12, PARTIAL 3, OPEN 24. The 27 was a stale 33 minus 6 from draft d4c9b4e"
PPR1R-D058,FINAL-REPORT-2,DOCUMENTATION,Docs,PCA-SEC-016 and PCA-DATA-030 normatively cited but in no ledger,Two requirements cited into normative text without being registered,PCA-SEC-016;PCA-DATA-030,OWNER_DECISION_REQUIRED,N,YES,LOW,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - registering them is an owner-approved controlled-document correction. TOTAL_REQUIREMENTS stays 375 until then
PPR1R-D061,GAPS-6+7,DOCUMENTATION,Docs,Three real external dependencies tracked in no gate register,Dependencies referenced in source but in none of the four registers,NONE,OWNER_DECISION_REQUIRED,N,YES,MEDIUM,OPEN,PRODUCT_OWNER,TBD,TBD,"BLOCKED - DOMAIN_DNS_HOSTING, DATABASE_BACKUP_RESTORE and EMAIL_PROVIDER_SELECTION carried as PROPOSED_NOT_REGISTERED pending owner approval"
PPR1R-D062,A6-05,DOCUMENTATION,Docs,PCA-DEC-009 through PCA-DEC-021 absent from the controlled risk register,The register jumps straight from 008 to 022,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,DOCS,PPR1R,13 rows added to 31_RISK_DECISION_REGISTER.md with owning-document subjects,CLOSED - the 001-008 namespace collision is now flagged in the register itself so no one signs off by number ambiguously
PPR1R-D063,A6-03,DOCUMENTATION,Docs,Owner acceptance of an Android-only standalone launch does not exist,doc 07 line 89 conditions it on a named product-owner acceptance never recorded,NONE,OWNER_DECISION_REQUIRED,N,YES,NONE,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - IOS_V1 = DEFER_POST_V1 is technically sound but NOT PROCEDURALLY AUTHORIZED
