CLAIM_ID,PAGE,CLAIM_TEXT_EN,CLAIM_TEXT_AR,CLAIM_TYPE,TECHNICAL_EVIDENCE_REQUIRED,CURRENT_STATUS,RISK,APPROVAL_STATUS,NOTES
CLM-042,Access,PCA pricing is finalized and publicly available.,تم اعتماد أسعار PCA وهي متاحة للعامة.,COMMERCIAL,Owner-approved pricing and billing implementation,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,OWNER_APPROVAL_PENDING,Use Access page until finalized.
CLM-043,Privacy/Account,PCA provides account and information deletion controls.,توفر PCA أدوات لحذف الحساب والمعلومات.,FEATURE,UI/API/database/backups/queue deletion tests,REQUIRES_PLATFORM_SUPPORT,HIGH,RUNTIME_PROOF_PENDING,Exact scope required.
CLM-044,Privacy,Delete Now removes all PCA records immediately and irreversibly.,يحذف خيار الحذف الفوري جميع سجلات PCA فورًا وبشكل نهائي.,PRIVACY,End-to-end deletion proof including backups/legal holds,NOT_APPROVED_FOR_PUBLIC_CLAIM,CRITICAL,NOT_APPROVED,Too strong without proof.
CLM-045,Security,PCA Parent accounts are protected by MFA.,حسابات PCA Parent محمية بالمصادقة متعددة العوامل.,SECURITY,Auth configuration/UAT,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,RUNTIME_PROOF_PENDING,Do not advertise specific account security not verified.
CLM-046,Security,PCA Parent and PCA Platform Admin use separate security/session/RBAC realms.,تستخدم PCA Parent وPCA Platform Admin بيئات منفصلة للأمان والجلسات والصلاحيات.,SECURITY,Route/auth/RBAC architecture and tests,VERIFIED_AVAILABLE,CRITICAL,APPROVED_DOCTRINE,Must be preserved through public/auth integration.
CLM-047,Feedback,"PCA feedback does not automatically attach child activity, browsing history, location, messages, screenshots or files.",لا ترفق ملاحظات PCA تلقائيًا نشاط الطفل أو سجل التصفح أو الموقع أو الرسائل أو لقطات الشاشة أو الملفات.,PRIVACY,Feedback request payload tests/network inspection,REQUIRES_PLATFORM_SUPPORT,CRITICAL,OWNER_APPROVED_DIRECTION,Must be regression-tested when feature is implemented.
CLM-048,Feedback,V1 feedback allows screenshot attachment.,تسمح ملاحظات الإصدار الأول بإرفاق لقطات الشاشة.,FEATURE,Attachment implementation/privacy approval,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,RECOMMENDED_NO,OD-10 default is NO.
CLM-049,Security/About,"PCA does not use hidden surveillance such as covert TLS interception, password capture or background screen recording as its protection model.",لا تعتمد PCA على مراقبة خفية مثل اعتراض TLS سرًا أو التقاط كلمات المرور أو تسجيل الشاشة في الخلفية.,SECURITY,"Permissions, network/security code, runtime and storage review",EXTERNAL_SECURITY_REVIEW,CRITICAL,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Strong trust claim; verify runtime.
CLM-050,Accessibility,PCA Public will be available in English and Arabic from first public release.,سيكون موقع PCA العام متاحًا بالإنجليزية والعربية من أول إصدار عام.,AVAILABILITY,EN/AR content and browser UAT,COMING_LATER,MEDIUM,OWNER_APPROVED_DIRECTION,Arabic native review is release gate.
CLM-051,Accessibility,Arabic pages support right-to-left layout.,تدعم الصفحات العربية اتجاه الكتابة من اليمين إلى اليسار.,FEATURE,RTL browser/UAT across required viewports,COMING_LATER,MEDIUM,OWNER_APPROVED_DIRECTION,"Must test components, icons, forms and navigation."
CLM-052,Security/Privacy,PCA is unhackable / 100% secure / 100% private.,PCA غير قابلة للاختراق وآمنة وخاصة بنسبة 100%.,SECURITY,Impossible absolute claim,NOT_APPROVED_FOR_PUBLIC_CLAIM,CRITICAL,PROHIBITED,Never publish absolute security/privacy guarantee.
