KEY,ROUTE,PAGE_NAME,ENGLISH_SOURCE,ORIGINAL_ARABIC,FINAL_PROPOSED_ARABIC,CHANGED,REVIEWER_DECISION,CLAIM_ID,CLAIM_STATUS,REMEDIATION_DISPOSITION,WHY_IN_SIGNOFF,LEGAL_REVIEW_REQUIRED,OWNER_DECISION,OWNER_NOTE
cta.access,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Learn About Access,تعرّف على إتاحة PCA,تعرّف على خيارات الوصول إلى PCA,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING;CTA,NO,PENDING,
cta.allFaqs,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",View All FAQs,جميع الأسئلة الشائعة,عرض جميع الأسئلة الشائعة,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING;CTA,NO,PENDING,
cta.childSafety,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Read Our Child Safety Principles,اقرأ مبادئ سلامة الطفل,اقرأ مبادئ سلامة الطفل,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.createAccount,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Create Account,إنشاء حساب,إنشاء حساب,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.exploreFeatures,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Explore Features,استكشف المزايا,استكشف المزايا,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.getStarted,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Get Started,ابدأ الآن,ابدأ الآن,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.howPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",How PCA Works,كيف تعمل PCA؟,كيف تعمل PCA؟,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.login,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Sign In,تسجيل الدخول,تسجيل الدخول,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.pcaParent,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",PCA Parent,PCA Parent,PCA Parent,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.privacyHandling,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",See How PCA Handles Privacy,كيف تتعامل PCA مع الخصوصية؟,تعرّف على كيفية تعامل PCA مع الخصوصية,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;CTA,NO,PENDING,
cta.seeHowPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",See How PCA Works,تعرّف على طريقة عمل PCA,تعرّف على طريقة عمل PCA,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
cta.whyPca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Why PCA,لماذا PCA؟,لماذا PCA؟,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: CTA,NO,PENDING,
footer.group.legal,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Legal,الشؤون القانونية,المعلومات القانونية,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
footer.group.trust,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",Trust,الثقة والخصوصية,الثقة,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
footer.legalNote,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)","PCA is a digital child protection platform. Plans, prices and availability described as coming later are not yet released.",PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار والمزايا الموصوفة بأنها قادمة لاحقًا لم تُطلق بعد.,‏PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار وأي عناصر مذكورة على أنها «قادمة لاحقًا» لم تُطرح بعد.,YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
home.affordability.body,/ar/,Home,PCA is being designed with affordability and broad access in mind.,تُصمم PCA مع مراعاة القدرة على تحمل التكلفة وإتاحة الخدمة على نطاق أوسع.,تُصمم PCA مع مراعاة أن تكون التكلفة في متناول الأسر وأن تتاح الخدمة على نطاق أوسع.,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
home.availability.items,/ar/,Home,"[1] title: PCA Parent
[1] body: A responsive experience for phone, tablet and computer. Account access is not open yet.
[2] title: PCA Child on Android
[2] body: The planned primary platform for the first release.
[3] title: PCA Child on iPhone and iPad
[3] body: iPhone and iPad child protection is planned for a later release.","[1] title: PCA Parent
[1] body: تجربة ويب متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. لم يُفتح إنشاء الحسابات بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الأساسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لها في إصدار لاحق.","[1] title: PCA Parent
[1] body: تجربة متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. الوصول إلى الحساب غير متاح بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الرئيسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لإتاحتها في إصدار لاحق.",YES,REVISE_MEDIUM,CLM-024; CLM-026,COMING_LATER; COMING_LATER,APPLIED,"Reviewer selected this row for owner attention: CHANGED_STRING;FEATURE_OR_RELEASE_STATUS | APPLIED and claim-bearing (CLM-024; CLM-026). Current Arabic narrowed EN ""Account access is not open yet"" to account CREATION only. The proposal restores the full scope. Items 2 and 3 keep COMING_LATER framing.",NO,PENDING,
home.availability.label,/ar/,Home,Availability,التوفر,التوفر,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: FEATURE_OR_RELEASE_STATUS,NO,PENDING,
home.availability.title,/ar/,Home,PCA Parent and PCA Child,PCA Parent وPCA Child,PCA Parent وPCA Child,NO,PASS,NONE,NONE,UNCHANGED,Reviewer selected this row for owner attention: FEATURE_OR_RELEASE_STATUS,NO,PENDING,
home.different.items,/ar/,Home,"[1] title: Designed without a readable central child profile
[1] body: Protection does not require a readable central copy.
[2] title: Not designed to collect photos, videos, files or messages
[2] body: Routine protection does not need them.
[3] title: Local-first protection
[3] body: Sensitive information is designed to stay family-side.
[4] title: Affordable, broad access
[4] body: Affordability and broad access shape the design.","[1] title: مصممة دون ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو فيديوهاته أو ملفاته أو رسائله
[2] body: الحماية المعتادة لا تحتاج إليها.
[3] title: حماية تبدأ من الجهاز
[3] body: صُممت المعلومات الحساسة لتبقى لدى الأسرة.
[4] title: تكلفة معقولة وإتاحة أوسع
[4] body: القدرة على تحمل التكلفة والإتاحة الواسعة جزء من التصميم.","[1] title: مصممة دون إنشاء ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو مقاطع الفيديو أو الملفات أو الرسائل
[2] body: الحماية المعتادة لا تحتاج إلى هذه المحتويات.
[3] title: حماية تبدأ محليًا من الجهاز
[3] body: صُمم نهج PCA بحيث تبقى المعلومات الحساسة لدى الأسرة.
[4] title: تكلفة في المتناول وإتاحة أوسع
[4] body: مراعاة التكلفة والإتاحة الواسعة جزء من التصميم.",YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
home.faq.items,/ar/,Home,"[1] q: Does PCA read my child's messages?
[1] a: PCA is not designed to capture or centrally read personal messages.
[2] q: Does PCA collect photos or files?
[2] a: Routine protection does not require a child's photo library, videos or arbitrary files.
[3] q: Can I use PCA Parent without installing it?
[3] a: Yes. Installation is optional; Parent Web remains available in the browser.
[4] q: Does PCA use AI?
[4] a: AI-supported features are planned for a later release.
[5] q: Does PCA protect YouTube use?
[5] a: Advanced YouTube protection is planned for a later release.
[6] q: How much does PCA cost?
[6] a: Final plans and prices are not published yet.","[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري ويمكن استخدام نسخة الويب من المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لـYouTube مخطط لها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.","[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري ويمكن استخدام نسخة الويب من المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لـYouTube مخطط لها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",NO,REVISE_MEDIUM,NONE,NONE,REJECTED_PROPOSAL_CURRENT_ARABIC_RETAINED,"Reviewer selected this row for owner attention: CHANGED_STRING | REJECTED (REVISE_MEDIUM). Answer 2 rewrites ""arbitrary files"" as «أي ملفات أخرى غير لازمة للحماية» — ""any other files not necessary for protection"". That qualifier implicitly concedes that files which ARE necessary for protection are collected, which the English does not say and which contradicts the locked invariant CHILD_FILES_CENTRAL = 0. The reviewer is right that «الملفات العشوائية» is unnatural, but the fix has to keep the unconditional scope. Routed to the owner sheet for a replacement that does not add the condition. Reviewer proposal, for the record: [1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو مقاطع الفيديو أو أي ملفات أخرى غير لازمة للحماية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري، وتظل PCA Parent متاحة عبر المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لإتاحتها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لاستخدام YouTube مخطط لإتاحتها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",NO,PENDING,
home.faq.title,/ar/,Home,Quick answers,أسئلة سريعة,إجابات سريعة,YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
home.final.body,/ar/,Home,"Understand the tools, choose the protections that fit your family, and stay in control of sensitive information.",تعرّف على الأدوات، واختر الحماية المناسبة لأسرتك، واحتفظ بالتحكم في المعلومات الحساسة.,تعرّف على الأدوات، واختر وسائل الحماية المناسبة لأسرتك، وحافظ على تحكمك في المعلومات الحساسة.,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
home.hero.body,/ar/,Home,Children deserve care and protection wherever they spend time—including online.,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك الإنترنت.,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك على الإنترنت.,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
home.protects.items,/ar/,Home,"[1] title: Screen Time
[1] body: Support healthier device-use limits and routines.
[2] title: Safer Browsing
[2] body: Help apply approved web-safety decisions.
[3] title: Apps & Web Controls
[3] body: Set appropriate boundaries for apps and online access.
[4] title: Schedules
[4] body: Create predictable times for study, rest and sleep.
[5] title: Protection Status
[5] body: See whether protections are active.
[6] title: Parent & Child Requests
[6] body: Support clear family interaction when a child needs more time.
[7] title: Alerts
[7] body: Receive relevant protection notices.
[8] title: Device Protection
[8] body: Help maintain the protection configuration on the child device.","[1] title: وقت الشاشة
[1] body: المساعدة في وضع حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في اتخاذ قرارات الحماية على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت الحماية تعمل.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: إرسال تنبيهات مفيدة مرتبطة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.","[1] title: وقت الشاشة
[1] body: دعم حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في تطبيق قرارات السلامة المعتمدة على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت وسائل الحماية مفعّلة.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: تلقي تنبيهات ذات صلة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.",YES,REVISE_MEDIUM,CLM-028; CLM-029; CLM-030; CLM-031; CLM-032; CLM-033; CLM-034; CLM-035,REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT,APPLIED,"Reviewer selected this row for owner attention: CHANGED_STRING | APPLIED and claim-bearing (CLM-028; CLM-029; CLM-030; CLM-031; CLM-032; CLM-033; CLM-034; CLM-035). Three genuine fidelity fixes on a card set carrying eight REQUIRES_PLATFORM_SUPPORT claims: ""apply approved web-safety decisions"" had become ""MAKE web protection decisions""; ""whether protections are ACTIVE"" had become ""whether protection is WORKING"" (a stronger assertion); and ""RECEIVE relevant protection notices"" had become ""SEND useful alerts"" — wrong direction.",NO,PENDING,
home.why.title,/ar/,Home,Built from a parent's concern,بدأت من اهتمام أب بحماية أطفاله,بدأت من اهتمام أحد الوالدين بحماية أطفاله,YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
howItWorks.parent.items,/ar/how-it-works/,How PCA Works,"[1] title: No installation required
[1] body: PCA Parent is designed to run in a supported browser on phone, tablet or computer, with nothing to install.
[2] title: Install PCA Parent
[2] body: Where installation is supported, you may install it for app-like access.
[3] title: Installation remains optional
[3] body: You never need to install PCA Parent just to use the service.","[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا يمكنك تثبيتها لوصول أقرب للتطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent حتى تستخدم الخدمة.","[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا، يمكنك تثبيتها للحصول على تجربة أقرب إلى استخدام التطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent لمجرد استخدام الخدمة.",YES,REVISE_LOW,CLM-019; CLM-020; CLM-021,COMING_LATER; COMING_LATER; VERIFIED_AVAILABLE,APPLIED,"Reviewer selected this row for owner attention: CHANGED_STRING | APPLIED and claim-bearing (CLM-019; CLM-020; CLM-021). Restores EN's ""just"" in ""never need to install ... just to use the service""; rest is fluency.",NO,PENDING,
howItWorks.security.title,/ar/how-it-works/,How PCA Works,Important security distinction,فرق أمني مهم,فرق مهم من ناحية الأمان,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
howItWorks.seo.description,/ar/how-it-works/,How PCA Works,"See the planned PCA journey from parent account to child-device protection, status and family requests.",تعرّف على المسار المخطط من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة.,تعرّف على المسار المخطط في PCA، من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة والتعامل مع طلبات الوالدين والطفل.,YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
howItWorks.seo.title,/ar/how-it-works/,How PCA Works,How PCA Works — Parent and Child Protection Flow,كيف تعمل PCA؟ — مسار الوالدين وحماية جهاز الطفل,كيف تعمل PCA؟ — مسار الوالدين وحماية الطفل,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
