KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED
cta.childSafety,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Read Our Child Safety Principles,اقرأ مبادئ سلامة الطفل,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.createAccount,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Create Account,إنشاء حساب,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.exploreFeatures,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Explore Features,استكشف المزايا,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.getStarted,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Get Started,ابدأ الآن,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.howPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,How PCA Works,كيف تعمل PCA؟,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.login,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Sign In,تسجيل الدخول,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.pcaParent,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,PCA Parent,PCA Parent,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.privacyHandling,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,See How PCA Handles Privacy,كيف تتعامل PCA مع الخصوصية؟,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.seeHowPcaWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,See How PCA Works,تعرّف على طريقة عمل PCA,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.whyPca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Why PCA,لماذا PCA؟,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
footer.group.help,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Help,المساعدة,NONE,NONE,FOOTER_CHROME,LOW,PENDING_REVIEW,,,NO
footer.group.legal,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Legal,الشؤون القانونية,NONE,NONE,FOOTER_CHROME,LOW,PENDING_REVIEW,,,NO
footer.group.pca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,PCA,PCA,NONE,NONE,FOOTER_CHROME,LOW,PENDING_REVIEW,,,NO
footer.group.trust,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,Trust,الثقة والخصوصية,NONE,NONE,FOOTER_CHROME,LOW,PENDING_REVIEW,,,NO
footer.legalNote,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",footer,"PCA is a digital child protection platform. Plans, prices and availability described as coming later are not yet released.",PCA منصة لحماية الأطفال في المساحات الرقمية. الخطط والأسعار والمزايا الموصوفة بأنها قادمة لاحقًا لم تُطلق بعد.,NONE,NONE,FOOTER_CHROME,LOW,PENDING_REVIEW,,,NO
home.affordability.body,/ar/,Home,affordability,PCA is being designed with affordability and broad access in mind.,تُصمم PCA مع مراعاة القدرة على تحمل التكلفة وإتاحة الخدمة على نطاق أوسع.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.affordability.label,/ar/,Home,affordability,Access,الإتاحة,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.affordability.title,/ar/,Home,affordability,A safer digital world should not depend on income,العالم الرقمي الأكثر أمانًا لا ينبغي أن يعتمد على دخل الأسرة,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.availability.items,/ar/,Home,availability,"[1] title: PCA Parent
[1] body: A responsive experience for phone, tablet and computer. Account access is not open yet.
[2] title: PCA Child on Android
[2] body: The planned primary platform for the first release.
[3] title: PCA Child on iPhone and iPad
[3] body: iPhone and iPad child protection is planned for a later release.","[1] title: PCA Parent
[1] body: تجربة ويب متجاوبة للهاتف والجهاز اللوحي والكمبيوتر. لم يُفتح إنشاء الحسابات بعد.
[2] title: PCA Child على أندرويد
[2] body: المنصة الأساسية المخطط لها لأول إصدار.
[3] title: PCA Child على iPhone وiPad
[3] body: حماية الطفل على iPhone وiPad مخطط لها في إصدار لاحق.",CLM-024; CLM-026,COMING_LATER; COMING_LATER,RELEASE_STATE_NOTICE,CRITICAL,PENDING_REVIEW,,,NO
home.availability.label,/ar/,Home,availability,Availability,التوفر,NONE,NONE,RELEASE_STATE_NOTICE,CRITICAL,PENDING_REVIEW,,,NO
home.availability.title,/ar/,Home,availability,PCA Parent and PCA Child,PCA Parent وPCA Child,NONE,NONE,RELEASE_STATE_NOTICE,CRITICAL,PENDING_REVIEW,,,NO
home.different.items,/ar/,Home,different,"[1] title: Designed without a readable central child profile
[1] body: Protection does not require a readable central copy.
[2] title: Not designed to collect photos, videos, files or messages
[2] body: Routine protection does not need them.
[3] title: Local-first protection
[3] body: Sensitive information is designed to stay family-side.
[4] title: Affordable, broad access
[4] body: Affordability and broad access shape the design.","[1] title: مصممة دون ملف مركزي مقروء عن الطفل
[1] body: الحماية لا تتطلب نسخة مركزية مقروءة.
[2] title: لم تُصمم لجمع صور الطفل أو فيديوهاته أو ملفاته أو رسائله
[2] body: الحماية المعتادة لا تحتاج إليها.
[3] title: حماية تبدأ من الجهاز
[3] body: صُممت المعلومات الحساسة لتبقى لدى الأسرة.
[4] title: تكلفة معقولة وإتاحة أوسع
[4] body: القدرة على تحمل التكلفة والإتاحة الواسعة جزء من التصميم.",NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.different.label,/ar/,Home,different,Why PCA is different,لماذا PCA مختلفة؟,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.different.title,/ar/,Home,different,Technology should protect without taking away dignity,التقنية ينبغي أن تحمي الطفل وتحترم كرامته,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.faq.items,/ar/,Home,faq,"[1] q: Does PCA read my child's messages?
[1] a: PCA is not designed to capture or centrally read personal messages.
[2] q: Does PCA collect photos or files?
[2] a: Routine protection does not require a child's photo library, videos or arbitrary files.
[3] q: Can I use PCA Parent without installing it?
[3] a: Yes. Installation is optional; Parent Web remains available in the browser.
[4] q: Does PCA use AI?
[4] a: AI-supported features are planned for a later release.
[5] q: Does PCA protect YouTube use?
[5] a: Advanced YouTube protection is planned for a later release.
[6] q: How much does PCA cost?
[6] a: Final plans and prices are not published yet.","[1] q: هل تقرأ PCA رسائل طفلي؟
[1] a: لم تُصمم PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[2] q: هل تجمع PCA صور الطفل أو ملفاته؟
[2] a: لا تحتاج الحماية المعتادة إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية.
[3] q: هل يمكن استخدام PCA Parent دون تثبيتها؟
[3] a: نعم. التثبيت اختياري ويمكن استخدام نسخة الويب من المتصفح.
[4] q: هل تستخدم PCA الذكاء الاصطناعي؟
[4] a: المزايا المدعومة بالذكاء الاصطناعي مخطط لها في إصدار لاحق.
[5] q: هل تحمي PCA استخدام YouTube؟
[5] a: الحماية المتقدمة لـYouTube مخطط لها في إصدار لاحق.
[6] q: كم تكلفة PCA؟
[6] a: لم تُنشر الخطط والأسعار النهائية بعد.",NONE,NONE,FAQ,MEDIUM,PENDING_REVIEW,,,NO
home.faq.label,/ar/,Home,faq,Common questions,أسئلة شائعة,NONE,NONE,FAQ,MEDIUM,PENDING_REVIEW,,,NO
home.faq.title,/ar/,Home,faq,Quick answers,أسئلة سريعة,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.final.body,/ar/,Home,final,"Understand the tools, choose the protections that fit your family, and stay in control of sensitive information.",تعرّف على الأدوات، واختر الحماية المناسبة لأسرتك، واحتفظ بالتحكم في المعلومات الحساسة.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.final.title,/ar/,Home,final,Start building safer digital habits with your family,ابدأ ببناء عادات رقمية أكثر أمانًا مع أسرتك,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.hero.body,/ar/,Home,hero,Children deserve care and protection wherever they spend time—including online.,يستحق الأطفال الرعاية والحماية أينما يقضون وقتهم، بما في ذلك الإنترنت.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.hero.reassure,/ar/,Home,hero,PCA is designed not to build a readable central profile of your child's sensitive activity.,صُممت PCA بحيث لا تنشئ ملفًا مركزيًا مقروءًا عن النشاط الحساس لطفلك.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.hero.title,/ar/,Home,hero,Protecting children in digital spaces.,حماية الأطفال في المساحات الرقمية,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.protects.items,/ar/,Home,protects,"[1] title: Screen Time
[1] body: Support healthier device-use limits and routines.
[2] title: Safer Browsing
[2] body: Help apply approved web-safety decisions.
[3] title: Apps & Web Controls
[3] body: Set appropriate boundaries for apps and online access.
[4] title: Schedules
[4] body: Create predictable times for study, rest and sleep.
[5] title: Protection Status
[5] body: See whether protections are active.
[6] title: Parent & Child Requests
[6] body: Support clear family interaction when a child needs more time.
[7] title: Alerts
[7] body: Receive relevant protection notices.
[8] title: Device Protection
[8] body: Help maintain the protection configuration on the child device.","[1] title: وقت الشاشة
[1] body: المساعدة في وضع حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في اتخاذ قرارات الحماية على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت الحماية تعمل.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: إرسال تنبيهات مفيدة مرتبطة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.",CLM-028; CLM-029; CLM-030; CLM-031; CLM-032; CLM-033; CLM-034; CLM-035,REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT,BODY_COPY,CRITICAL,PENDING_REVIEW,,,NO
home.protects.label,/ar/,Home,protects,What PCA protects,ما الذي تحميه PCA؟,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.protects.title,/ar/,Home,protects,Practical protection families can understand,حماية عملية يمكن للأسرة فهمها,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.seo.description,/ar/,Home,seo,"PCA helps families create safer digital spaces for children with practical protection, privacy-minimizing design and clear parental control.",تساعد PCA الوالدين على توفير مساحات رقمية أكثر أمانًا للأطفال من خلال حماية عملية، وتصميم يحد من جمع المعلومات، وتحكم واضح للوالدين.,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
home.seo.title,/ar/,Home,seo,PCA — Protecting Children in Digital Spaces,PCA — حماية الأطفال في المساحات الرقمية,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
home.steps.items,/ar/,Home,steps,"[1] title: Create your parent account
[1] body: Set up access to PCA Parent.
[2] title: Add your child in PCA Parent
[2] body: Child setup belongs inside the protected Parent experience.
[3] title: Install PCA Child on a supported device
[3] body: Android is the planned primary platform.
[4] title: Connect the device and choose protections
[4] body: Set the rules and schedules appropriate for your family.
[5] title: Review protection status
[5] body: Check protection status and respond to supported requests.","[1] title: أنشئ حساب الوالدين
[1] body: ابدأ بإعداد الوصول إلى PCA Parent.
[2] title: أضف طفلك داخل PCA Parent
[2] body: يتم إعداد معلومات الطفل داخل بيئة الوالدين المحمية.
[3] title: ثبّت PCA Child على جهاز مدعوم
[3] body: أندرويد هو المنصة الأساسية المخطط لها.
[4] title: اربط الجهاز واختر إعدادات الحماية
[4] body: حدد القواعد والجداول المناسبة لأسرتك.
[5] title: راجع حالة الحماية
[5] body: تابع حالة الحماية وتعامل مع الطلبات المدعومة.",CLM-024,COMING_LATER,BODY_COPY,CRITICAL,PENDING_REVIEW,,,NO
home.steps.label,/ar/,Home,steps,How it works,كيف تعمل PCA؟,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.steps.title,/ar/,Home,steps,Five simple steps,خمس خطوات واضحة,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
home.why.body,/ar/,Home,why,"[1] PCA began with a simple question: if we work hard to protect children at home, at school and in public spaces, why should their digital spaces be treated differently?
[2] We believe families should have useful tools for digital protection without needing to trade away a child’s privacy.","[1] بدأت فكرة PCA بسؤال بسيط: إذا كنا نبذل جهدًا لحماية الأطفال في المنزل والمدرسة والأماكن العامة، فلماذا نتعامل مع المساحات الرقمية وكأن الحماية تتوقف عندها؟
[2] نؤمن بأن الأسرة تحتاج إلى أدوات مفيدة للحماية الرقمية دون أن تضطر للتنازل عن خصوصية الطفل.",NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.why.label,/ar/,Home,why,Why PCA exists,لماذا وُجدت PCA؟,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
home.why.title,/ar/,Home,why,Built from a parent's concern,بدأت من اهتمام أب بحماية أطفاله,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.child.items,/ar/how-it-works/,How PCA Works,child,"[1] title: Android
[1] body: When the first PCA Child release is ready, Android is the planned primary platform.
[2] title: iPhone and iPad
[2] body: Child protection for iPhone and iPad is planned for a later release.","[1] title: أندرويد
[1] body: عند جاهزية أول إصدار من PCA Child ستكون أندرويد هي المنصة الأساسية المخطط لها.
[2] title: iPhone وiPad
[2] body: حماية أجهزة iPhone وiPad مخطط لها في إصدار لاحق.",CLM-024; CLM-026,COMING_LATER; COMING_LATER,BODY_COPY,CRITICAL,PENDING_REVIEW,,,NO
howItWorks.child.title,/ar/how-it-works/,How PCA Works,child,PCA Child,PCA Child,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.hero.body,/ar/how-it-works/,How PCA Works,hero,"PCA is designed to make the protection journey understandable: set up the parent account, connect the supported child device, choose appropriate rules, and review protection status from PCA Parent.",صُممت PCA لتكون خطوات الحماية واضحة: أنشئ حساب الوالدين، واربط جهاز الطفل المدعوم، واختر القواعد المناسبة، ثم راجع حالة الحماية عبر PCA Parent.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.hero.title,/ar/how-it-works/,How PCA Works,hero,From account setup to everyday protection,من إنشاء الحساب إلى الحماية اليومية,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.parent.items,/ar/how-it-works/,How PCA Works,parent,"[1] title: No installation required
[1] body: PCA Parent is designed to run in a supported browser on phone, tablet or computer, with nothing to install.
[2] title: Install PCA Parent
[2] body: Where installation is supported, you may install it for app-like access.
[3] title: Installation remains optional
[3] body: You never need to install PCA Parent just to use the service.","[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا يمكنك تثبيتها لوصول أقرب للتطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent حتى تستخدم الخدمة.",CLM-019; CLM-020; CLM-021,COMING_LATER; COMING_LATER; VERIFIED_AVAILABLE,BODY_COPY,CRITICAL,PENDING_REVIEW,,,NO
howItWorks.parent.title,/ar/how-it-works/,How PCA Works,parent,PCA Parent,PCA Parent,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.security.body,/ar/how-it-works/,How PCA Works,security,Installing PCA Parent is about convenience. Trusted Browser authorization is a separate PCA security concept and follows separate rules.,تثبيت PCA Parent يتعلق بالسهولة والوصول. أما “المتصفح الموثوق” فهو مفهوم أمني منفصل وله قواعده الخاصة.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.security.title,/ar/how-it-works/,How PCA Works,security,Important security distinction,فرق أمني مهم,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.sensitive.body,/ar/how-it-works/,How PCA Works,sensitive,Protection settings and status move between your trusted devices. Privacy & Safety explains what is processed where.,تنتقل إعدادات الحماية وحالتها بين أجهزتك الموثوقة. وتشرح صفحة الخصوصية والسلامة ما الذي تتم معالجته وأين.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.sensitive.title,/ar/how-it-works/,How PCA Works,sensitive,What happens to sensitive information?,ماذا يحدث للمعلومات الحساسة؟,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.seo.description,/ar/how-it-works/,How PCA Works,seo,"See the planned PCA journey from parent account to child-device protection, status and family requests.",تعرّف على المسار المخطط من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة.,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.seo.title,/ar/how-it-works/,How PCA Works,seo,How PCA Works — Parent and Child Protection Flow,كيف تعمل PCA؟ — مسار الوالدين وحماية جهاز الطفل,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
