TABLE_NAME,COLUMN_NAME,DATA_TYPE,PRIVACY_CLASS,RATIONALE
billing_payment_attempts,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_payment_attempts,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_attempts,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_attempts,provider,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_attempts,provider_reference,varchar(128),OPERATIONAL_METADATA,"External payment provider's own correlation string, not a PCA table reference."
billing_payment_attempts,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_payment_attempts,updated_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_payment_methods,payment_method_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_methods,account_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_methods,provider,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_methods,provider_payment_method_ref,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_methods,brand,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_methods,display_label,varchar(64),READABLE_PARENT_DATA,"Parent-visible billing/display label (e.g. invoice line description, masked card label) — not child/family activity content."
billing_payment_methods,last4,char(4),READABLE_PARENT_DATA,"Last 4 digits of a payment card, standard minimal display data."
billing_payment_methods,expiry_month,tinyint unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_payment_methods,expiry_year,smallint unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_payment_methods,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_methods,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_payment_transactions,payment_transaction_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,payment_attempt_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,account_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,invoice_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_payment_transactions,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_transactions,provider,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_payment_transactions,provider_transaction_ref,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,quote_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,price_book_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_transactions,price_book_version,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_payment_transactions,confirmed_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_plans,plan_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_plans,plan_code,varchar(64),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_plans,plan_version,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_plans,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_plans,billing_cadence,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_plans,default_parent_member_limit,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_plans,default_managed_device_limit,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_plans,price_book_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_plans,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_price_books,price_book_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_price_books,commercial_market,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_price_books,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_price_books,target_device_limit,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_price_books,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_price_books,price_book_version,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_price_books,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_price_books,effective_from,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_price_books,effective_to,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_price_books,created_by_admin_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_price_books,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_price_books,open_active_key,varchar(64),OPAQUE_IDENTIFIER,"Idempotency/dedup/uniqueness key, opaque."
billing_provider_events,provider_event_row_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_provider_events,provider,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_provider_events,provider_event_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_provider_events,received_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_provider_events,processing_status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_provider_events,correlation_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_quotes,quote_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_quotes,increase_request_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_quotes,commercial_market,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_quotes,target_device_limit,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_quotes,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_quotes,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_quotes,issued_by_admin_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_quotes,issued_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_quotes,expires_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_quotes,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refund_operations,refund_operation_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refund_operations,payment_transaction_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refund_operations,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_refund_operations,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refund_operations,reason_code,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refund_operations,reason_note,varchar(255),OPERATIONAL_METADATA,"Admin-authored free-text business-process justification (always paired with a *_by_admin_id column) — never child/family personal content, but genuinely free-text; see PCA_CANONICAL_SCHEMA_REPORT.md caveat."
billing_refund_operations,initiated_by_admin_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refund_operations,step_up_session_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refund_operations,provider,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refund_operations,idempotency_key,varchar(128),OPAQUE_IDENTIFIER,"Idempotency/dedup/uniqueness key, opaque."
billing_refund_operations,provider_refund_ref,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refund_operations,state,varchar(20),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refund_operations,refund_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refund_operations,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_refund_operations,updated_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_refunds,refund_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refunds,payment_transaction_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refunds,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_refunds,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refunds,reason_code,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refunds,reason_note,varchar(255),OPERATIONAL_METADATA,"Admin-authored free-text business-process justification (always paired with a *_by_admin_id column) — never child/family personal content, but genuinely free-text; see PCA_CANONICAL_SCHEMA_REPORT.md caveat."
billing_refunds,initiated_by_admin_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refunds,step_up_session_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_refunds,entitlement_treatment,varchar(32),OPERATIONAL_METADATA,"Closed enum ('NOT_APPLICABLE','ENTITLEMENT_UNCHANGED','ENTITLEMENT_REDUCTION_PENDING')."
billing_refunds,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_refunds,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_subscriptions,subscription_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_subscriptions,account_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_subscriptions,plan_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_subscriptions,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_subscriptions,current_period_start,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_subscriptions,current_period_end,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_subscriptions,payment_method_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_subscriptions,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_subscriptions,canceled_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_subscriptions,auto_renew,tinyint(1),OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_subscriptions,active_account_key,varchar(80),OPAQUE_IDENTIFIER,"Idempotency/dedup/uniqueness key, opaque."
commercial_notifications,notification_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
commercial_notifications,account_ref,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
commercial_notifications,event_type,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
commercial_notifications,dedupe_key,varchar(191),OPAQUE_IDENTIFIER,"Idempotency/dedup/uniqueness key, opaque."
commercial_notifications,resource_ref,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
commercial_notifications,message_key,varchar(64),OPAQUE_IDENTIFIER,"Fixed enum-like localization key into a client-side translation table (migration 0012: 'never free-text, never a pre-rendered English sentence')."
commercial_notifications,params_json,json,OPERATIONAL_METADATA,"Server-controlled structured parameter bag (migration 0012), never free-text."
commercial_notifications,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
commercial_notifications,read_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
commercial_notifications,acknowledged_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
complimentary_entitlement_grants,grant_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
complimentary_entitlement_grants,family_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
complimentary_entitlement_grants,entitlement_type,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
complimentary_entitlement_grants,category,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary grant category.
complimentary_entitlement_grants,amount_or_allowance,int,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
complimentary_entitlement_grants,effective_from,datetime(3),OPERATIONAL_METADATA,Timestamp.
complimentary_entitlement_grants,expires_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
complimentary_entitlement_grants,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
complimentary_entitlement_grants,reason_code,varchar(64),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
complimentary_entitlement_grants,internal_note,varchar(2000),OPERATIONAL_METADATA,"Admin-authored free-text business-process justification (always paired with a *_by_admin_id column) — never child/family personal content, but genuinely free-text; see PCA_CANONICAL_SCHEMA_REPORT.md caveat."
complimentary_entitlement_grants,granted_by_admin_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
complimentary_entitlement_grants,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
complimentary_entitlement_grants,revoked_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
complimentary_entitlement_grants,revoked_by_admin_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
complimentary_entitlement_grants,revision,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
device_challenges,challenge_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_challenges,device_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_challenges,family_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_challenges,nonce,varchar(256),ENCRYPTED_PAYLOAD,Opaque encrypted/binary payload.
device_challenges,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
device_challenges,expires_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
device_challenges,consumed_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
device_protection_status,device_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_protection_status,family_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_protection_status,protection_level,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
device_protection_status,updated_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
device_public_keys,device_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_public_keys,key_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
device_public_keys,key_purpose,varchar(8),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
device_public_keys,public_key,varchar(128),SECURITY_METADATA,Public signing key material (never private).
device_public_keys,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
device_public_keys,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
device_public_keys,revoked_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
devices,device_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
devices,family_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
devices,platform,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
devices,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
devices,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
devices,revoked_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
devices,paired_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
devices,paired_by_account_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
devices,registered_by_account_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
enrollment_administration_verifiers,family_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
