TEST_FILE,SUBSYSTEM,TABLES_EXERCISED,AUTHORITATIVE_RESULT,FAILURE_CLASSIFICATION,NOTES
test/db/refundBalanceRaceConcurrency.mysql.test.mjs,refundBalanceRaceConcurrency,billing_payment_transactions;billing_refund_operations;billing_refunds;platform_admin_sessions;platform_admin_step_up_sessions,PASS (2 pass),N/A,
test/db/familyCommercialIntegration.mysql.test.mjs,familyCommercialIntegration,,PASS (6 pass),N/A,
test/db/familyCommercialAuthority.mysql.test.mjs,familyCommercialAuthority,family_authority_chain_heads;family_authority_genesis_anchors,PASS (4 pass),N/A,
test/db/commercialNotifications.mysql.test.mjs,commercialNotifications,commercial_notifications,PASS (8 pass),N/A,
test/db/commercialNotificationsConcurrency.mysql.test.mjs,commercialNotificationsConcurrency,commercial_notifications,PASS (2 pass),N/A,
test/db/commercialNotificationsSchemaPrivacy.mysql.test.mjs,commercialNotificationsSchemaPrivacy,commercial_notifications,PASS (4 pass),N/A,
test/db/commercialNotificationsHttp.mysql.test.mjs,commercialNotificationsHttp,families;parent_accounts;service_account_family_scopes,PASS (5 pass),N/A,
test/db/parentAccount.mysql.test.mjs,parentAccount,account_entitlements;families;parent_accounts;parent_email_verification_codes;platform_admin_mfa_state;service_account_family_scopes;service_sessions,MIXED (12 pass / 4 fail),PRE_EXISTING_UNRELATED,repository.create is not a function -- test calls a method that has never existed on MySqlFamilyMemberInvitationRepository (only createAtomically exists). Confirmed identical failure against a pure migration-built database (Database A) -- not schema-attributable.
test/db/complimentaryGrants.mysql.test.mjs,complimentaryGrants,account_entitlements;billing_invoices;billing_payment_attempts;billing_payment_transactions;billing_provider_events;enrollment_invitations;families;platform_admin_audit_events;platform_admin_mfa_state,PASS (19 pass),N/A,
test/db/commercialMaintenance.mysql.test.mjs,commercialMaintenance,billing_plans;billing_quotes;billing_subscriptions;commercial_notifications,NEEDS_REVIEW (11 pass / 1 fail),UNKNOWN,"Failure seen only in isolated per-file re-run, not in the authoritative single combined npm run test:db invocation -- see PCA_CANONICAL_SCHEMA_REPORT.md."
test/db/freeAccessEnforcement.mysql.test.mjs,freeAccessEnforcement,platform_admin_audit_events;platform_admin_mfa_state,PASS (9 pass),N/A,
test/db/settlement.mysql.test.mjs,settlement,billing_payment_transactions;platform_admin_audit_events;platform_admin_mfa_state;settlement_accounts;settlement_batch_items;settlement_batches;settlement_fx_snapshots,PASS (21 pass),N/A,
test/db/dashboardSettlementMetrics.mysql.test.mjs,dashboardSettlementMetrics,account_entitlements;billing_payment_attempts;billing_plans;billing_subscriptions;enrollment_invitations;entitlement_change_requests;families;platform_admin_mfa_state;settlement_batches,PASS (8 pass),N/A,
test/db/familyAccountStatus.mysql.test.mjs,familyAccountStatus,families;platform_admin_audit_events;platform_admin_mfa_state,PASS (7 pass),N/A,
test/db/platformAdminSettingsCategories.mysql.test.mjs,platformAdminSettingsCategories,platform_admin_mfa_state;platform_admin_settings,PASS (11 pass),N/A,
test/db/deviceProtectionStatus.mysql.test.mjs,deviceProtectionStatus,device_protection_status;devices,PASS (7 pass),N/A,
test/db/protectionAlerts.mysql.test.mjs,protectionAlerts,protection_alerts,PASS (11 pass),N/A,
test/db/browserEndpoint.mysql.test.mjs,browserEndpoint,device_public_keys;devices;service_accounts,PASS (5 pass),N/A,
test/db/webhookService.mysql.test.mjs,webhookService,billing_payment_attempts;billing_payment_transactions;billing_provider_events;platform_admin_audit_events,PASS (12 pass),N/A,
test/db/dispute.mysql.test.mjs,dispute,billing_disputes,PASS (5 pass),N/A,
test/db/raiseLimitReservationSurvival.mysql.test.mjs,raiseLimitReservationSurvival,entitlement_defaults;managed_device_slot_reservations,PASS (1 pass),N/A,
test/db/eyeProtectionSettings.mysql.test.mjs,eyeProtectionSettings,,PASS (5 pass),N/A,
test/db/auditAlertCiphertextExpiry.mysql.test.mjs,auditAlertCiphertextExpiry,family_audit_events;protection_alerts,PASS (6 pass),N/A,
test/db/migrationAdvisoryLock.mysql.test.mjs,migrationAdvisoryLock,,PASS (3 pass),N/A,
test/db/childProfileRegistry.mysql.test.mjs,childProfileRegistry,devices;enrollment_invitations;eye_protection_settings;families;family_child_memberships;service_account_family_scopes,PASS (9 pass),N/A,
test/db/childProfileInvitationBindingHttp.mysql.test.mjs,childProfileInvitationBindingHttp,families;licenses;service_account_family_scopes,PASS (5 pass),N/A,
