OBJECT_TYPE,OBJECT_NAME,SOURCE_PATH,SOURCE_LINE_OR_MIGRATION,CURRENT_USE,RUNTIME_WRITER,RUNTIME_READER,OWNER_MODULE,V1_REQUIRED,NOTES
TABLE,billing_disputes,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/dispute.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts,backend/src/billing/dispute.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/platformadmin,YES,
INDEX,billing_disputes.billing_disputes_transaction_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,columns: payment_transaction_id
FOREIGN_KEY,billing_disputes.billing_disputes_transaction_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,billing_disputes.(payment_transaction_id) -> billing_payment_transactions.(payment_transaction_id) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_invoice_lines,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/invoice.ts,backend/src/familycommercial/FamilyInvoiceReadRepository.ts,backend/src/billing,YES,
INDEX,billing_invoice_lines.billing_invoice_lines_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: currency_code
INDEX,billing_invoice_lines.billing_invoice_lines_invoice_id_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: invoice_id
INDEX,billing_invoice_lines.billing_invoice_lines_plan_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: plan_id
INDEX,billing_invoice_lines.billing_invoice_lines_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: price_book_id
FOREIGN_KEY,billing_invoice_lines.billing_invoice_lines_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_invoice_lines.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_invoice_lines.billing_invoice_lines_invoice_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_invoice_lines.(invoice_id) -> billing_invoices.(invoice_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_invoice_lines.billing_invoice_lines_plan_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_invoice_lines.(plan_id) -> billing_plans.(plan_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_invoice_lines.billing_invoice_lines_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_invoice_lines.(price_book_id) -> billing_price_books.(price_book_id) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_invoices,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/invoice.ts,backend/src/billing/invoice.ts;backend/src/familycommercial/FamilyInvoiceReadRepository.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/platformadmin,YES,
INDEX,billing_invoices.billing_invoices_account_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,columns: account_ref
INDEX,billing_invoices.billing_invoices_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,columns: currency_code
INDEX,billing_invoices.billing_invoices_subscription_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,columns: subscription_id
FOREIGN_KEY,billing_invoices.billing_invoices_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,billing_invoices.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_invoices.billing_invoices_subscription_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,billing_invoices.(subscription_id) -> billing_subscriptions.(subscription_id) ON DELETE NO ACTION ON UPDATE NO ACTION
APPLICATION_ENFORCED_RELATION,billing_invoices.account_ref,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,-> parent_accounts.account_id: Billing/commercial plane isolation from the family plane. (source: backend/test/billing/schemaPrivacy.test.mjs; backend/test/db/billingCoreSchemaPrivacy.mysql.test.mjs)
TABLE,billing_payment_attempts,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/payment.ts,backend/src/billing/payment.ts;backend/src/billing/shared/paymentAttemptLookup.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/billing,YES,
INDEX,billing_payment_attempts.billing_payment_attempts_account_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: account_ref
INDEX,billing_payment_attempts.billing_payment_attempts_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: currency_code
INDEX,billing_payment_attempts.billing_payment_attempts_increase_request_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: increase_request_ref
INDEX,billing_payment_attempts.billing_payment_attempts_invoice_id_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: invoice_id
INDEX,billing_payment_attempts.billing_payment_attempts_payment_method_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: payment_method_id
INDEX,billing_payment_attempts.billing_payment_attempts_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: price_book_id
INDEX,billing_payment_attempts.billing_payment_attempts_quote_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: quote_id
FOREIGN_KEY,billing_payment_attempts.billing_payment_attempts_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_attempts.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_attempts.billing_payment_attempts_invoice_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_attempts.(invoice_id) -> billing_invoices.(invoice_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_attempts.billing_payment_attempts_payment_method_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_attempts.(payment_method_id) -> billing_payment_methods.(payment_method_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_attempts.billing_payment_attempts_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_attempts.(price_book_id) -> billing_price_books.(price_book_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_attempts.billing_payment_attempts_quote_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_attempts.(quote_id) -> billing_quotes.(quote_id) ON DELETE NO ACTION ON UPDATE NO ACTION
APPLICATION_ENFORCED_RELATION,billing_payment_attempts.account_ref,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,-> parent_accounts.account_id: Billing/commercial plane isolation from the family plane. (source: backend/test/billing/schemaPrivacy.test.mjs)
APPLICATION_ENFORCED_RELATION,billing_payment_attempts.increase_request_ref,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,-> entitlement_change_requests.request_id: Opaque identifier of the entitlement increase-request this payment corresponds to; no FK. (source: backend/src/billing/entitlementContract.ts:21)
TABLE,billing_payment_methods,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/paymentMethod.ts,backend/src/billing/paymentMethod.ts,backend/src/billing,YES,
INDEX,billing_payment_methods.billing_payment_methods_account_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: account_ref
APPLICATION_ENFORCED_RELATION,billing_payment_methods.account_ref,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,-> parent_accounts.account_id: Billing/commercial plane isolation from the family plane. (source: backend/test/billing/schemaPrivacy.test.mjs)
TABLE,billing_payment_transactions,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/payment.ts;backend/src/billing/refundOrchestration/RefundOrchestrationService.ts,backend/src/billing/payment.ts;backend/src/billing/refundOrchestration/RefundOrchestrationService.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts,backend/src/billing,YES,
INDEX,billing_payment_transactions.billing_payment_transactions_account_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: account_ref
UNIQUE_CONSTRAINT,billing_payment_transactions.billing_payment_transactions_attempt_key,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: payment_attempt_id
INDEX,billing_payment_transactions.billing_payment_transactions_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: currency_code
INDEX,billing_payment_transactions.billing_payment_transactions_invoice_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: invoice_id
INDEX,billing_payment_transactions.billing_payment_transactions_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: price_book_id
INDEX,billing_payment_transactions.billing_payment_transactions_quote_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: quote_id
FOREIGN_KEY,billing_payment_transactions.billing_payment_transactions_attempt_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_transactions.(payment_attempt_id) -> billing_payment_attempts.(payment_attempt_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_transactions.billing_payment_transactions_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_transactions.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_transactions.billing_payment_transactions_invoice_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_transactions.(invoice_id) -> billing_invoices.(invoice_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_transactions.billing_payment_transactions_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_transactions.(price_book_id) -> billing_price_books.(price_book_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_payment_transactions.billing_payment_transactions_quote_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_payment_transactions.(quote_id) -> billing_quotes.(quote_id) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_plans,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/plan.ts,backend/src/billing/plan.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/platformadmin,YES,
UNIQUE_CONSTRAINT,billing_plans.billing_plans_code_version,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,"columns: plan_code,plan_version"
INDEX,billing_plans.billing_plans_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,columns: price_book_id
FOREIGN_KEY,billing_plans.billing_plans_price_book_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/platformadmin,YES,billing_plans.(price_book_id) -> billing_price_books.(price_book_id) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_price_books,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/priceBook.ts;backend/src/entitlements/types.ts,backend/src/billing/priceBook.ts,backend/src/entitlements,YES,
INDEX,billing_price_books.billing_price_books_admin_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,columns: created_by_admin_id
INDEX,billing_price_books.billing_price_books_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,columns: currency_code
UNIQUE_CONSTRAINT,billing_price_books.billing_price_books_key_version,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,"columns: commercial_market,currency_code,target_device_limit,price_book_version"
INDEX,billing_price_books.billing_price_books_lookup_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,"columns: commercial_market,currency_code,target_device_limit,effective_from"
UNIQUE_CONSTRAINT,billing_price_books.billing_price_books_open_active_key,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,columns: open_active_key
FOREIGN_KEY,billing_price_books.billing_price_books_admin_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,billing_price_books.(created_by_admin_id) -> platform_admin_accounts.(admin_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_price_books.billing_price_books_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,billing_price_books.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_price_books.billing_price_books_market_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/entitlements,YES,billing_price_books.(commercial_market) -> billing_commercial_markets.(commercial_market) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_provider_events,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/providerEvent.ts,backend/src/billing/providerEvent.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts,backend/src/billing,YES,
UNIQUE_CONSTRAINT,billing_provider_events.billing_provider_events_provider_event_key,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,"columns: provider,provider_event_id"
TABLE,billing_quotes,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/quote.ts;backend/src/commercialmaintenance/CommercialMaintenanceRunner.ts,backend/src/billing/quote.ts;backend/src/commercialmaintenance/CommercialMaintenanceRunner.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/billing,YES,
INDEX,billing_quotes.billing_quotes_admin_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: issued_by_admin_id
INDEX,billing_quotes.billing_quotes_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: currency_code
INDEX,billing_quotes.billing_quotes_increase_request_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: increase_request_ref
INDEX,billing_quotes.billing_quotes_market_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: commercial_market
FOREIGN_KEY,billing_quotes.billing_quotes_admin_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_quotes.(issued_by_admin_id) -> platform_admin_accounts.(admin_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_quotes.billing_quotes_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_quotes.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_quotes.billing_quotes_market_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_quotes.(commercial_market) -> billing_commercial_markets.(commercial_market) ON DELETE NO ACTION ON UPDATE NO ACTION
APPLICATION_ENFORCED_RELATION,billing_quotes.increase_request_ref,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,-> entitlement_change_requests.request_id: Opaque identifier of the entitlement increase-request; no FK. (source: backend/src/billing/entitlementContract.ts:21)
TABLE,billing_refund_operations,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,backend/src/billing/refundOrchestration/RefundOrchestrationService.ts,backend/src/billing/refundOrchestration/RefundOrchestrationService.ts,backend/src/billing,YES,
INDEX,billing_refund_operations.billing_refund_operations_admin_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,columns: initiated_by_admin_id
INDEX,billing_refund_operations.billing_refund_operations_currency_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,columns: currency_code
UNIQUE_CONSTRAINT,billing_refund_operations.billing_refund_operations_idempotency_key,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,columns: idempotency_key
INDEX,billing_refund_operations.billing_refund_operations_refund_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,columns: refund_id
INDEX,billing_refund_operations.billing_refund_operations_step_up_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,columns: step_up_session_id
INDEX,billing_refund_operations.billing_refund_operations_transaction_idx,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,columns: payment_transaction_id
FOREIGN_KEY,billing_refund_operations.billing_refund_operations_admin_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,billing_refund_operations.(initiated_by_admin_id) -> platform_admin_accounts.(admin_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refund_operations.billing_refund_operations_currency_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,billing_refund_operations.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refund_operations.billing_refund_operations_refund_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,billing_refund_operations.(refund_id) -> billing_refunds.(refund_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refund_operations.billing_refund_operations_step_up_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,billing_refund_operations.(step_up_session_id) -> platform_admin_step_up_sessions.(step_up_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refund_operations.billing_refund_operations_transaction_fk,backend/migrations/0008_payment_orchestration.sql,0008_payment_orchestration.sql,ACTIVE,,,backend/src/billing,YES,billing_refund_operations.(payment_transaction_id) -> billing_payment_transactions.(payment_transaction_id) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_refunds,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/refund.ts,backend/src/billing/refund.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/billing,YES,
INDEX,billing_refunds.billing_refunds_admin_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: initiated_by_admin_id
INDEX,billing_refunds.billing_refunds_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: currency_code
INDEX,billing_refunds.billing_refunds_step_up_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: step_up_session_id
INDEX,billing_refunds.billing_refunds_transaction_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: payment_transaction_id
FOREIGN_KEY,billing_refunds.billing_refunds_admin_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_refunds.(initiated_by_admin_id) -> platform_admin_accounts.(admin_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refunds.billing_refunds_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_refunds.(currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refunds.billing_refunds_step_up_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_refunds.(step_up_session_id) -> platform_admin_step_up_sessions.(step_up_id) ON DELETE NO ACTION ON UPDATE NO ACTION
FOREIGN_KEY,billing_refunds.billing_refunds_transaction_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_refunds.(payment_transaction_id) -> billing_payment_transactions.(payment_transaction_id) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_subscriptions,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/subscription.ts;backend/src/http/routes/familyCommercialRoutes.ts,backend/src/billing/subscription.ts;backend/src/commercialmaintenance/CommercialMaintenanceRunner.ts;backend/src/platformadmin/readmodels/AccountsReadModel.ts;backend/src/platformadmin/readmodels/BillingReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/http,YES,
INDEX,billing_subscriptions.billing_subscriptions_account_ref_idx,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/http,YES,columns: account_ref
UNIQUE_CONSTRAINT,billing_subscriptions.billing_subscriptions_active_account_key,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/http,YES,columns: active_account_key
INDEX,billing_subscriptions.billing_subscriptions_payment_method_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/http,YES,columns: payment_method_id
INDEX,billing_subscriptions.billing_subscriptions_plan_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/http,YES,columns: plan_id
FOREIGN_KEY,billing_subscriptions.billing_subscriptions_payment_method_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/http,YES,billing_subscriptions.(payment_method_id) -> billing_payment_methods.(payment_method_id) ON DELETE NO ACTION ON UPDATE NO ACTION
