DOMAIN,PHASE_OR_REQUIREMENT,CLASSIFICATION,SOURCE_COMPLETE,VALIDATED_COMPLETE,PRODUCTION_READY,CURRENT_EVIDENCE,TEST_EVIDENCE,REPO_SOLVABLE_GAP,OWNER_DECISION,EXTERNAL_GATE,RISK,RECOMMENDED_NEXT_ACTION,PRIORITY,RELEASE_DEPENDENCY
Parent Panel/RBAC,PCA-10 parent dashboard and RBAC,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"familyrbac 19 files 2632 LOC; requireFamilyAuthorization pre-handler; 4 Unavailable* stubs wired in main.ts","Non-DB green; 4 DB tests DEAD (repository.create is not a function)","UnavailableTrustSetRoleResolver denies every parent action; IDOR-defence test #311 asserts nothing",NO,CRYPTO_SECURITY_REVIEW,HIGH,"Repair parentAccount.mysql.test.mjs to createAtomically(); add double-conformance test",P0,B/C
E2EE Sync,PCA-11 E2EE relay sync,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"familyenvelope/familysync/runtime-sync/relay ~4400 LOC; routes registered","Non-DB green","Every envelope rejected (RejectingEnvelopeSignatureVerifier main.ts:313); resolveEnvelopeContext placeholder returns empty key and zero epochs",NO,PRODUCTION_CRYPTO_SUITE,HIGH,"Fix resolveEnvelopeContext BEFORE activating crypto - it becomes a live anti-downgrade hole",P0,B/D
Retention,PCA-12 retention deletion export,PARTIAL,PARTIAL,PARTIAL,NO,"backend/src/retention routed; Android retention real and wired; parent-web privacy pages exist","Non-DB green","InMemoryDeleteNowLedger wired main.ts:279 with NO durable sibling - a restart loses the record of a deletion the parent was told happened; backend/src/export is an ORPHAN (no route); retentionRoutes has NO server-side role check",NO,NONE,HIGH,"Build durable DeleteNow ledger; route or retire src/export; add server-side authz to retentionRoutes",P1,B/C
Tamper,PCA-13 tamper detection and recovery,PARTIAL,PARTIAL,NO,NO,"Android runtime/tamper 5 monitors all wired and writing real events","JVM tests","backend/src/tamper is a TRUE ORPHAN (zero importers, no route) - tamper events are produced locally with no server-side consumer",NO,NONE,MEDIUM,Wire or explicitly defer the backend tamper consumer,P2,D
AI,PCA-14 on-device AI and model lifecycle,NOT_STARTED,NO,NO,NO,"backend/src/ai and src/model are ORPHANS; Android has NO AI package; zero model binaries tracked repo-wide",None,No model ships; no classifier runtime,YES,CLOUD_AI_OWNER_DECISION,LOW,Confirm POST-V1 deferral in writing,P3,POST-V1
iOS,PCA-15 iOS Family Controls,PARTIAL,NO,NO,NO,"57 Swift files all in a build target; 148 tests; entitlements honestly declared","NOT_RUN: no macOS/Xcode","PCADeviceActivityMonitor cannot compile (1 source file references 10 host-app-only types); no DeviceActivityCenter call site anywhere; no DEVELOPMENT_TEAM, no app icon, no launch screen; 12 capability types have zero call sites",NO,IOS_MAC_XCODE + IOS_FAMILY_CONTROLS_ENTITLEMENT + IOS_PHYSICAL_DEVICE,HIGH,"Fix the extension target's source set before booking a macOS session",P2,IOS_FUTURE
i18n/a11y,PCA-16 Arabic EN and accessibility,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"parent-web 1079/1079 exact parity (NOT 1190); platform-admin 585/585; android 315/315; public-web 193/193; RTL genuinely applied via i18n/index.ts:71-75",Component tests pass,"NO automated contrast check exists in parent-web: jsdom axe reports contrast as 'incomplete' and the matcher reads only results.violations",NO,NONE,MEDIUM,"Add a real-browser contrast gate; public-web already has one that works",P2,A/C
Red Team,PCA-17 red team and store compliance,PARTIAL,PARTIAL,PARTIAL,NO,"3 red-team scripts + checkNoAdTrackingSdks.mjs in CI",Security-controls job runs in CI,"NO store submission config exists at all: no fastlane, no Play metadata, no App Store Connect config, no PrivacyInfo.xcprivacy, no signing config",NO,NONE,MEDIUM,Create store submission scaffolding before Release D,P2,D/IOS
UAT,PCA-18 family beta and UAT,NOT_STARTED,NO,NO,NO,public-web/scripts/uat.mjs is a real Chromium harness for the marketing site only,uat_execution_log.json is an honest NOT_EXECUTED placeholder (0 cases),No UAT cohort/beta/staged-rollout/remote-flag system exists,YES,NONE,MEDIUM,Owner to define the beta cohort,P2,A/D
Release/Deploy,PCA-19 production release and deployment,NOT_STARTED,PARTIAL,NO,NO,"Containers exist for backend/platform-admin-web/public-web; release-identity.mjs derives digests","CI header states it does not deploy; permissions contents:read","NO deployment job exists anywhere; parent-web has NO Dockerfile; platform-admin-web runtime stage is NOT digest-pinned; ROLLBACK_CHECKLIST has no container path",YES,DEPLOYED_TLS_TERMINATION_CONFIG,HIGH,"Add parent-web Dockerfile; digest-pin the PA runtime stage; rewrite rollback for containers",P1,ALL
Parent Identity,Addendum 003 parent identity and registration,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"High-quality: timing-safe compare, generic errors, atomic single-use CAS, dual IP+email rate limiting","Non-DB green; 4 DB tests dead","NO email provider exists anywhere (zero deps, zero adapters). markVerified has ONE caller so no account can EVER reach VERIFIED - no parent can log in in production",YES,PAYMENT/EMAIL PROVIDER SELECTION,CRITICAL,"Build an email provider integration from zero - this is the outer blocker for Release B",P0,B
Platform Admin,Addendum 002 platform administration,COMPLETE_VALIDATED,YES,YES,NO,"32 source files, 33 registered routes, 9 migrations, 21 CI test files, 19-page console. MFA mandatory; step-up atomically session+scope+TTL bound; cross-realm separation genuinely enforced","crossRealm.test.mjs:58,64,70 proves both directions; 24 targeted vitest pass","Alerts are write-only: no delivery worker and no read route; lockout alert can never fire (adminId hardcoded null)",NO,PLATFORM_ADMIN_ALERT_DELIVERY,MEDIUM,"Build alert delivery or an admin read surface",P2,POST-B
Billing,Addendum 002 billing and commercial,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"Money is bigint minor units; currency always carried; one rounding site; durable DB-level idempotency; webhook signature+replay verified","293 unit tests pass; ~50 MySQL suites NOT run by CI","Production provider registry intentionally EMPTY and triple-gated (correct); billing_invoices write path has ZERO callers so parent invoice list is always empty",YES,PAYMENT_PROVIDER_SELECTION + MERCHANT_ACCOUNT_APPROVAL,MEDIUM,"Select a provider; wire the invoice write path",P2,BILLING_FUTURE
Entitlements,Entitlements and complimentary access,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"Expiry enforced at consumption time not by a sweep job (correct); grants require admin session AND stepUpId","Unit tests pass","Test double implements 8 of 10 interface methods - the complimentary-aware effective view is untested",NO,NONE,LOW,Add a double-conformance test,P2,BILLING_FUTURE
Public Web,Public Release A,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"Coordinator-executed build exit 0: 193/193 EN/AR, 16 pages, 4 main routes, 0 unregistered claims, 48 gate scripts parse, 6 SVGs valid, real tiered contrast gate","Build gates pass; no Playwright in CI","Videos DO NOT EXIST (zero mp4/webm/mov files); Arabic review pack covers 189 of 193 keys - >=19 live keys never reviewed incl. the whole /download/ page",YES,"OD-12 Arabic, OD-13 legal, DEPLOYED_TLS_TERMINATION_CONFIG",HIGH,"Regenerate the Arabic pack from the live corpus BEFORE OD-12 sign-off; owner decision on videos",P0,A
Canonical DB,PCA-LIVE-DB-0 canonical schema,COMPLETE_VALIDATED,YES,YES,NO,"Coordinator-verified from zero on disposable MySQL: 35 migrations, 75 tables, 626 columns, 83 FKs, 117 indexes, 31 unique, 228 CHECKs - every claimed number CONFIRMED","MIGRATION_FROM_ZERO PASS and CANONICAL_BOOTSTRAP_FROM_ZERO PASS, both executed","MIGRATION_SCHEMA_VS_CANONICAL_BOOTSTRAP is NOT exact: 147 of 626 columns differ in collation (utf8mb4_0900_ai_ci vs utf8mb4_bin) incl. 7 family_id columns",NO,NONE,HIGH,"Assert database default collation in 00_preflight.sql and per-table collation in the migration gate",P1,B
Live Database,Live database infrastructure,NOT_STARTED,N/A,N/A,NO,"Repo states no live PCA database exists; bootstrap runbook is entirely future-tense with unticked preconditions",N/A,Bootstrap has never been executed against production,YES,NONE,MEDIUM,Owner to schedule the one-time bootstrap,P1,B
Family Isolation,Cross-family isolation invariants,NEEDS_IMPROVEMENT,PARTIAL,NO,NO,"15-row isolation matrix; 100% of rows enforced by naming convention; ZERO foreign keys reference families by explicit design","5 of 6 counters appear in exactly 1 doc file and 0 code/test files - nothing can make them fail","PARENT_CROSS_FAMILY_READS=0 is FALSE: verified live cross-family read + existence oracle in the eye-protection read path",NO,NONE,HIGH,"Fix the eye-protection read path; add the 9 missing negative tests; make the counters code-asserted",P1,B/C
Production Crypto,Production crypto suite,BLOCKED_EXTERNAL,YES,NO,NO,"RejectingDeviceSignatureVerifier and RejectingEnvelopeSignatureVerifier wired at main.ts:287,313,358,675 - both return false unconditionally","No bypass found: backend reads no crypto env var; all consumers take a required verifier and branch strictly on failure","Security review package exists but contains an EMPTY findings template - the review has NOT been performed; its source map cites 2 line numbers, both now wrong",YES,PRODUCTION_CRYPTO_SUITE,CRITICAL,"Commission the human security review - it gates B, C and D",P0,B/C/D
Production Email,Outbound email,NOT_STARTED,NO,NO,NO,"RejectingEmailSender is production default; zero provider code and zero mail dependencies repo-wide",N/A,No adapter exists to configure; this is greenfield work,YES,PROVIDER SELECTION,CRITICAL,Build an email provider integration,P0,B
Parent Web,Release C parent web,PARTIAL,YES,NO,NO,"50 routes; 137 vitest files; 1079/1079 i18n parity; RTL genuinely applied; PWA service worker registered via VitePWA","73 targeted tests pass; 23 Playwright specs NEVER run in CI","NO parent-web/Dockerfile - zero deployment path; ~16 core operations dead behind CRYPTO_SUITE_APPROVED_FOR_PRODUCTION=false; no automated contrast check",NO,CRYPTO_SECURITY_REVIEW,HIGH,"Add a Dockerfile; run e2e in CI; await crypto review",P1,C
Docker/Azure,Deployment support,PARTIAL,PARTIAL,NO,NO,"public-web/deploy is strongest (both stages digest-pinned, 8 security headers); backend/Dockerfile hardened non-root uid 10001","No image was built - Docker daemon down","platform-admin-web runtime stage NOT digest-pinned despite docs claiming otherwise; no deployment job exists; rollback impossible for any container",YES,DEPLOYED_TLS_TERMINATION_CONFIG,HIGH,"Digest-pin PA runtime; define image tagging and a real container rollback",P1,ALL
Release Gates,External gate governance,NEEDS_IMPROVEMENT,N/A,N/A,NO,"33 gates: 11 BLOCKED + 22 EXTERNAL, 0 CLOSED, evidence null on all 33","Invoke-ReleaseGateCheck.ps1:115 fails on any non-CLOSED gate","NO release-scope filter though the docstring at :20-22 promises one - so 32 of 33 gates spuriously block Public Release A; PAYMENT_PRODUCTION_CERTIFICATION missing from the JSON entirely; TELEMETRY_ACTIVATION can never legitimately close",YES,NONE,CRITICAL,"Add releaseScope and filter on it - until then no release can pass its own gate",P0,ALL
Documentation,Controlled status documents,STALE_DOCUMENTATION,N/A,N/A,N/A,"30_IMPLEMENTATION_PROGRAMME.md:38,44 and Addendum 002 assert on the strength of a repository survey that no Platform Admin or Billing source exists",N/A,"~40 stale or contradictory claims catalogued incl. 2 P0/P1 evidence claims that are structurally impossible (test-results is gitignored)",NO,NONE,HIGH,"Correct 30_IMPLEMENTATION_PROGRAMME.md first - it is what a supervisor reads before anything else",P1,ALL
Repo Housekeeping,Worktrees and branches,NEEDS_IMPROVEMENT,N/A,N/A,N/A,"121 registered git worktrees; 91 local branches of which 59 are unmerged; 1,089,727 files under .agent-runtime",N/A,"origin/main is NOT an ancestor of pca-dev - branches have diverged (pca-dev +603, main +1) so a release merge will not fast-forward",NO,NONE,MEDIUM,"Plan the main merge strategy deliberately; prune worktrees after the audit is accepted",P2,ALL
