ID,PHASE,SOURCE_COMPLETE,VALIDATED_COMPLETE,PRODUCTION_READY,TEST_EVIDENCE,EXTERNAL_GATE,OPEN_ENGINEERING_GAP,OPEN_EXTERNAL_GAP,EVIDENCE_PATH
PCA-ADD-BILL-011,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCoreProviderEventConcurrency.mysql.test.mjs,,,,backend/src/billing/providerEvent.ts
PCA-ADD-BILL-012,PCA-BILL-1,YES,NO,NO,backend/test/billing/settlement.test.mjs; backend/test/db/settlement.mysql.test.mjs,,,,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts
PCA-ADD-BILL-013,PCA-BILL-1,YES,NO,NO,backend/test/billing/settlement.test.mjs; backend/test/db/settlement.mysql.test.mjs,,,,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts
PCA-ADD-BILL-014,PCA-BILL-1,YES,NO,NO,backend/test/billing/settlement.test.mjs; backend/test/db/settlement.mysql.test.mjs,,,,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/SettlementService.ts
PCA-ADD-BILL-015,PCA-BILL-1,YES,NO,NO,backend/test/billing/schemaPrivacy.test.mjs; backend/test/db/billingCoreSchemaPrivacy.mysql.test.mjs,,,,backend/migrations/0007_billing_core.sql
PCA-ADD-BILL-016,PCA-BILL-1,YES,NO,NO,backend/test/billing/schemaPrivacy.test.mjs; backend/test/db/billingCoreSchemaPrivacy.mysql.test.mjs,,,,backend/migrations/0007_billing_core.sql
PCA-ADD-BILL-017,PCA-BILL-1,YES,NO,NO,backend/test/billing/money.test.mjs,,,,backend/src/billing/money.ts
PCA-ADD-BILL-018,PCA-BILL-1,YES,NO,NO,backend/test/billing/money.test.mjs,,,,backend/src/billing/currency.ts
PCA-ADD-BILL-019,PCA-BILL-1,YES,NO,NO,backend/test/billing/money.test.mjs | backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/currency.ts | backend/src/billing/market.ts
PCA-ADD-BILL-020,PCA-BILL-1,YES,NO,NO,"backend/test/db/billingCore.mysql.test.mjs (explicit per-market/currency PriceBook rows, currency scope, and no fabricated fallback pricing); backend/test/db/billingCorePriceBookConcurrency.mysql.test.mjs (concurrent publication and version uniqueness for one commercial key); backend/test/entitlements/priceBookQuotePort.test.mjs (active-row quote resolution and REQUIRES_CUSTOM_QUOTE when no row exists); backend/test/db/dashboardSettlementMetrics.mysql.test.mjs (recorded-rate-only USD rollup and write-once normalization boundary); backend/test/db/billingCore.mysql.test.mjs; backend/test/db/billingCorePriceBookConcurrency.mysql.test.mjs; backend/test/entitlements/priceBookQuotePort.test.mjs; backend/test/db/dashboardSettlementMetrics.mysql.test.mjs",,,,backend/src/billing/priceBook.ts; backend/src/billing/priceBook.ts; backend/src/billing/settlement/MySqlSettlementRepository.ts; backend/src/platformadmin/settlement/PlatformAdminSettlementService.ts
PCA-ADD-BILL-021,PCA-BILL-1,YES,NO,NO,backend/test/db/settlement.mysql.test.mjs; backend/test/billing/settlement.test.mjs,,,,backend/src/billing/market.ts; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts
PCA-ADD-BILL-022,PCA-BILL-1,YES,NO,NO,backend/test/billing/currency.test.mjs; backend/test/billing/schemaPrivacy.test.mjs,SUPPORTED_CHARGE_CURRENCIES; SUPPORTED_SETTLEMENT_CURRENCIES,,SUPPORTED_CHARGE_CURRENCIES; SUPPORTED_SETTLEMENT_CURRENCIES,backend/src/billing/currency.ts; backend/src/billing/currency.ts | backend/migrations/0007_billing_core.sql
PCA-ADD-BILL-023,PCA-BILL-2,YES,NO,NO,backend/test/billing/schemaPrivacy.test.mjs | backend/test/billing/refundOperationsSchemaPrivacy.test.mjs | backend/test/db/billingCoreSchemaPrivacy.mysql.test.mjs,,,,backend/src/billing/paymentMethod.ts | backend/migrations/0007_billing_core.sql | backend/migrations/0008_payment_orchestration.sql
PCA-ADD-BILL-024,PCA-BILL-2,YES,NO,NO,backend/test/db/checkoutRetryRecovery.mysql.test.mjs; backend/test/billing/sandboxProvider.test.mjs,,,,backend/src/billing/checkout/CheckoutService.ts; backend/src/billing/checkout/CheckoutService.ts | backend/src/billing/provider/sandboxProvider.ts
PCA-ADD-BILL-025,PCA-BILL-2,YES,NO,NO,backend/test/billing/sandboxProvider.test.mjs,,,,backend/src/billing/provider/secretResolver.ts
PCA-ADD-BILL-026,PCA-BILL-2,YES,NO,NO,backend/test/billing/loggingPrivacy.test.mjs,,,,backend/src/billing/webhook/WebhookService.ts; backend/src/billing/settlement/SettlementService.ts
PCA-ADD-BILL-027,PCA-BILL-2,YES,NO,NO,backend/test/billing/providerContract.test.mjs; backend/test/billing/providerRegistry.test.mjs; backend/test/billing/sandboxProvider.test.mjs,PAYMENT_PROVIDER_SELECTION; MERCHANT_ACCOUNT_APPROVAL,,PAYMENT_PROVIDER_SELECTION; MERCHANT_ACCOUNT_APPROVAL,backend/src/billing/providerContract.ts
PCA-ADD-BILL-028,PCA-BILL-2,YES,NO,NO,backend/test/billing/providerContract.test.mjs; backend/test/billing/providerRegistry.test.mjs,PAYMENT_PROVIDER_SELECTION; MERCHANT_ACCOUNT_APPROVAL,,PAYMENT_PROVIDER_SELECTION; MERCHANT_ACCOUNT_APPROVAL,backend/src/billing/providerContract.ts; backend/src/billing/providerRegistry.ts; backend/src/billing/providerContract.ts | backend/src/billing/provider/providerRegistry.ts
PCA-ADD-BILL-029,PCA-BILL-2,YES,NO,NO,backend/test/db/billingCoreProviderEventConcurrency.mysql.test.mjs,PAYMENT_PROVIDER_SELECTION; MERCHANT_ACCOUNT_APPROVAL,,PAYMENT_PROVIDER_SELECTION; MERCHANT_ACCOUNT_APPROVAL,backend/src/billing/providerEvent.ts
PCA-ADD-BILL-030,PCA-BILL-2,YES,NO,NO,backend/test/billing/sandboxProvider.test.mjs; backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/webhook/WebhookService.ts | backend/src/billing/provider/sandboxProvider.ts
PCA-ADD-BILL-031,PCA-BILL-2,YES,NO,NO,backend/test/db/billingCoreProviderEventConcurrency.mysql.test.mjs,,,,backend/src/billing/providerEvent.ts | backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-032,PCA-BILL-2,YES,NO,NO,backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-033,PCA-BILL-2,YES,NO,NO,backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-034,PCA-BILL-2,YES,NO,NO,backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-035,PCA-BILL-2,YES,NO,NO,parent-web/tests/component/DeviceIncreaseRequest.test.tsx; parent-web/tests/accessibility/axe.test.tsx,,,,parent-web/src/pages/billing/CheckoutReturn.tsx; parent-web/src/pages/billing/CheckoutReturn.tsx | backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-036,PCA-BILL-3,YES,NO,NO,backend/test/db/settlement.mysql.test.mjs,SETTLEMENT_BANK_CONFIGURATION; SUPPORTED_SETTLEMENT_CURRENCIES,,SETTLEMENT_BANK_CONFIGURATION; SUPPORTED_SETTLEMENT_CURRENCIES,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts
PCA-ADD-BILL-037,PCA-BILL-3,YES,NO,NO,backend/test/db/settlement.mysql.test.mjs; backend/test/billing/settlement.test.mjs,SETTLEMENT_BANK_CONFIGURATION; SUPPORTED_SETTLEMENT_CURRENCIES,,SETTLEMENT_BANK_CONFIGURATION; SUPPORTED_SETTLEMENT_CURRENCIES,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts
PCA-ADD-BILL-038,PCA-BILL-3,YES,NO,NO,backend/test/db/settlement.mysql.test.mjs; backend/test/billing/settlement.test.mjs,SETTLEMENT_BANK_CONFIGURATION; SUPPORTED_SETTLEMENT_CURRENCIES,,SETTLEMENT_BANK_CONFIGURATION; SUPPORTED_SETTLEMENT_CURRENCIES,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts; backend/src/platformadmin/settlement/PlatformAdminSettlementService.ts
PCA-ADD-BILL-039,PCA-MYKIDS-BILL-1,YES,NO,NO,backend/test/auth/fastifyAuthPlugin.test.mjs; parent-web/tests/unit/realBillingClient.test.ts; parent-web/tests/unit/realCommercialNotificationClient.test.ts; parent-web/tests/unit/apiClientFactory.test.ts,,,,backend/src/auth/fastifyAuthPlugin.ts; backend/src/http/routes/parentAccountRoutes.ts; parent-web/src/api/real/realBillingClient.ts; parent-web/src/api/real/realCommercialNotificationClient.ts
PCA-ADD-BILL-040,PCA-MYKIDS-BILL-1,YES,NO,NO,backend/test/familycommercial/familyCommercialRoutes.test.mjs,,,,backend/src/http/routes/familyCommercialRoutes.ts | backend/src/main.ts
PCA-ADD-BILL-041,PCA-PA-1,YES,NO,NO,"backend/test/billing/providerRegistry.test.mjs (unknown-provider failure, duplicate registration, empty production registry, and exact-name production activation kill-switch); backend/test/billing/sandboxProvider.test.mjs (sandbox-only construction and secret-reference isolation); backend/test/billing/providerRegistry.test.mjs; backend/test/billing/sandboxProvider.test.mjs",PAYMENT_PROVIDER_SELECTION; PAYMENT_PRODUCTION_CERTIFICATION,,PAYMENT_PROVIDER_SELECTION; PAYMENT_PRODUCTION_CERTIFICATION,backend/src/billing/provider/providerRegistry.ts | backend/src/billing/provider/secretResolver.ts; backend/src/billing/provider/providerRegistry.ts; backend/src/billing/provider/secretResolver.ts
PCA-ADD-BILL-043,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCoreQuoteImmutability.mysql.test.mjs,,,,backend/src/billing/payment.ts | backend/src/billing/checkout/quoteBridge.ts
PCA-ADD-BILL-044,PCA-BILL-1,YES,NO,NO,backend/test/billing/rbac.test.mjs | backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/rbac.ts | backend/src/http/routes/platformadmin/priceBookRoutes.ts
PCA-ADD-BILL-045,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/market.ts
PCA-ADD-BILL-046,PCA-PA-2; PCA-BILL-2,YES,NO,NO,backend/test/db/platformEntitlementsCore.mysql.test.mjs,,,,backend/src/billing/webhook/WebhookService.ts | backend/src/entitlements/payment/PaymentConfirmationService.ts
PCA-ADD-BILL-047,PCA-PA-2; PCA-BILL-2,YES,NO,NO,,,,,backend/src/entitlements/EntitlementRepository.ts
PCA-ADD-COMP-001,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs; backend/test/entitlements/complimentaryGrantValidation.test.mjs,,,,backend/src/entitlements/complimentary/ComplimentaryEntitlementService.ts; backend/src/entitlements/complimentary/**
PCA-ADD-COMP-002,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/migrations/0014_complimentary_entitlement_grants.sql
PCA-ADD-COMP-003,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs; backend/test/entitlements/complimentaryGrantValidation.test.mjs,,,,backend/src/entitlements/complimentary/types.ts
PCA-ADD-COMP-004,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs; backend/test/entitlements/complimentaryGrantValidation.test.mjs,,,,backend/src/entitlements/complimentary/types.ts
PCA-ADD-COMP-005,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MySqlComplimentaryGrantRepository.ts | backend/src/entitlements/complimentary/ComplimentaryEntitlementService.ts
PCA-ADD-COMP-006,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MySqlComplimentaryGrantRepository.ts
PCA-ADD-COMP-007,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/entitlements/complimentaryGrantValidation.test.mjs,,,,backend/src/entitlements/complimentary/types.ts
PCA-ADD-COMP-008,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/entitlements/complimentaryGrantValidation.test.mjs; backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/types.ts; backend/src/platformadmin/complimentary/PlatformAdminComplimentaryGrantService.ts; backend/migrations/0014_complimentary_entitlement_grants.sql
PCA-ADD-COMP-009,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs; backend/test/entitlements/complimentaryGrantValidation.test.mjs,,,,backend/src/entitlements/complimentary/ComplimentaryEntitlementService.ts
PCA-ADD-COMP-010,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/EffectiveEntitlementCapacity.ts; backend/src/entitlements/requests/ChangeRequestService.ts
PCA-ADD-COMP-011,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MySqlComplimentaryGrantRepository.ts
PCA-ADD-COMP-012,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MySqlComplimentaryGrantRepository.ts
PCA-ADD-COMP-013,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs; backend/test/platformadmin/complimentaryRbacPolicy.test.mjs; backend/test/platformadmin/complimentaryAuditTypes.test.mjs,,,,backend/src/http/routes/platformadmin/complimentaryGrantRoutes.ts
PCA-ADD-COMP-014,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/platformadmin/complimentaryRbacPolicy.test.mjs; backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/platformadmin/auth/rbacPolicy.ts
PCA-ADD-COMP-015,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/platformadmin/complimentary/PlatformAdminComplimentaryGrantService.ts
PCA-ADD-COMP-016,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/platformadmin/complimentaryAuditTypes.test.mjs,,,,backend/src/platformadmin/audit/types.ts
PCA-ADD-COMP-017,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,,,,,platform-admin-web/src/pages/entitlements/ComplimentaryCapacity.tsx
PCA-ADD-COMP-018,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MyKidsComplimentaryReadModel.ts
PCA-ADD-COMP-019,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MyKidsComplimentaryReadModel.ts
PCA-ADD-COMP-020,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/security/checkNoAdTrackingSdks.test.mjs,,,,backend/src/http/routes/familyCommercialRoutes.ts; backend/src/entitlements/complimentary/MyKidsComplimentaryReadModel.ts
PCA-ADD-COMP-021,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/test/db/complimentaryGrants.mysql.test.mjs
PCA-ADD-COMP-022,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/src/entitlements/complimentary/MySqlComplimentaryGrantRepository.ts
PCA-ADD-COMP-023,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/migrations/0014_complimentary_entitlement_grants.sql
PCA-ADD-COMP-024,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/migrations/0014_complimentary_entitlement_grants.sql
PCA-ADD-COMP-025,PCA-COMPLIMENTARY-ENTITLEMENTS-1,YES,NO,NO,backend/test/db/complimentaryGrants.mysql.test.mjs,,,,backend/migrations/0014_complimentary_entitlement_grants.sql
PCA-ADD-ENR-001,PCA-10,YES,NO,NO,backend/test/invitation/enrollmentProfile.test.mjs; backend/test/db/http.mysql.test.mjs; android/app/src/test/java/org/pca/app/enrollment/EnrollmentProfileContractTest.kt,,,,parent-web/src/pages/family/DeviceEnrollmentPanel.tsx; backend/src/http/routes/invitationRoutes.ts; backend/src/invitation/InvitationService.ts; backend/migrations/0019_enrollment_profile_contract.sql
PCA-ADD-ENR-002,PCA-1; PCA-10,YES,NO,NO,parent-web/tests/component/DeviceEnrollmentPanel.test.tsx,,,,"backend/src/invitation/token.ts (generateInvitationToken, 256-bit CSPRNG) | parent-web/src/pages/family/InvitationQrCode.tsx (local QR rendering) | parent-web/src/pages/family/invitationFallbackCode.ts (SHA-256-derived 12-character display-only identifier) | parent-web/src/pages/family/DeviceEnrollmentPanel.tsx (one-time link, QR, raw token, and fallback reveal)"
PCA-ADD-ENR-003,PCA-1; PCA-10,YES,NO,NO,parent-web/tests/component/DeviceEnrollmentPanel.test.tsx,,,,backend/src/invitation/token.ts | parent-web/src/pages/family/invitationFallbackCode.ts | parent-web/src/pages/family/DeviceEnrollmentPanel.tsx | parent-web/src/i18n/locales/en.json | parent-web/src/i18n/locales/ar.json
PCA-ADD-ENR-004,PCA-1,YES,NO,NO,backend/test/invitation/token.test.mjs; backend/test/db/invitation.mysql.test.mjs,,,,"backend/src/invitation/token.ts; backend/src/invitation/token.ts (randomBytes(32), hashInvitationToken SHA-256) | backend/src/invitation/policy.ts (resolveInvitationTtlMs, computeExpiryInstant) | backend/src/invitation/InvitationService.ts (revokeInvitation, revokeInvitationForFamily) | backend/migrations/0001_mysql_baseline.sql (enrollment_invitations.token_hash UNIQUE, hash-only storage)"
PCA-ADD-ENR-005,PCA-1,YES,NO,NO,backend/test/invitation/service.test.mjs; backend/test/db/invitation.mysql.test.mjs,,,,backend/migrations/0016_invitation_lifecycle_states.sql | backend/src/invitation/types.ts | backend/src/invitation/InvitationService.ts | backend/src/invitation/MySqlInvitationRepository.ts
PCA-ADD-ENR-006,PCA-1,YES,NO,NO,backend/test/invitation/service.test.mjs; backend/test/db/invitation.mysql.test.mjs,,,,"backend/src/invitation/InvitationService.ts (loadRedeemable, applyForwardTransition, persistExpiryIfDue) | backend/src/invitation/InvitationRepository.ts"
PCA-ADD-ENR-007,PCA-10,YES,NO,NO,backend/test/invitation/service.test.mjs; parent-web/tests/component/DeviceEnrollmentPanel.test.tsx,,,,"backend/src/invitation/InvitationService.ts; backend/src/http/routes/invitationRoutes.ts; backend/src/invitation/InvitationService.ts (listInvitationsForFamily, getInvitationForFamily, revokeInvitationForFamily) | backend/src/http/routes/invitationRoutes.ts | parent-web/src/pages/family/DeviceEnrollmentPanel.tsx (status table + revoke button gated by PermissionGate action=REVOKE_DEVICE_INVITATION, no token shown in list view)"
PCA-ADD-ENR-008,PCA-1; PCA-2,PARTIAL,NO,NO,android/app/src/test/java/org/pca/app/enrollment/UriEnrollmentLinkParserTest.kt; android/app/src/test/java/org/pca/app/enrollment/EnrollmentCoordinatorTest.kt,ANDROID_APP_LINK_ASSETLINKS_HOSTING; ANDROID_PHYSICAL_INSTALL_CONTINUATION,Blocked by ANDROID_APP_LINK_ASSETLINKS_HOSTING; ANDROID_PHYSICAL_INSTALL_CONTINUATION,ANDROID_APP_LINK_ASSETLINKS_HOSTING; ANDROID_PHYSICAL_INSTALL_CONTINUATION,android/app/src/main/AndroidManifest.xml (https autoVerify App Link intent-filter); android/app/src/main/java/org/pca/app/enrollment/EnrollmentDeepLinkConfig.kt; android/app/src/main/java/org/pca/app/enrollment/EnrollmentLinkParser.kt; android/app/src/main/java/org/pca/app/enrollment/EnrollmentCoordinator.kt
PCA-ADD-ENR-009,PCA-2,YES,NO,NO,android/app/src/test/java/org/pca/app/platform/DevicePolicyCapabilityLifecycleTest.kt; android/app/src/test/java/org/pca/app/platform/ProtectedModeProvisioningGateTest.kt; android/app/src/test/java/org/pca/app/platform/DevicePolicyProtectionCapabilitiesTest.kt,PENDING_OWNER_DECISION,,PENDING_OWNER_DECISION,android/app/src/main/java/org/pca/app/platform/DevicePolicyCapabilitySource.kt; android/app/src/main/java/org/pca/app/platform/StandardDevicePolicyCapabilitySource.kt; android/app/src/main/java/org/pca/app/platform/ProtectedModeProvisioningGate.kt
PCA-ADD-ENR-010,PCA-15,YES,NO,NO,ios/PCATests/EnrollmentProfileTests.swift; android/app/src/test/java/org/pca/app/enrollment/EnrollmentProfileContractTest.kt,IOS_FAMILY_CONTROLS_ENTITLEMENT; IOS_MAC_XCODE; IOS_PHYSICAL_DEVICE,,IOS_FAMILY_CONTROLS_ENTITLEMENT; IOS_MAC_XCODE; IOS_PHYSICAL_DEVICE,ios/PCA/Enrollment/ChildEnrollmentCoordinator.swift; ios/PCATests/EnrollmentProfileTests.swift; android/app/src/main/java/org/pca/app/enrollment/EnrollmentProfile.kt; android/app/src/test/java/org/pca/app/enrollment/EnrollmentProfileContractTest.kt
PCA-ADD-ENR-011,PCA-10; PCA-16,YES,NO,NO,android/app/src/test/java/org/pca/app/runtime/ui/ChildHomeDisclosureStaticTest.kt; android/app/src/test/java/org/pca/app/i18n/NoHardcodedUiStringsTest.kt,,,,android/app/src/main/java/org/pca/app/MainActivity.kt; android/app/src/main/java/org/pca/app/runtime/ui/ChildHomeScreen.kt; android/app/src/main/res/values/runtime_strings.xml; android/app/src/main/res/values-ar/runtime_strings.xml
PCA-ADD-ENR-012,PCA-10; PCA-13,YES,NO,NO,backend/test/enrollment/AdministrationPinService.test.mjs; backend/test/enrollment/AdministrationPersistenceSchema.test.mjs; backend/test/familyrbac/removalDecisionRoutes.wiring.test.mjs,,,,backend/src/enrollment/AdministrationPinService.ts; backend/src/enrollment/MySqlAdministrationPinRepository.ts; backend/migrations/0022_enrollment_administration_persistence.sql; backend/src/http/routes/removalDecisionRoutes.ts
PCA-ADD-ENR-013,PCA-10; PCA-11; PCA-13,YES,NO,NO,android/app/src/test/java/org/pca/app/security/ThrottledAdminPinVerifierTest.kt,CRYPTO_SECURITY_REVIEW,,CRYPTO_SECURITY_REVIEW,android/app/src/main/java/org/pca/app/security/Pbkdf2AdminPinVerifier.kt; android/app/src/main/java/org/pca/app/security/PinAttemptThrottle.kt; android/app/src/main/java/org/pca/app/security/ThrottledAdminPinVerifier.kt; android/app/src/main/java/org/pca/app/security/ui/AdminPinScreen.kt
PCA-ADD-ENR-014,PCA-13,YES,NO,NO,android/app/src/test/java/org/pca/app/security/Pbkdf2AdminPinVerifierTest.kt; android/app/src/test/java/org/pca/app/security/PinAttemptThrottleTest.kt; android/app/src/test/java/org/pca/app/security/ThrottledAdminPinVerifierTest.kt; android/app/src/test/java/org/pca/app/security/PersistentPinThrottleStateStoreTest.kt,,,,android/app/src/main/java/org/pca/app/security/Pbkdf2AdminPinVerifier.kt; android/app/src/main/java/org/pca/app/security/PinAttemptThrottle.kt; android/app/src/main/java/org/pca/app/security/ThrottledAdminPinVerifier.kt; android/app/src/main/java/org/pca/app/security/ui/AdminPinScreen.kt
PCA-ADD-ENR-015,PCA-13; PCA-17,YES,NO,NO,android/app/src/test/java/org/pca/app/security/Pbkdf2AdminPinVerifierTest.kt,,,,"android/app/src/main/java/org/pca/app/security/Pbkdf2AdminPinVerifier.kt (stores only a salted hash, never the raw PIN)"
PCA-ADD-ENR-016,PCA-10; PCA-11; PCA-13,YES,NO,NO,backend/test/familyrbac/RemovalDecisionAuthority.test.mjs; backend/test/enrollment/AdministrationPersistenceSchema.test.mjs; backend/test/familyrbac/removalDecisionRoutes.wiring.test.mjs; backend/test/http/buildServer.removalDecisionAndSafeZoneWiring.test.mjs,,,,backend/src/familyrbac/RemovalDecisionAuthority.ts; backend/src/familyrbac/MySqlRemovalDecisionRepository.ts; backend/migrations/0023_removal_decision_authority_persistence.sql; backend/src/http/routes/removalDecisionRoutes.ts
