ACTION_ID,PRIORITY,CATEGORY,DOMAIN,ACTION,WHY_IT_MATTERS,EVIDENCE,BLOCKS_RELEASE,EFFORT
FABLE-A011,P1,REPO_SOLVABLE,Family Audit,Build a durable family audit repository,"InMemoryFamilyAuditRepository is the single shared audit store for invitation, enrollment, pairing, device, recovery, authz and retention events - and it is a plain in-process array that evaporates on restart and is not shared across instances. This is the central control for the malicious-parent-side-actor abuse case",main.ts:278; FamilyAuditStore.ts:44-49,PARENT_C/ANDROID_D,M
FABLE-A012,P1,REPO_SOLVABLE,Web Rules,Build a durable web-rule repository,InMemoryWebRuleRepository means parent-authored web filtering rules are silently lost on every restart,main.ts:579,PARENT_C/ANDROID_D,M
FABLE-A013,P1,REPO_SOLVABLE,Alerts,Make protection-alert and family-audit composer failures observable,"Both composers reject by design, and all three call sites swallow the failure in a bare catch. No row, no log, no metric. Threat-model rows for VPN disable, root/jailbreak and stolen child all promise a parent alert that never fires",RemovalDecisionAuthority.ts:736; runtimeSyncRoutes.ts:91; InvitationService.ts:420,PARENT_C/ANDROID_D,S
FABLE-A014,P1,REPO_SOLVABLE,Security,Set Fastify trustProxy to the specific proxy CIDR (never true),"Behind any reverse proxy request.ip is the proxy for every caller, so all per-IP rate-limit budgets collapse onto one key. One attacker at 30 logins per 15 minutes locks out the entire user base. Not a bypass - a global DoS lever",http/buildServer.ts:311,AUTH_B,S
FABLE-A015,P1,REPO_SOLVABLE,Security,Replace unsalted SHA-256 of 6-digit verification and reset codes with an HMAC keyed by a server pepper,"A 10^6 keyspace under a fast unsalted hash is fully precomputable. Any read of code_hash (replica, backup, over-privileged ops account) recovers the live plaintext reset code and yields account takeover",parentaccount/verificationCode.ts:25,AUTH_B,S
FABLE-A016,P1,REPO_SOLVABLE,Release C,Create parent-web/Dockerfile and a deploy configuration,"Release C has NO deployment path at all. backend, platform-admin-web and public-web/deploy all have one; parent-web does not, and docker-compose.yml:9 admits it",parent-web/ has no Dockerfile and no deploy/,PARENT_C,S
FABLE-A017,P1,REPO_SOLVABLE,CI,"Make the four validate-catalogue.cjs steps actually execute, and assert httpSurface.routes and the error-code arrays","Four CI steps named Validate catalogue load export-only modules and exit 0 unconditionally - verified by execution. Even the working validator never reads httpSurface, and the drift is live: POST /v1/runtime-sync/protection-status is registered but absent from the catalogue that names that file as its authority","quality-gates.yml:34,38,42,46; runtimeSyncRoutes.ts:298",ALL,S
FABLE-A018,P1,REPO_SOLVABLE,CI,Add a Playwright/e2e job to CI,"CI runs NO e2e job at all. 6 Playwright configs and 39 committed specs never execute automatically, including RBAC and session-security specs",Coordinator-verified: .github/workflows/ contains one file with zero playwright matches,ALL,M
FABLE-A019,P1,REPO_SOLVABLE,Testing,Fix the parent-web/platform-admin-web test-results gitignore so real-E2E artifacts can be committed,"parent-web/.gitignore:9 and platform-admin-web/.gitignore:5 ignore test-results, which is where both playwright.real.config.ts write their JSON. Every 'real E2E PASS with committed artifact' claim from PPR-1R onward is therefore structurally unbacked",Root cause of ~5 separate false documentation claims,ALL,S
FABLE-A020,P1,REPO_SOLVABLE,Documentation,"Correct docs/architecture/30_IMPLEMENTATION_PROGRAMME.md:38,44 and Addendum 002 Section 21","They assert, on the strength of a stated repository survey, that no Platform Administration or Billing source exists. Reality: 32 platformadmin files, 33 routes, 9 migrations, 21 CI test files, a 19-page console, and ~300 passing billing tests. This is the document a new supervisor reads first",Verified by two independent agents plus route enumeration,ALL,S
FABLE-A021,P3,OWNER_ACTION,Public Release A,POST_RELEASE_A_CONTENT_COMPLETION: produce the two real public videos when content is ready,"CORRECTED - NOT A RELEASE A BLOCKER. Public source is explicit that Release A must not be blocked on final video assets: videos.mjs:12-19 renders a polished poster-and-transcript card with a 'Coming later' status label when available is false, emits NO video element, and renders the transcript in BOTH states as an accessibility requirement. Critical information is never video-only, and a build gate prevents flipping available to true before the real file and caption files exist. So VIDEOS_EXIST=NO, VIDEO_PLACEHOLDERS_HONEST=YES, VIDEOS_BLOCK_RELEASE_A=NO. Retained only because real videos remain desirable after publication","public-web/src/content/videos.mjs:12-19,31,43; build.mjs:803 guards against flipping the flag early",NONE (post-A content),S
FABLE-A022,P1,LEGAL,Public Release A,Supply the OD-13 legal facts,"Operator entity, country, jurisdiction, controller wording, public address, effective date. No engineering can invent these and the legal pages cannot ship without them",docs/public/reports/RELEASE_A_LEGAL_OWNER_INPUT.md,PUBLIC_A,S
FABLE-A023,P1,INFRASTRUCTURE,Azure,"Create the apex pcasafe.com DNS record, its certificate, and the apex-to-www redirect","The apex has no A/AAAA/CNAME record, so typing the bare domain reaches nothing. The www certificate's SAN covers www only. The redirect is already written in-repo and inert",UNVERIFIED_BY_ME this session; carried from a prior verified session,PUBLIC_A,S
FABLE-A024,P1,INFRASTRUCTURE,Azure,"Configure managed identity + AcrPull and disable the ACR admin user; set healthCheckPath, Always On and HTTP/2","Image pull currently uses admin credentials with no managed identity; alwaysOn, http20Enabled and healthCheckPath are all unset on both App Services",UNVERIFIED_BY_ME this session,PUBLIC_A/AUTH_B,M
FABLE-A025,P1,REPO_SOLVABLE,Deployment,Digest-pin platform-admin-web/Dockerfile's runtime stage and define a container rollback path,"The runtime stage is FROM nginxinc/nginx-unprivileged:1.27-alpine with no digest, though DOCKER_AZURE_SUPPORT_REVIEW.md:180,408 claims both images are pinned. Separately, ROLLBACK_CHECKLIST.md describes only store/binary rollback and contains no container, image-tag, ACR or slot-swap step - so rollback is currently impossible for any container",platform-admin-web/Dockerfile:58,ALL,S
FABLE-A026,P1,REPO_SOLVABLE,Release Gates,Add PAYMENT_PRODUCTION_CERTIFICATION to external_gate_matrix.json,"It is specified in six documents but absent from the JSON the checker actually reads, so the gate governing real-money go-live can never block a release - beside 35 billing requirements that carry an empty externalGate array",external_gate_matrix.json holds 33 gates; this is not one of them,BILLING_FUTURE,S
FABLE-A027,P1,REPO_SOLVABLE,Web Filtering,Either build the VPN consent/start screen or mark device-wide filtering out of scope,VpnEnforcementController is constructed but has ZERO call sites - the whole DNS/VPN stack (8 files) can never be started by a user. PcaAppGraph.kt:509 admits no such screen exists,PcaAppGraph.kt:512,ANDROID_D,M
FABLE-A028,P2,REPO_SOLVABLE,Family Isolation,Add the 9 missing cross-family negative tests and make the isolation counters code-asserted,"Five of the six counters appear in exactly one doc file and ZERO code/test files, so nothing can ever make them fail - and FABLE-A008 proves one of them is already false. Missing tests include HTTP-level 403 assertions for safe-zones, web rules, eye protection and child policy",Coordinator-verified grep across all source trees,PARENT_C,M
FABLE-A029,P2,REPO_SOLVABLE,Security,Deliver frame-ancestors as a real response header for parent-web,"CSP is meta-delivered, where frame-ancestors is ignored per CSP L3, and there is no X-Frame-Options and no nginx config. A logged-in parent can be clickjacked into approving a child request or removing a member. SameSite=Strict does not help because the framed same-site page supplies its own CSRF header",parent-web/vite/securityHeadersPlugin.ts:54,PARENT_C,S
FABLE-A030,P2,REPO_SOLVABLE,Security,Unify the asymmetric NODE_ENV predicates,"Email uses !== test && !== development (fails closed, correct); cookie Secure uses === production (fails OPEN). A deploy with NODE_ENV unset or misspelled sends session cookies without Secure",main.ts:256 vs parentaccount/cookies.ts:57,AUTH_B,S
FABLE-A031,P2,REPO_SOLVABLE,Retention,Add a server-side authorization check to retentionRoutes,"client.ts:341-345 admits the client-side useFamilyAction pre-gate is the ONLY control over retention writes, including DeleteNow - a client-trusted authorization boundary on a destructive, irreversible operation",backend/src/http/routes/retentionRoutes.ts,PARENT_C,S
FABLE-A032,P2,REPO_SOLVABLE,Child Requests,Pass familyId into ChildRequestService.decide and move the expiry write after authorization,"The route checks familyId then calls decide(requestId, ...) without it - the cosmetic-check pattern. An unauthorized caller triggers a state write to EXPIRED before any authorization, and the error codes leak existence, state and type","childrequests/ChildRequestService.ts:164,175-183",PARENT_C,S
FABLE-A033,P2,REPO_SOLVABLE,iOS,Add the 10 missing host-app types to the PCADeviceActivityMonitor extension target (or extract a shared framework),"The extension target compiles ONE file that references ten types defined only in the app target, so it cannot compile on any real SDK - or, worse, the canImport guard is false and CI goes green on an empty extension. This is repo-solvable work hiding behind four EXTERNAL gate rows",ios/PCA.xcodeproj/project.pbxproj:208; generate_pbxproj.py:178,IOS_FUTURE,M
FABLE-A034,P2,REPO_SOLVABLE,iOS,"Add DEVELOPMENT_TEAM, an app icon and a launch screen","All three are automatic App Store rejection or build-failure items, and none needs a Mac to fix",Verified across all 14 XCBuildConfiguration blocks,IOS_FUTURE,S
FABLE-A035,P2,REPO_SOLVABLE,Accessibility,Add a real-browser contrast gate for parent-web,"jsdom axe reports contrast as 'incomplete' and the matcher reads only results.violations, so the contrast gate asserts nothing. Every WCAG ratio in global.css is a hand-written comment. public-web already has a working tiered gate (4.5 text / 3.0 UI) to copy",tests/accessibility/axe.test.tsx; vitest.config.ts:7,PARENT_C,S
FABLE-A036,P2,REPO_SOLVABLE,Billing,Wire the billing_invoices write path,"invoice.ts:77,118 have ZERO callers, so a parent's invoice list is always empty regardless of payment activity",backend/src/billing/invoice.ts,BILLING_FUTURE,M
FABLE-A037,P2,REPO_SOLVABLE,Platform Admin,"Build platform-admin alert delivery or an admin read surface, and fix the lockout alert","Alerts insert with delivery_state PENDING and there is no worker and no read route. Separately the LOCKED_OUT call site hardcodes adminId null, so roles is empty and the alert gate is always false - everything after lockout goes silent, i.e. exactly the sustained brute-force window",MySqlPlatformAdminAlertAdapter.ts:18; PlatformAdminAuthService.ts:103,POST_AUTH_B,M
FABLE-A038,P2,REPO_SOLVABLE,Testing,Run the mandatory platform-admin privilege gate in CI or document why not,"Four privilege-boundary tests SKIP in every run because they need PCA_MIGRATION_DATABASE_URL. The DB suite as a whole is deliberately excluded from CI, so ~57 MySQL test files never run there - including step-up CAS, TOTP counter CAS and audit-privilege separation","Coordinator-executed: 4 skips, all this reason",POST_AUTH_B,M
FABLE-A039,P2,REPO_SOLVABLE,Documentation,Mark docs/implementation/R3_FINAL_CURRENT_GAP_REDERIVATION.csv superseded and close the 5 stale ACTIVE_LEASE rows,It asserts 9 REAL_SOURCE_GAP rows while the manifest says 0; spot-checks confirm all three sampled gaps are closed in source. It is the more discoverable of the two files. The scheduler still shows 5 writers holding leases at a SHA 17 days stale,R3 manifest set vs docs/implementation/,ALL,S
FABLE-A040,P2,REPO_SOLVABLE,Housekeeping,Delete or rewrite tooling/mutation/run-mutation.mjs,"It executes ZERO tests: KILLED means a hardcoded string assertion noticed a string change, and EQUIVALENT is read from the manifest rather than derived. Six documents cite its VALID_MUTATION_SURVIVORS = 0 as quality evidence. It is not wired into CI, so deleting it costs nothing","run-mutation.mjs:181,194,206,295",ALL,S
FABLE-A041,P2,OWNER_ACTION,Governance,Decide the merge strategy for pca-dev into main,"origin/main is NOT an ancestor of pca-dev - the branches have diverged (pca-dev +603, main +1). main's tip is a revert that deletes files pca-dev has since evolved, so a release merge will not fast-forward. This should not be discovered on release day",Coordinator-verified: git merge-base --is-ancestor returns false,ALL,S
FABLE-A042,P2,HARDWARE,Android,Run the Android physical-device campaign,"Real-device UAT, Device Owner authorization, telephony and SMS, camera, offline interruption recovery, OEM diversity. None can be simulated and none has any evidence",9 Android external gates all EXTERNAL with evidence null,ANDROID_D,L
FABLE-A043,P2,INFRASTRUCTURE,Android,Host /.well-known/assetlinks.json with a real signing-certificate fingerprint,"App Links cannot verify without it, and it must be served from the Release A host - so it depends on Release A being deployed",ANDROID_APP_LINK_ASSETLINKS_HOSTING,ANDROID_D,S
FABLE-A044,P3,REPO_SOLVABLE,Documentation,Fix the small factual drifts,"schema.ts:5 says migrations 0001-0036 (should be 0037); generate-bootstrap-sql.mjs:7 says 82 foreign keys (should be 83); PCA_CANONICAL_DATABASE_OBJECT_INVENTORY.csv:150,154 attribute 0037's objects to migration 0003; routes.mjs:4,118 and index.mjs:4 say three main public pages when the same files define four; the 1190/1190 i18n figure is actually 1079/1079",Each verified individually,ALL,S
FABLE-A045,P3,REPO_SOLVABLE,Housekeeping,Add a SUPERSEDED marker to docs/database/legacy-postgresql/ and to the v0.1 public package,"legacy-postgresql is PostgreSQL DDL for a MySQL project, referenced by nothing, with no README - an agent grepping docs/database/*.sql can land on it as if authoritative. Both packages verify clean against their SHA256SUMS, so this is labelling only",grep for legacy-postgresql returns zero hits,NONE,S
FABLE-A046,P3,REPO_SOLVABLE,Housekeeping,Remove or refresh the tracked CURRENT_DIRTY_PATHS.txt,"Dated 2026-08-18 and matches neither git status (clean) nor stash@{0}. A public report already says do not treat it as current, yet it remains tracked at the repository root",Coordinator-verified,NONE,S
FABLE-A047,P3,REPO_SOLVABLE,Testing,Document the MySQL UTC precondition for the DB suite and assert it in verify-mysql.mjs,"A non-UTC server silently produces two phantom failures (deviceauth expiry, expired-bearer 401) because the tests write expires_at with NOW(3) while the pool pins timezone Z. Proven: those two files go 63/63 green under SET GLOBAL time_zone='+00:00'",Coordinator-executed both ways,AUTH_B,S
FABLE-A048,P3,REPO_SOLVABLE,Security,Add __Host- prefixes to the session and CSRF cookies and raise scrypt N to 2^17,"Both cookies already meet every __Host- precondition; without it a sibling host can set Domain=.pcasafe.com and parseCookies is last-wins, permitting fixation. scrypt N=2^15 is below the OWASP baseline",parentAccountRoutes.ts:123-131; passwordCredential.ts:20-22,AUTH_B,S
FABLE-A049,P0,REPO_SOLVABLE,Retention,Persist the parent's retention policy and deliver it to the device,"VERIFIED: the parent chooses a window, retentionRoutes.ts:203 validates it, writes an audit row and returns accepted:true - and persists NOTHING. The device separately hardcodes FOURTEEN_DAYS as a default parameter. So a parent selecting 1_MONTH is told their choice was accepted while nothing stores, delivers or enforces it. This is a false assurance to a parent about data retention, not merely an unimplemented feature",retentionRoutes.ts:203 (no repository call on that path); RetentionMaintenanceCycle.kt:64-65,PARENT_C/ANDROID_D,M
FABLE-A050,P0,REPO_SOLVABLE,Android,Fix familyId = '' persisted at EnrollmentCoordinator.kt:387 as part of the crypto activation work,"SECOND-ORDER: clearing PRODUCTION_CRYPTO_SUITE does NOT by itself make Android work. Enrollment persists familyId as an empty string because the bootstrap DTO never returns one, so retention still returns early at RetentionMaintenanceCycle.kt:67 and Delete-Now and audit export still throw require(familyId.isNotBlank()). Any plan treating the crypto review as the last Android blocker is wrong by one full step","EnrollmentCoordinator.kt:145-151,387",ANDROID_D,M
FABLE-A051,P0,REPO_SOLVABLE,Android,Replace the api.pca.app and enroll.pca.app placeholder domains before any key-generator change,PcaAppGraph.kt:352 wires the real bootstrap client to https://api.pca.app - a domain the project does not own (the real domain is pcasafe.com) - and the adjacent comment admits it is a placeholder. It is unreachable today only because key generation fails first. Swap the generator without fixing this and enrollment POSTs invitation tokens and device public keys to an unowned domain. The iOS applinks: entitlement points at enroll.pca.app and iOS fetches it at install time,PcaAppGraph.kt:352; EnrollmentDeepLinkConfig.kt:42; ios/PCA/PCA.entitlements:25,ANDROID_D/IOS_FUTURE,S
FABLE-A052,P1,REPO_SOLVABLE,Android,Correct two production strings that tell the child something untrue,"runtime_strings.xml:19 promises the parent can see protection status, screen-time, policy events and activity categories - the sync port is permanently OFFLINE so the parent can see nothing. runtime_strings.xml:26 renders 'Protection is active on this device' unconditionally whenever offline or pending, i.e. always. The codebase's honesty discipline is excellent in comments and fails in shipped copy","runtime_strings.xml:19,26; ChildHomeScreen.kt:289-295",ANDROID_D,S
FABLE-A053,P1,REPO_SOLVABLE,Android,Add a launcher icon and a release signing configuration,"MissingApplicationIcon is a hard Play rejection. There is no release {} block at all in app/build.gradle.kts and no keystore, so assembleRelease would emit an unsigned APK with minifyEnabled false and proguard-rules.pro wired to nothing",AndroidManifest.xml:127; app/build.gradle.kts,ANDROID_D,S
FABLE-A054,P1,OWNER_ACTION,Android,Verify the Play targetSdk requirement against targetSdk 35,"Play raises the target-SDK floor annually and API 36 is the likely current bar. Could not be checked offline. If confirmed, this blocks submission regardless of everything else",app/build.gradle.kts targetSdk 35,ANDROID_D,S
FABLE-A055,P1,REPO_SOLVABLE,Android,Gate retention on the tamper monitor's clock-rollback signal,runRetentionMaintenanceCycle uses Instant.now() wall clock. Moving the device clock back moves the cutoff back and retention silently stops deleting. WallClockRollbackMonitor already detects and records the rollback as a TamperEvent but does not gate retention,RetentionMaintenanceCycle.kt:63; WallClockRollbackMonitor.kt,ANDROID_D,S
FABLE-A056,P2,REPO_SOLVABLE,Android,Wire BidiUtils or remove it,"isolateLtr and sanitizeBidiControls both have ZERO production call sites despite the class doc mandating that callers MUST route embedded LTR tokens through isolateLtr. Arabic strings interpolating times, numbers and domains are unprotected, and untrusted text such as a child name or URL is never bidi-sanitised","i18n/BidiUtils.kt:19,29",ANDROID_D,S
FABLE-A057,P2,REPO_SOLVABLE,Privacy,"Add a shared redaction utility, and create lint enforcement where none exists","VERIFIED: only TWO ESLint configs exist repo-wide (parent-web, platform-admin-web) and NEITHER declares no-console, though both run eslint --max-warnings=0 in CI. backend and public-web have no lint script at all. The three parent-sdk packages declare lint but it is 'tsc --noEmit' - a script named lint that runs no linter. So 5 of 7 production trees have no ESLint whatsoever. Meanwhile 6 eslint-disable-next-line no-console comments sit in production code suppressing a rule NO tool enforces anywhere, and 4 of those 6 are in backend which ESLint never runs against. Adding no-console to the two existing configs is nearly free but covers only 2 of 7 trees - backend needs a config created from scratch. Separately there is no shared redaction helper anywhere; three unrelated ad-hoc console wrappers exist instead, and the highest-risk sink is parent-web useAsync.ts:42 which dumps the whole error object from the loader wrapping every parent-console fetch",Coordinator-verified: lint scripts enumerated across all 7 packages; git ls-files shows exactly 2 eslintrc files; useAsync.ts:42,PARENT_C,S
FABLE-A058,P2,REPO_SOLVABLE,Privacy,Correct two central-schema privacy misclassifications,"device_challenges.nonce is labelled ENCRYPTED_PAYLOAD but is a challenge nonce (SECURITY_METADATA). release_packages.signed_metadata is labelled encrypted but signed is not encrypted - signed metadata is normally readable plaintext plus a signature, so this classification could mask readable content",PCA_CENTRAL_DATA_PRIVACY_CLASSIFICATION.csv,NONE,S
FABLE-A059,P2,REPO_SOLVABLE,Release Gates,Declare the 20 undeclared external gate labels,"33 distinct gate labels appear in requirement rows but only 14 are declared in the matrix externalGates registry - 20 are undeclared, including 7 of the 8 Android device gates. ValidateR3EvidenceDiscipline.mjs never reads matrix.externalGates so nothing cross-checks this, and its emptiness check applies only to the 25 SOURCE_COMPLETE_EXTERNAL_GATE rows, not the 284 SOURCE_COMPLETE rows with an empty array",tooling/release/ValidateR3EvidenceDiscipline.mjs,ALL,S
FABLE-A060,P2,REPO_SOLVABLE,Android,Decide the fate of the hardcoded 1.1.1.1 DNS resolver before wiring the VPN,"WebProtectionVpnService.kt:284 hardcodes Cloudflare 1.1.1.1 as a bare non-configurable constant with a real DatagramSocket at :186. It is inert today because VpnEnforcementController has zero call sites. If the VPN is ever wired, every domain a child resolves goes to a third party that appears in no privacy surface or claim register entry","WebProtectionVpnService.kt:284,186",ANDROID_D,S
FABLE-A061,P1,REPO_SOLVABLE,Release Gates,Add a dedicated PRODUCTION_EMAIL_DELIVERY gate to the external gate register,"The gate inventory has no email-delivery gate at all, so the single hard blocker for Release B is invisible to release tooling and tends to get mis-filed under payment-provider selection. Definition must require: an approved real provider; a production adapter configured; verification-email delivery proven externally; reset-email delivery proven externally; sender identity and domain authentication (SPF/DKIM/DMARC) verified; and no test-sandbox adapter active in production. Proposed scope: PUBLIC_A=NO, AUTH_B=YES, PARENT_C=YES, ANDROID_D=PARTIAL, IOS_FUTURE=PARTIAL, BILLING_FUTURE=NO",external_gate_matrix.json holds 33 gates and none covers email; see FABLE-A006,AUTH_B/PARENT_C,S
FABLE-A062,P0,OWNER_ACTION,Live Database,Make PCA-LIVE-DB-1 an explicit Release B prerequisite and schedule the one-time bootstrap,"LIVE_DATABASE_CREATED = NO and the bootstrap has never been executed against production, yet the first roadmap did not list it as a Release B prerequisite. Required order: (1) database environment and preflight hardening per FABLE-A009; (2) provision live MySQL 8.4 infrastructure; (3) run the one-time approved bootstrap; (4) verify the canonical fingerprint and runtime grants; (5) integrate and verify the production email provider; (6) run real registration/verification/login/reset UAT; (7) only then classify Release B",database/live-bootstrap/OWNER_RUNBOOK.md is entirely future-tense with unticked preconditions,AUTH_B,L
FABLE-A063,P0,OWNER_ACTION,Public Release A,Complete the Owner visual UAT for the Public site to PASS,"Owner visual UAT is still IN_PROGRESS and is a genuine Release A blocker that the first FABLE blocker list omitted. It is absent from the external gate register, so no tooling surfaces it",Public owner sign-off artifacts record IN_PROGRESS,PUBLIC_A,M
FABLE-A064,P0,INFRASTRUCTURE,Public Release A,Establish public reply identity / Send-As for the four public addresses,"Inbound delivery to the four public addresses was verified, but public Send-As / reply identity remains NOT_READY. A published contact and security-disclosure surface that cannot reply from its own identity is a Release A blocker. Absent from the external gate register. Do not expose the private forwarding mailbox in any artifact","RELEASE_A_CONTACT_CHANNEL_VERIFICATION.md: inbound verified, public reply identity NOT_READY",PUBLIC_A,S
