ID,DOMAIN,REQUIREMENT,CURRENT_SOURCE_STATUS,CURRENT_TEST_STATUS,CURRENT_EXTERNAL_STATUS,ACTUAL_GAP,FABLE_ACTION,EXTERNAL_ACTION,RELEASE_TARGET,PRIORITY
G-21,Addendum 002 PA,PCA-PA-1..3 platform administration identity/entitlements/web,SOURCE_COMPLETE (98/98 rows incl. billing),"EXECUTED: backend unit + MySQL (cross-realm, TOTP anti-replay, step-up CAS); platform-admin-web Vitest 153; Playwright 17 specs locally",PLATFORM_ADMIN_ALERT_DELIVERY conditional; OBSERVABILITY_PIPELINE conditional,"Alert delivery worker/read surface absent (write-only alerts); PA-041 dashboard metrics and BILL-020 rollup open per traceability notes; PCA-PA-UAT not started",Deferred (post-AUTH_B scope),Operations owner: alert channel; PA UAT,POST_AUTH_B,P2
G-22,Addendum 002 BILL,PCA-BILL-1..3 / PCA-MYKIDS-BILL-1 billing core / provider / settlement / self-service,SOURCE_COMPLETE (provider registry intentionally empty),EXECUTED: backend unit + MySQL billing suites,"PAYMENT_PROVIDER_SELECTION / MERCHANT_ACCOUNT_APPROVAL / SUPPORTED_*_CURRENCIES / SETTLEMENT_BANK_CONFIGURATION / PAYMENT_PRODUCTION_CERTIFICATION all EXTERNAL","No provider SDK; invoice write path and webhook freshness/replay scenarios only partially test-evidenced; PCA-BILL-UAT not started",None (authorized scope complete without a provider),Commercial/finance decisions then sandbox certification,BILLING_FUTURE,P2
G-23,Addendum 003,PCA-ADD-IDENT-001..024 parent identity / registration / free access,SOURCE_COMPLETE (24/24),"EXECUTED: backend unit + MySQL (parentAccount, emailOutbox); parent-web auth pages Vitest",PRODUCTION_EMAIL_DELIVERY EXTERNAL; PRODUCTION_EMAIL_CREDENTIAL_ROTATION BLOCKED (owner-reported compromise); 0/4 UAT-AUTH,None repo-solvable (email architecture fails closed without a provider),None,"Rotate the compromised SMTP credential; prove delivery; execute UAT-AUTH-01..04 against a real inbox",AUTH_B,P0 (external)
G-24,Addendum 004,PCA-ADD-COMP-001..025 complimentary entitlements,SOURCE_COMPLETE (25/25),EXECUTED: backend unit + MySQL concurrency suites,None,None,None,None,BILLING_FUTURE,P3
G-25,Security,Authentication / session lifecycle / parent-vs-platform separation,SOURCE_COMPLETE,"EXECUTED: crossRealm, session, cookie, trustProxy, verification-code, scrypt-bound tests in the 2336-test suite",None (deployment topology: in-process rate limiter),Rate limiter is per-instance; scale-out multiplies budgets,None (documented caveat),Pin instance count or move to a shared store before scale-out,AUTH_B,P2
G-26,Security,Cross-family IDOR and existence oracles,SOURCE_COMPLETE,"EXECUTED: 15 cross-family MySQL isolation tests; eye-protection scoped read (W1); child-request decide (W3); cancel/acknowledge (this pass)",None,"Residual: MySqlProfileModeRepository upsert does not re-check family_id on conflict (dormant, no production route)",DONE for cancel/acknowledge; residual recorded,None,PARENT_C,P3
G-27,Security,Crypto fail-closed posture,SOURCE_COMPLETE,"EXECUTED: Rejecting* verifier tests + new resolver test; only Rejecting* implementations exist repo-wide (release gate derives PENDING_HUMAN_SECURITY_REVIEW from source)",PRODUCTION_CRYPTO_SUITE,None; a real Ed25519 signer sits unimported in parentaccount/genesisDeviceSigner.ts (no CI guard against importing it),Deferred: CI guard against activating an unreviewed verifier,Human review,PARENT_C/ANDROID_D/IOS_FUTURE,P1
G-28,Security/Infra,Secret handling / database TLS / Azure configuration,SOURCE_COMPLETE (PCA_DATABASE_TLS fail-closed at boot),"EXECUTED: 12 TLS tests (ba07cec); Azure verified read-only: pca-mysql 8.4.9 require_secure_transport=ON TLS1.2/1.3 UTC pca_pro utf8mb4_bin; private endpoint + private DNS; pca app VNet-integrated with routeAll; Key Vault references for all four secrets","PRODUCTION_EMAIL_CREDENTIAL_ROTATION BLOCKED; pcaSafe carries a plaintext MS_CLIENT_SECRET and a pca-backend:5dacd84 image reference in its own app settings; public network access still Enabled on pca-mysql (one client-IP rule, no AllowAll)",None repo-solvable (Azure-side hygiene),None,"Rotate SMTP credential; remove MS_CLIENT_* and the backend image reference from pcaSafe; disable public network access on pca-mysql once the private path is proven",PUBLIC_A/AUTH_B,P1
G-29,Privacy,Telemetry/log/crash/support sinks (absence),SOURCE_COMPLETE,"EXECUTED: Fastify logger disabled + noPayloadLoggingHttp; email error-redaction sentinels; schema-privacy 30/30 + MySQL; NEW parent-web/platform-admin console-sink sentinel tests; 11 synthetic privacy sentinels in quality checks; Android CameraPrivacyStaticScan (JVM)",On-device sink injection needs hardware,"Browser console sink previously received raw error objects (URLs/child names possible) in production builds","DONE: single redacting diagnostic sink, no-console lint error in both web apps, sentinel tests",Device-level sentinel injection during Android UAT,PARENT_C/ANDROID_D,P2
G-30,Privacy,Central schema absence invariants,SOURCE_COMPLETE,EXECUTED: 9 invariants at zero (schema-privacy suites; 646 columns scanned in W3),PRODUCER_CATALOGUE_AUDIT_SIGNOFF,Two column privacy-class misclassifications (nonce; signed_metadata),DONE: corrected,Compliance sign-off,PARENT_C,P3
G-31,Release tooling,Gate integrity (target required; no bypass; crypto from source; UAT from log; scopes enforced),SOURCE_COMPLETE,"EXECUTED: Test-ReleaseGateScoping 0 failures; ValidateFableScopeParity PASS; 6 target runs; missing-target fails closed; -IgnoreExternalGates never READY","PUBLIC_A/IOS_FUTURE/BILLING_FUTURE REAL_UAT is structurally unsatisfiable (owner decision O-2)","Derived gate register was hand-edited (rebuild dropped 4 gates and broke parity); 23 gate labels undeclared in the completion matrix; EXTERNAL_GATE_MATRIX.md listed 7 of 37 gates","DONE: registry-derived rows, --check modes in CI, generated markdown, undeclared-label check",Owner decides how the three targets satisfy REAL_UAT,ALL,P1
G-32,Documentation,Controlled status documents vs source,STALE (was),N/A,None,"doc 30 asserted no PA/Billing source; Addenda 001-004 headers NOT YET IMPLEMENTED; release docs cited 33/34/7 gates; doc 31 decision-number collision unresolved; README claim; status doc R0 matrix stale","DONE: doc 30 rewritten from executed evidence; addenda headers/§21/§22 corrected; release docs + generated table; doc 31 legacy series crosswalk; doc 32 note; status banner; README",None,ALL,P1
G-33,Database,Canonical schema and local validation,SOURCE_COMPLETE,"EXECUTED: MySQL 8.4 suite 528/532 (4 privilege-gated skips need PCA_MIGRATION_DATABASE_URL); fingerprint 278c141e...329f (W3/ba07cec)",Azure pca_pro NOT_TESTED from this host (no network path; single client-IP firewall rule for another address; credential not read),"pca_pro_app grants, reference data (14 rows) and schema fingerprint on Azure unverified in this session; canonical inventory CSV totals/provenance stale (0037)",None (would require adding a firewall rule or reading a production secret -- not done),Owner runs post-validate.mjs + grant plan against pca_pro from an allowed host and records the output,AUTH_B,P1
G-34,Android release,Release build type / signing / launcher icon / targetSdk,NOT_STARTED (debug-only build),N/A,ANDROID_RELEASE_SIGNING_CONFIG (new gate) EXTERNAL; Play targetSdk verification owner action,No release buildType; no keystore; no android:icon; targetSdk 35 unverified against Play floor,DONE: gate registered (keystore must not be fabricated),Keystore + Play App Signing + icon asset + targetSdk check,ANDROID_D,P1
G-35,Android copy/config,Child-facing honesty and hostnames,SOURCE_COMPLETE (after this pass),EXECUTED: Android JVM 1347/1347 with the changes,None,"Parent-visibility copy implied the parent can see data while sync is permanently offline; bootstrap client targeted unowned api.pca.app; App Link host enroll.pca.app still a placeholder","DONE: copy conditioned on connection (EN/AR); API host -> api.pcasafe.com; App Link host left pending the assetlinks hosting decision (documented in source)",Owner: which owned host serves assetlinks.json,ANDROID_D,P1
G-36,Android hardening,Retention gated on clock-rollback; BidiUtils wiring,PARTIAL,JVM tests exist for the monitors,None,"WallClockRollbackMonitor records the rollback but retention still uses wall-clock cutoffs; BidiUtils.isolateLtr/sanitizeBidiControls unused",DEFERRED (recorded; needs an owner rule on retention behaviour after rollback),None,ANDROID_D,P2
G-37,Public web,Public Release A content and gates,SOURCE_COMPLETE,EXECUTED: build --check-only + 6 node tests; earlier real-browser evidence (2026-09-07),OWNER_VISUAL_UAT / PUBLIC_REPLY_IDENTITY BLOCKED; OD-12 / OD-13 owner items; DEPLOYED_TLS_TERMINATION_CONFIG,None repo-solvable,None,Owner sign-offs; legal facts; Send-As identity; TLS/apex DNS,PUBLIC_A,P0 (external)
G-38,Testing hygiene,Mutation harness and real-E2E artifact claims,N/A,"tooling/mutation executes zero tests (labelled honestly now); test-results/ stays gitignored so no 'committed real-E2E artifact' claim can be true","None","Historical documents cite vacuous mutation numbers and uncommitted E2E artifacts as evidence","DONE: harness labelled + report flag executesTests:false + README; historical claims left as history and called out here",None,ALL,P3
