APP,ROUTE,PAGE,WORKFLOW,CURRENT_STATUS,PRIMARY_GAP,SECONDARY_GAPS,BACKEND_STATUS,API_STATUS,TEST_STATUS,BROWSER_STATUS,EN_STATUS,AR_STATUS,RTL_STATUS,RESPONSIVE_STATUS,ACCESSIBILITY_STATUS,PRIORITY,WRITER,QA_STATUS,NOTES
parent-web,/children/:childId/prayer,PrayerPage.tsx,View prayer calculation method and reminders,WORKFLOW_INCOMPLETE,"Hardcoded, untranslated 'Reminders:' string breaks Arabic on that line; raw enum (UMM_AL_QURA etc.) shown verbatim",SPARSE_PAGE;MISSING_ACTION;HARDCODED_TEXT;TECHNICAL_LANGUAGE;DUPLICATE_PATTERN,"MISSING (local-only, no route)",MISSING,axe only,NOT_TESTED,FAIL,FAIL,N/A,PASS,AXE_ONLY,P1,W05,NOT_TESTED,"Fix hardcoded string first (cheap, real defect); add method label map mirroring Android's real CalculationMethod names"
parent-web,/requests,Requests.tsx,Review and approve/deny/counter child requests,UI_COMPLETE_BACKEND_INCOMPLETE,RealRequestClient.decide()/grantBonusTime() unconditionally throw 'not implemented' even though backend/src/http/routes/childRequestRoutes.ts fully implements /decide and /bonus-time/grant,NO_CONFIRMATION before approve/deny/grant,REAL and fully built (childRequestRoutes.ts),MISSING (frontend never calls it),component(thorough incl. 2 regression tests),NOT_TESTED,PASS,PASS,none observed,PASS,AXE_ONLY,P0,W06,NOT_TESTED,"Pure frontend/backend wiring fix -- backend already works, client stub needs to call it"
parent-web,/wellbeing-messages,WellbeingAdmin.tsx,Curate suggested nudges and author custom family messages,UI_COMPLETE_BACKEND_INCOMPLETE,wellbeingMessages has NO real backend route and NO real client implementation at all -- production always errors on load,NO_FAILURE_FEEDBACK;NO_CONFIRMATION (silent-catch on toggle/duplicate/archive/restore/saveDraft),MISSING entirely,MISSING,NONE (page-level),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W06,NOT_TESTED,Same silent-catch anti-pattern the Requests-page fix already solved -- apply identical fix once backend exists
parent-web,/children/:childId/wellbeing-messages,ChildWellbeingPage.tsx,Read-only view of messages targeted at one child,UI_COMPLETE_BACKEND_INCOMPLETE,Same missing wellbeingMessages service as family-level page,SPARSE_PAGE;MISSING_CONTEXT,MISSING (same as above),MISSING,NONE,NOT_TESTED,PASS,PASS,none observed,PASS,AXE_ONLY,P1,W06,NOT_TESTED,Design (read-only slice of family page) is sound; moot until backend exists
parent-web,/notifications,Notifications.tsx,Manage delivery prefs and read/acknowledge notifications,PARTIAL,markRead()/acknowledge() have NO try/catch at all -- failed call is an unhandled rejection with zero feedback,NO_FAILURE_FEEDBACK;MISSING_FILTER(read/unread);MISSING_PAGINATION(capped at 50),REAL (commercialNotificationRoutes+parentAccountRoutes),PASS,unit+i18n(RTL smoke only),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W06,NOT_TESTED,Add error handling to markRead/acknowledge; add read/unread filter and pagination
parent-web,/family/members,Members.tsx,Invite/manage family members and roles,UI_COMPLETE_BACKEND_INCOMPLETE,No family-authority backend exists at all (UnavailableFamilyAuthorityGateway always rejects); demo-only in production,MISSING_DETAIL_VIEW;WEAK_EMPTY_STATE;NO_CONFIRMATION;NO_SUCCESS_FEEDBACK;DEMO_ONLY,MISSING entirely,MISSING,"route+axe+e2e(fixtures, best-tested of the 3)",NOT_TESTED,PASS,PASS,PASS,PASS (only route w/ dedicated overflow e2e test),AXE_ONLY,P0,W07,NOT_TESTED,No invitation-lifecycle concept (accepted/declined/expired) either
parent-web,/family/roles,RolesMatrix.tsx,View read-only role permission grid,DATA_MODEL_INSUFFICIENT,Matrix is a client-side heuristic that its own comments admit is NOT authoritative for device-enrollment actions; those 4+ actions are simply omitted rather than flagged,MISSING_CONTEXT;SPARSE_PAGE;BROKEN_RESPONSIVE,MISSING (local-only derived),N/A,unit(logic only),NOT_TESTED,PASS,PASS,PASS,FAIL (no responsive-cards fallback -- 5-col grid will h-scroll at 375px),AXE_ONLY,P2,W07,NOT_TESTED,Add responsive-cards fallback; add plain-language explanation of role meanings
parent-web,/family/devices,Devices.tsx+DeviceEnrollmentPanel+ProtectionAdministrationPanel,Enroll device / view protection status / request removal,EXTERNAL_GATE_ONLY,Two independent gates: crypto-review blocks device-status list; missing bearer-token issuance blocks enrollment/pairing writes,MISSING_CONTEXT(no capacity indicator);RBAC_MISMATCH(inconsistent gating on one page);MISSING_I18N(~40 strings);WEAK_ERROR_STATE;NO_CONFIRMATION,Mixed: local-only status list (gated) + REAL invitation/pairing/removal routes (blocked on bearer-token),PARTIAL,heavy on enrollment panel only; status table/admin panel untested,NOT_TESTED,PASS (enrollment)/FAIL (ProtectionAdministrationPanel namespace missing entirely from en.json+ar.json),PASS (enrollment)/FAIL (admin panel),PASS (enrollment)/FAIL (admin panel untranslated text in RTL),PASS (enrollment)/untested (status table),AXE_ONLY,P0,W07,NOT_TESTED,Localize ProtectionAdministrationPanel (currently inline defaultValue fallbacks only); add device-slot capacity indicator + link to Subscription
parent-web,/privacy/retention,Retention.tsx,Set family activity/location retention window,UI_COMPLETE_BACKEND_INCOMPLETE,REAL backend (retentionRoutes.ts) exists but fails closed with SERVICE_SESSION_UNAVAILABLE outside demo -- no browser bearer-token flow,MISSING_CONTEXT (authored disclosure copy never rendered),REAL but session-gated,PARTIAL,component+unit+route,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W08,NOT_TESTED,Render the already-authored localEnforcementNotice/auditRetentionNotice copy once session flow exists
parent-web,/privacy/export,Export.tsx,Request encrypted data export,UI_COMPLETE_BACKEND_INCOMPLETE,Same session-bearer-token gap as retention,MISSING_CONTEXT (scopeNotice/externalCopyNotice authored but unused),REAL but session-gated,PARTIAL,route+e2e(step-up),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W08,NOT_TESTED,Render authored disclosure copy
parent-web,/privacy/delete,DeleteNow.tsx,Trigger delete-now instruction to child devices,UI_COMPLETE_BACKEND_INCOMPLETE,Same session-bearer-token gap; consequence disclosures + plan.toDelete/retainedCount from backend never shown to user,MISSING_DETAIL_VIEW;MISSING_CONTEXT,REAL but session-gated,PARTIAL,route only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W08,NOT_TESTED,Show backend's returned plan.toDelete/retainedCount and all 4 authored disclosure strings before confirm
parent-web,/privacy/transparency,Transparency.tsx,Read disclosed data categories,COMPLETE,none,SPARSE_PAGE (plain list),Local content only,N/A,mutation+route,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P3,W08,NOT_TESTED,Consider visual grouping only if time allows
parent-web,/privacy/permissions,PermissionsPolicy.tsx,Read Android OS permissions rationale,COMPLETE,none,SPARSE_PAGE,Local content mapped to AndroidManifest,N/A,component+route,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P3,W08,NOT_TESTED,No action needed
parent-web,/security/status,ProtectionStatus.tsx,See per-child protection state and alerts,PARTIAL,"ProtectionAlertPanel invoked with hardcoded literal props (alerts=[], feedState literal) and ALL panel text/10 TRIGGER_LABELS hardcoded English, bypassing i18n entirely",HARDCODED_TEXT;MISSING_I18N;DEAD_CODE,Gated by crypto-review (dashboard call),PARTIAL,route only,NOT_TESTED,FAIL,FAIL,FAIL (English leaks into Arabic sessions),PASS,AXE_ONLY,P1,W08,NOT_TESTED,Real i18n/RTL regression -- wire real alert state and route all panel text through t()
parent-web,/security/trusted-browser,TrustedBrowser.tsx,Advance this browser's decryption-trust pairing,UI_COMPLETE_BACKEND_INCOMPLETE,"Production button copy literally reads 'Sign in (dev stub)', 'Simulate parent approval (dev)' etc. in BOTH en.json and ar.json",DEMO_ONLY;TECHNICAL_LANGUAGE;STALE_PLACEHOLDER,No backend relay wired for pairing approval/revoke,MISSING,unit+route,NOT_TESTED,PASS (content is dev-labeled),PASS (same),PASS,PASS,AXE_ONLY,P1,W08,NOT_TESTED,Rewrite all '(dev)'/'(dev stub)' strings to real production copy in both locales
parent-web,/security/recovery,Recovery.tsx,Start Owner-only step-up-gated recovery transaction,WORKFLOW_INCOMPLETE,'Start recovery transaction' button has NO onClick handler at all -- clicking does nothing; no backend route exists anywhere,MISSING_ACTION;NO_FAILURE_FEEDBACK,MISSING entirely (no recoveryRoutes),MISSING,"route+e2e(block-case only, never allowed path)",NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W08,NOT_TESTED,"Feature does not exist beyond the warning screen -- fails safe, but must be built or explicitly deferred by owner"
parent-web,/security/audit,Audit.tsx (parent),Review family-authority action log,UI_COMPLETE_BACKEND_INCOMPLETE,No backend route exists for a family-facing audit trail at all (UnavailableFamilyAuthorityGateway),TECHNICAL_LANGUAGE(raw enum/ID dump);MISSING_FILTER;MISSING_SEARCH;MISSING_PAGINATION;MISSING_DETAIL_VIEW,MISSING entirely,MISSING,route only,NOT_TESTED,PASS (headers only),PASS,PASS,PASS,AXE_ONLY,P0,W08,NOT_TESTED,Not readable by non-technical parent even once backed -- needs label mapping
parent-web,/settings,Settings.tsx (parent),Change display language,PARTIAL,"Only exposes a language toggle; the real, working ParentPreferences endpoint already supports email/push alert prefs, never surfaced",SPARSE_PAGE;MISSING_ACTION;WEAK_VISUAL_HIERARCHY,REAL cookie-session backed (the one path that actually works),PASS (for the one field shown),i18n+route,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W08,NOT_TESTED,Surface emailAlertsEnabled/pushRequestsEnabled/emailDestination + session-revoke-all
parent-web,/subscription,Subscription.tsx,View plan/usage/payment method,PARTIAL,"'Cancel auto-renew' is unreachable dead code -- client always rejects, autoRenew hardcoded false server-side",DEAD_CODE;MISSING_CONTEXT,REAL (familyCommercialRoutes reads),PASS(reads)/MISSING(cancel mutation),component+i18n+e2e,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W09,NOT_TESTED,Remove or properly implement cancel-auto-renew control
parent-web,/subscription/increase-devices,DeviceIncreaseRequest.tsx,Request more device slots and pay,EXTERNAL_GATE_ONLY,Owner-authority attestation gate (pending crypto review) blocks all mutations; separately RealDeviceEnrollmentClient discards the 403 body's MANAGED_DEVICE_LIMIT_REACHED code entirely so it never reaches this page,TECHNICAL_LANGUAGE;API_MISMATCH;UNTESTED_BROWSER_PATH,REAL but gated,PARTIAL,component+unit+e2e,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W09,NOT_TESTED,"Cross-cutting fix with W07: stop discarding the 403 code in realDeviceEnrollmentClient.ts, link it here"
parent-web,/subscription/increase-parent-members,ParentMemberIncreaseRequest.tsx,Request more parent-member slots,EXTERNAL_GATE_ONLY,Same Owner-authority attestation gate blocks create/cancel,TECHNICAL_LANGUAGE;UNTESTED_BROWSER_PATH,REAL but gated,PARTIAL,component+unit+e2e,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W09,NOT_TESTED,Improve raw technical error-message copy
parent-web,/subscription/invoices,Invoices.tsx,View invoice/receipt history,COMPLETE,none,MISSING_PAGINATION;MISSING_FILTER,REAL,PASS,component,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W09,NOT_TESTED,Add pagination/date-range filter for growth
parent-web,/subscription/invoices/:invoiceId,InvoiceDetail.tsx,View one invoice's line items,COMPLETE,none,MISSING_ACTION (no download/print/PDF),REAL,PASS,component,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W09,NOT_TESTED,Consider a print/PDF affordance
parent-web,/subscription/checkout-return,CheckoutReturn.tsx,Show definitive post-redirect payment outcome,REAL_RUNTIME_NOT_VERIFIED,Confirmation semantics only ever exercised against TEST_SANDBOX/Dev fixtures -- no live-provider proof exists,UNTESTED_BROWSER_PATH,REAL but only sandbox-proven,PARTIAL,component+axe+route+e2e,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W09,NOT_TESTED,No change needed until a real payment provider is selected (external/business gate)
platform-admin-web,/dashboard,Dashboard.tsx (PA),Read-only operational KPI rollup,PARTIAL,Every KPI is a dead number with no link into its underlying list,MISSING_ACTION;WEAK_VISUAL_HIERARCHY,REAL,PASS,unit+axe+i18n+e2e-real,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P3,W10,NOT_TESTED,Link KPIs to their filtered list views (e.g. pending requests -> /entitlement-requests?state=PENDING)
platform-admin-web,/accounts,AccountsList.tsx,Browse family-account roster,UI_COMPLETE_BACKEND_INCOMPLETE,Backend readmodel hardcodes statusCapability='AVAILABLE' for every row -- suspended accounts indistinguishable from active,MISSING_SEARCH;MISSING_FILTER;MISSING_SORT;API_MISMATCH,REAL but readmodel bug,PARTIAL,axe only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W10,NOT_TESTED,"Backend fix required: AccountsReadModel must return real status, not hardcoded literal"
platform-admin-web,/accounts/:id,AccountDetail.tsx,Inspect/suspend/reactivate one family,SOURCE_COMPLETE_UI_INCOMPLETE,"Backend ships fully RBAC+step-up+audit-gated suspend/reactivate (accountsRoutes.ts) but the frontend buttons are permanently disabled placeholders, never wired",MISSING_ACTION;API_MISMATCH;STALE_PLACEHOLDER;MISSING_DETAIL_VIEW,"REAL, unused by frontend",PARTIAL,axe only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W10,NOT_TESTED,Wire Suspend/Reactivate buttons to the real endpoints; add status/suspendedAt/suspensionReason to AccountSummaryDto
platform-admin-web,/entitlements,Entitlements.tsx,Set family entitlement limits,COMPLETE,none,NO_CONFIRMATION (set-limit has no confirm dialog),REAL,PASS,axe+e2e-real,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W10,NOT_TESTED,Add a confirm step to set-limit for consistency with override path
platform-admin-web,/entitlement-requests,EntitlementRequests.tsx,Triage entitlement-change queue,WORKFLOW_INCOMPLETE,"Approve/Deny/Quote fire immediately with no confirmation, unlike every other mutating page here",NO_CONFIRMATION;MISSING_CONTEXT,REAL,PASS,axe only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W10,NOT_TESTED,Add confirmation step; link rows back to the family's account page
platform-admin-web,/complimentary-capacity,ComplimentaryCapacity.tsx,Grant/revoke/renew complimentary capacity,COMPLETE,none,none observed,REAL,PASS,axe only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W10,NOT_TESTED,No action needed
platform-admin-web,/free-access-policy,FreeAccessPolicy.tsx,View/adjust free-access windows,PARTIAL,Global-defaults section is permanently read-only by design (env-var-backed source of truth),MISSING_ACTION,REAL (partial),PASS (for what exists),unit+axe,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W10,NOT_TESTED,No repo-solvable fix without a persisted-settings backend change (larger scope)
platform-admin-web,/billing/plans,BillingPlans.tsx,Look up/cut plan versions,PARTIAL,No browse-all-plans list; search is exact plan-code only,MISSING_SEARCH;MISSING_PAGINATION;NO_CONFIRMATION;STATUS_FORMATTING,REAL,PASS,axe+unit(RBAC),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W11,NOT_TESTED,Add browse-all list and confirm dialog for create
platform-admin-web,/billing/pricing,BillingPricing.tsx,Look up/publish prices,PARTIAL,Price-book lifecycle status rendered raw and untranslated,STATUS_FORMATTING;MISSING_SEARCH;MISSING_PAGINATION,REAL,PASS,axe,NOT_TESTED,PASS (labels),FAIL (status value untranslated),PASS,PASS,AXE_ONLY,P2,W11,NOT_TESTED,Add status badge + i18n mapping (shared fix across this whole route group)
platform-admin-web,/billing/quotes,BillingQuotes.tsx,Issue priced quotes for pending requests,COMPLETE,none,MISSING_FILTER (family/date),REAL,PASS,axe,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W11,NOT_TESTED,No action needed
platform-admin-web,/billing/invoices,BillingInvoices.tsx,Browse invoices/subscriptions,PARTIAL,"Status filter is a free-text input, not a dropdown of real enum values; status column unrendered/untranslated",STATUS_FORMATTING;MISSING_FILTER;TECHNICAL_LANGUAGE,REAL,PASS,axe+route-security,NOT_TESTED,PASS (labels),FAIL (status untranslated),PASS,PASS,AXE_ONLY,P1,W11,NOT_TESTED,Convert status filter to a real dropdown; add status badge/i18n
platform-admin-web,/billing/payments,BillingPayments.tsx,Review payment attempts/refunds/disputes,WORKFLOW_INCOMPLETE,Failed/disputed rows render as identical plain text to healthy rows -- no visual distinction anywhere; no refund/dispute-response action despite RBAC ops (ISSUE_REFUND/ADMINISTER_DISPUTE) already existing,STATUS_FORMATTING;WEAK_VISUAL_HIERARCHY;MISSING_ACTION;HARDCODED_TEXT,REAL (read-only); no write route wired for refund/dispute action,PARTIAL,axe+route-security,NOT_TESTED,PASS (labels),FAIL (status raw),PASS,PASS,AXE_ONLY,P0,W11,NOT_TESTED,Add status badges/colors across ALL billing tables (systemic fix) plus refund/dispute action UI
platform-admin-web,/settlement/accounts,SettlementAccounts.tsx,Manage masked settlement bank accounts,COMPLETE,none,none observed,REAL,PASS,axe,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W11,NOT_TESTED,No action needed
platform-admin-web,/settlement/batches,SettlementBatches.tsx,Attribute payment transactions to a batch,PARTIAL,"differenceMinor rendered as a bare unformatted integer with no currency, label literally says 'Difference (minor units)'",MONEY_FORMATTING;TECHNICAL_LANGUAGE,REAL,PASS,axe,NOT_TESTED,PASS (technical),PASS (same),PASS,PASS,AXE_ONLY,P1,W11,NOT_TESTED,Route differenceMinor through formatMoney() like every other amount on this page
platform-admin-web,/settlement/reconciliation,SettlementReconciliation.tsx,Resolve reconciliation exceptions,WORKFLOW_INCOMPLETE,Same bare differenceMinor bug on the ONE page whose entire purpose is surfacing financial exceptions,MONEY_FORMATTING;TECHNICAL_LANGUAGE;MISSING_CONTEXT,REAL,PASS,axe,NOT_TESTED,PASS (technical),PASS (same),PASS,PASS,AXE_ONLY,P0,W11,NOT_TESTED,Highest-value fix in this group: format the exception amount as real money
platform-admin-web,/login,Login.tsx (platform-admin),Sign in with email+password+TOTP,COMPLETE,"Post-login always navigates to /dashboard, ignoring location.state.from set by RequireSession on a bounced deep link",DEAD_CODE (unused errorLockedOut i18n key),REAL,PASS,unit+e2e(login+session-security+arabic-shell),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P3,W12,NOT_TESTED,Login/MFA messaging verified non-regressed by the enumeration-timing fix; only issue is dropped 'from' state
platform-admin-web,/admin-users,AdminUsers.tsx,Manage admin accounts/roles/sessions,COMPLETE,none,MISSING_SEARCH (name/email);TECHNICAL_LANGUAGE (mfaStatus raw enum),REAL (full CRUD/roles/step-up),PASS,axe only,NOT_TESTED,PASS (labels),FAIL (mfaStatus untranslated),PASS,PASS,AXE_ONLY,P2,W12,NOT_TESTED,Add search; translate mfaStatus like status/roles already are
platform-admin-web,/audit,Audit.tsx (platform-admin),Review audit events with filters,SOURCE_COMPLETE_UI_INCOMPLETE,Backend supports since/until date-range query params but UI never exposes a date-range filter,MISSING_FILTER (date-range + eventType picklist);TECHNICAL_LANGUAGE (raw JSON metadata dump),REAL (auditRoutes),PARTIAL (UI under-uses backend),axe only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W12,NOT_TESTED,Add date-range filter UI + human-readable metadata rendering
platform-admin-web,/settings,Settings.tsx (platform-admin),View/edit non-sensitive platform settings,SOURCE_COMPLETE_UI_INCOMPLETE,Backend ships a full category settings system (branding/payment-provider/notification/maintenance/feature-flag) the UI never calls; page shows a now-FALSE stale placeholder claiming no such route exists,STALE_PLACEHOLDER;MISSING_ACTION;RBAC_MISMATCH (route gate stricter than backend's own declared read policy -- FLAG FOR OWNER),"REAL (settingsRoutes, 3 of 7+ endpoint groups used)",PARTIAL,axe only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W12,NOT_TESTED,"OWNER DECISION NEEDED: is the stricter route-level RBAC gate intentional, or should it match the backend's declared read policy before wiring the rest of the UI?"
