BEHAVIOR_ID,PRIORITY,APP,ROUTE,PAGE,KIND,BEHAVIOR,AUDIT_STATUS,CLASSIFICATION,EVIDENCE_BASIS,EVIDENCE
B028,P1,parent-web,/children/:childId/youtube,YouTubePage.tsx,PRIMARY_GAP,"Backend structurally cannot report real signals (by design, honest); page never renders the honest disclosure copy that already exists",EXTERNAL_GATE_ONLY,VERIFIED,disposition+browser,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""bf3ae81"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B029,P1,parent-web,/children/:childId/youtube,YouTubePage.tsx,SECONDARY_GAP,MISSING_CONTEXT,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 813}"
B030,P1,parent-web,/children/:childId/youtube,YouTubePage.tsx,SECONDARY_GAP,STALE_PLACEHOLDER,EXTERNAL_GATE_ONLY,VERIFIED,disposition,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""bf3ae81""}"
B031,P1,parent-web,/children/:childId/youtube,YouTubePage.tsx,SECONDARY_GAP,DEAD_CODE(orphaned i18n keys),EXTERNAL_GATE_ONLY,VERIFIED,disposition,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""bf3ae81""}"
B032,P2,parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,WORKFLOW,Review chronological activity feed,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 1056}"
B033,P2,parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,PRIMARY_GAP,No backend by design (client-composed from local store) + crypto gate,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""f292361"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B034,P2,parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,SECONDARY_GAP,MISSING_FILTER,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""filterAffordance"": false, ""blocked"": true}"
B035,P2,parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,SECONDARY_GAP,MISSING_PAGINATION,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""paginationAffordance"": false, ""blocked"": true}"
B036,P2,parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,SECONDARY_GAP,MISSING_SEARCH,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""searchAffordance"": false, ""blocked"": true}"
B037,P2,parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,SECONDARY_GAP,UNTESTED_BROWSER_PATH,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,browser,"{""note"": ""browser-exercised this pass"", ""status"": ""BLOCKED_EXTERNAL"", ""chars"": 1056, ""pageErrors"": []}"
B038,P1,parent-web,/children/:childId/location,LocationPage.tsx,WORKFLOW,View last-seen status and manage Safe Zones,SOURCE_COMPLETE_UI_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 814}"
B039,P1,parent-web,/children/:childId/location,LocationPage.tsx,PRIMARY_GAP,"Full Safe Zone CRUD is real end-to-end (backend, client, crypto boundary, bilingual strings) but zero UI ever calls it -- page shows only 4 static disclosure lines",SOURCE_COMPLETE_UI_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""c769518"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B040,P1,parent-web,/children/:childId/location,LocationPage.tsx,SECONDARY_GAP,MISSING_ACTION,SOURCE_COMPLETE_UI_INCOMPLETE,VERIFIED,browser,"{""enabledButtons"": [""≡"", ""☰"", ""Close"", ""Retry""]}"
B041,P1,parent-web,/children/:childId/location,LocationPage.tsx,SECONDARY_GAP,MISSING_DETAIL_VIEW,SOURCE_COMPLETE_UI_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 814}"
B042,P1,parent-web,/children/:childId/location,LocationPage.tsx,SECONDARY_GAP,DEAD_CODE(8 of 12 i18n keys unused),SOURCE_COMPLETE_UI_INCOMPLETE,VERIFIED,disposition,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""c769518""}"
B043,P1,parent-web,/children/:childId/location,LocationPage.tsx,SECONDARY_GAP,SPARSE_PAGE,SOURCE_COMPLETE_UI_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 814}"
B044,P2,parent-web,/children/:childId/eye-protection,EyeProtectionPage.tsx,WORKFLOW,View eye-rest reminder status,WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 820}"
B045,P2,parent-web,/children/:childId/eye-protection,EyeProtectionPage.tsx,PRIMARY_GAP,"Read-only: no toggle control, no lastReminderUtc shown, no history despite real EYE_PROTECTION activity category existing",WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,disposition,"{""disposition"": ""PARTIAL"", ""gate"": ""none for what was fixed; the remaining toggle-control gap is a real capability gap, not an external gate""}"
B046,P2,parent-web,/children/:childId/eye-protection,EyeProtectionPage.tsx,SECONDARY_GAP,SPARSE_PAGE,WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 820}"
B047,P2,parent-web,/children/:childId/eye-protection,EyeProtectionPage.tsx,SECONDARY_GAP,MISSING_ACTION,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""enabledButtons"": [""≡"", ""☰"", ""Close"", ""Retry""]}"
B048,P2,parent-web,/children/:childId/eye-protection,EyeProtectionPage.tsx,SECONDARY_GAP,MISSING_CONTEXT,WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 820}"
B049,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,WORKFLOW,View prayer calculation method and reminders,WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 812}"
B050,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,PRIMARY_GAP,"Hardcoded, untranslated 'Reminders:' string breaks Arabic on that line; raw enum (UMM_AL_QURA etc.) shown verbatim",WORKFLOW_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""RECLASSIFIED_NOT_DEFECT"", ""fixCommit"": ""none"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B051,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,SECONDARY_GAP,SPARSE_PAGE,WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 812}"
B052,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,SECONDARY_GAP,MISSING_ACTION,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""enabledButtons"": [""≡"", ""☰"", ""Close"", ""Retry""]}"
B053,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,SECONDARY_GAP,HARDCODED_TEXT,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""arabicChars"": 577, ""dir"": ""rtl""}"
B054,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,SECONDARY_GAP,TECHNICAL_LANGUAGE,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""rawEnums"": []}"
B055,P1,parent-web,/children/:childId/prayer,PrayerPage.tsx,SECONDARY_GAP,DUPLICATE_PATTERN,WORKFLOW_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 812}"
B056,P1,parent-web,/children/:childId/wellbeing-messages,ChildWellbeingPage.tsx,WORKFLOW,Read-only view of messages targeted at one child,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 825}"
B057,P1,parent-web,/children/:childId/wellbeing-messages,ChildWellbeingPage.tsx,PRIMARY_GAP,Same missing wellbeingMessages service as family-level page,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""RECLASSIFIED_NOT_DEFECT"", ""fixCommit"": ""none"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B058,P1,parent-web,/children/:childId/wellbeing-messages,ChildWellbeingPage.tsx,SECONDARY_GAP,SPARSE_PAGE,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 825}"
B059,P1,parent-web,/children/:childId/wellbeing-messages,ChildWellbeingPage.tsx,SECONDARY_GAP,MISSING_CONTEXT,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 825}"
B060,P1,parent-web,/notifications,Notifications.tsx,WORKFLOW,Manage delivery prefs and read/acknowledge notifications,PARTIAL,VERIFIED,browser,"{""chars"": 951, ""heading"": ""Notifications"", ""httpFailures"": []}"
B061,P1,parent-web,/notifications,Notifications.tsx,PRIMARY_GAP,markRead()/acknowledge() have NO try/catch at all -- failed call is an unhandled rejection with zero feedback,PARTIAL,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""bcdcb09;490b362"", ""browserStatus"": ""RENDERED""}"
B062,P1,parent-web,/notifications,Notifications.tsx,SECONDARY_GAP,NO_FAILURE_FEEDBACK,PARTIAL,VERIFIED,disposition,"{""disposition"": ""FIXED"", ""fixCommit"": ""bcdcb09;490b362""}"
B063,P1,parent-web,/notifications,Notifications.tsx,SECONDARY_GAP,MISSING_FILTER(read/unread),PARTIAL,VERIFIED,disposition (browser: no data),"{""filterAffordance"": false, ""rows"": 0, ""note"": ""control cannot mount on an empty list; source fix recorded"", ""disposition"": ""FIXED"", ""fixCommit"": ""bcdcb09;490b362""}"
B064,P1,parent-web,/notifications,Notifications.tsx,SECONDARY_GAP,MISSING_PAGINATION(capped at 50),PARTIAL,VERIFIED,disposition (browser: no data),"{""paginationAffordance"": false, ""rows"": 0, ""note"": ""control cannot mount on an empty list; source fix recorded"", ""disposition"": ""FIXED"", ""fixCommit"": ""bcdcb09;490b362""}"
B065,P2,parent-web,/family/roles,RolesMatrix.tsx,WORKFLOW,View read-only role permission grid,DATA_MODEL_INSUFFICIENT,VERIFIED,browser,"{""chars"": 2664, ""heading"": ""Role & permission matrix"", ""httpFailures"": []}"
B066,P2,parent-web,/family/roles,RolesMatrix.tsx,PRIMARY_GAP,Matrix is a client-side heuristic that its own comments admit is NOT authoritative for device-enrollment actions; those 4+ actions are simply omitted rather than flagged,DATA_MODEL_INSUFFICIENT,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""538fa0c;f292361"", ""browserStatus"": ""RENDERED""}"
B067,P2,parent-web,/family/roles,RolesMatrix.tsx,SECONDARY_GAP,MISSING_CONTEXT,DATA_MODEL_INSUFFICIENT,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 2664}"
B068,P2,parent-web,/family/roles,RolesMatrix.tsx,SECONDARY_GAP,SPARSE_PAGE,DATA_MODEL_INSUFFICIENT,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 2664}"
B069,P2,parent-web,/family/roles,RolesMatrix.tsx,SECONDARY_GAP,BROKEN_RESPONSIVE,DATA_MODEL_INSUFFICIENT,VERIFIED,browser,"{""mobileOverflow"": false, ""viewport"": ""375x812""}"
B070,P1,parent-web,/security/status,ProtectionStatus.tsx,WORKFLOW,See per-child protection state and alerts,PARTIAL,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 660}"
B071,P1,parent-web,/security/status,ProtectionStatus.tsx,PRIMARY_GAP,"ProtectionAlertPanel invoked with hardcoded literal props (alerts=[], feedState literal) and ALL panel text/10 TRIGGER_LABELS hardcoded English, bypassing i18n entirely",PARTIAL,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""9c63014"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B072,P1,parent-web,/security/status,ProtectionStatus.tsx,SECONDARY_GAP,HARDCODED_TEXT,PARTIAL,VERIFIED,browser,"{""arabicChars"": 478, ""dir"": ""rtl""}"
B073,P1,parent-web,/security/status,ProtectionStatus.tsx,SECONDARY_GAP,MISSING_I18N,PARTIAL,VERIFIED,browser,"{""arabicChars"": 478, ""dir"": ""rtl""}"
B074,P1,parent-web,/security/status,ProtectionStatus.tsx,SECONDARY_GAP,DEAD_CODE,PARTIAL,VERIFIED,disposition,"{""disposition"": ""FIXED"", ""fixCommit"": ""9c63014""}"
B075,P1,parent-web,/security/trusted-browser,TrustedBrowser.tsx,WORKFLOW,Advance this browser's decryption-trust pairing,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,browser,"{""chars"": 834, ""heading"": ""Trusted browser status"", ""httpFailures"": []}"
B076,P1,parent-web,/security/trusted-browser,TrustedBrowser.tsx,PRIMARY_GAP,"Production button copy literally reads 'Sign in (dev stub)', 'Simulate parent approval (dev)' etc. in BOTH en.json and ar.json",UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""02a520d;63e3be9"", ""browserStatus"": ""RENDERED""}"
B077,P1,parent-web,/security/trusted-browser,TrustedBrowser.tsx,SECONDARY_GAP,DEMO_ONLY,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition,"{""disposition"": ""FIXED"", ""fixCommit"": ""02a520d;63e3be9""}"
B078,P1,parent-web,/security/trusted-browser,TrustedBrowser.tsx,SECONDARY_GAP,TECHNICAL_LANGUAGE,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,browser,"{""rawEnums"": []}"
B079,P1,parent-web,/security/trusted-browser,TrustedBrowser.tsx,SECONDARY_GAP,STALE_PLACEHOLDER,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition,"{""disposition"": ""FIXED"", ""fixCommit"": ""02a520d;63e3be9""}"
B080,P1,parent-web,/settings,Settings.tsx (parent),WORKFLOW,Change display language,PARTIAL,VERIFIED,browser,"{""chars"": 532, ""heading"": ""Settings"", ""httpFailures"": []}"
B081,P1,parent-web,/settings,Settings.tsx (parent),PRIMARY_GAP,"Only exposes a language toggle; the real, working ParentPreferences endpoint already supports email/push alert prefs, never surfaced",PARTIAL,VERIFIED,disposition+browser,"{""disposition"": ""RECLASSIFIED_NOT_DEFECT"", ""fixCommit"": ""none"", ""browserStatus"": ""RENDERED""}"
B082,P1,parent-web,/settings,Settings.tsx (parent),SECONDARY_GAP,SPARSE_PAGE,PARTIAL,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 532}"
B083,P1,parent-web,/settings,Settings.tsx (parent),SECONDARY_GAP,MISSING_ACTION,PARTIAL,VERIFIED,browser,"{""enabledButtons"": [""≡"", ""☰"", ""Close""]}"
B084,P1,parent-web,/settings,Settings.tsx (parent),SECONDARY_GAP,WEAK_VISUAL_HIERARCHY,PARTIAL,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 532}"
B085,P1,parent-web,/subscription,Subscription.tsx,WORKFLOW,View plan/usage/payment method,PARTIAL,VERIFIED,browser,"{""chars"": 1003, ""heading"": ""Subscription"", ""httpFailures"": []}"
B086,P1,parent-web,/subscription,Subscription.tsx,PRIMARY_GAP,"'Cancel auto-renew' is unreachable dead code -- client always rejects, autoRenew hardcoded false server-side",PARTIAL,BLOCKED_OWNER,disposition,"{""disposition"": ""PARTIAL"", ""note"": ""recorded as a product decision""}"
B087,P1,parent-web,/subscription,Subscription.tsx,SECONDARY_GAP,DEAD_CODE,PARTIAL,BLOCKED_OWNER,disposition,"{""disposition"": ""PARTIAL""}"
B088,P1,parent-web,/subscription,Subscription.tsx,SECONDARY_GAP,MISSING_CONTEXT,PARTIAL,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 1003}"
B089,P1,parent-web,/subscription/increase-parent-members,ParentMemberIncreaseRequest.tsx,WORKFLOW,Request more parent-member slots,EXTERNAL_GATE_ONLY,VERIFIED,browser,"{""chars"": 775, ""heading"": ""Increase parent member allowance"", ""httpFailures"": []}"
B090,P1,parent-web,/subscription/increase-parent-members,ParentMemberIncreaseRequest.tsx,PRIMARY_GAP,Same Owner-authority attestation gate blocks create/cancel,EXTERNAL_GATE_ONLY,VERIFIED,disposition+browser,"{""disposition"": ""RECLASSIFIED_NOT_DEFECT"", ""fixCommit"": ""none"", ""browserStatus"": ""RENDERED""}"
B091,P1,parent-web,/subscription/increase-parent-members,ParentMemberIncreaseRequest.tsx,SECONDARY_GAP,TECHNICAL_LANGUAGE,EXTERNAL_GATE_ONLY,VERIFIED,browser,"{""rawEnums"": []}"
B092,P1,parent-web,/subscription/increase-parent-members,ParentMemberIncreaseRequest.tsx,SECONDARY_GAP,UNTESTED_BROWSER_PATH,EXTERNAL_GATE_ONLY,VERIFIED,browser,"{""note"": ""browser-exercised this pass"", ""status"": ""RENDERED"", ""chars"": 775, ""pageErrors"": []}"
B093,P2,parent-web,/subscription/invoices,Invoices.tsx,WORKFLOW,View invoice/receipt history,COMPLETE,VERIFIED,browser,"{""chars"": 581, ""heading"": ""Invoices and receipts"", ""httpFailures"": []}"
B094,P2,parent-web,/subscription/invoices,Invoices.tsx,SECONDARY_GAP,MISSING_PAGINATION,COMPLETE,BLOCKED_OWNER,browser,"{""paginationAffordance"": false, ""rows"": 2, ""note"": ""list has rows but no such control""}"
B095,P2,parent-web,/subscription/invoices,Invoices.tsx,SECONDARY_GAP,MISSING_FILTER,COMPLETE,VERIFIED,browser,"{""filterAffordance"": true, ""rows"": 2}"
B096,P2,parent-web,/subscription/invoices/:invoiceId,InvoiceDetail.tsx,WORKFLOW,View one invoice's line items,COMPLETE,VERIFIED,browser,"{""chars"": 714, ""heading"": ""Invoice 8ce433fc-1f79-4fe6-88d4-8c253297bfa1"", ""httpFailures"": []}"
B097,P2,parent-web,/subscription/invoices/:invoiceId,InvoiceDetail.tsx,SECONDARY_GAP,MISSING_ACTION (no download/print/PDF),COMPLETE,VERIFIED,browser,"{""enabledButtons"": [""≡"", ""☰"", ""Close"", ""Print this invoice""]}"
B098,P1,parent-web,/subscription/checkout-return,CheckoutReturn.tsx,WORKFLOW,Show definitive post-redirect payment outcome,REAL_RUNTIME_NOT_VERIFIED,VERIFIED,browser,"{""chars"": 612, ""heading"": ""Payment status"", ""httpFailures"": []}"
B099,P1,parent-web,/subscription/checkout-return,CheckoutReturn.tsx,PRIMARY_GAP,Confirmation semantics only ever exercised against TEST_SANDBOX/Dev fixtures -- no live-provider proof exists,REAL_RUNTIME_NOT_VERIFIED,BLOCKED_EXTERNAL,disposition,"{""disposition"": ""RECLASSIFIED_EXTERNAL_GATE"", ""gate"": ""No real payment provider is selected/registered in production -- an external/business decision, per Stage-0's own note""}"
B100,P1,parent-web,/subscription/checkout-return,CheckoutReturn.tsx,SECONDARY_GAP,UNTESTED_BROWSER_PATH,REAL_RUNTIME_NOT_VERIFIED,VERIFIED,browser,"{""note"": ""browser-exercised this pass"", ""status"": ""RENDERED"", ""chars"": 612, ""pageErrors"": []}"
B101,P1,platform-admin-web,/accounts,AccountsList.tsx,WORKFLOW,Browse family-account roster,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,browser,"{""chars"": 1710, ""heading"": ""Accounts"", ""httpFailures"": []}"
B102,P1,platform-admin-web,/accounts,AccountsList.tsx,PRIMARY_GAP,Backend readmodel hardcodes statusCapability='AVAILABLE' for every row -- suspended accounts indistinguishable from active,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""0ff7e3e"", ""browserStatus"": ""RENDERED""}"
B103,P1,platform-admin-web,/accounts,AccountsList.tsx,SECONDARY_GAP,MISSING_SEARCH,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_OWNER,browser,"{""searchAffordance"": false, ""rows"": 20, ""note"": ""list has rows but no such control""}"
B104,P1,platform-admin-web,/accounts,AccountsList.tsx,SECONDARY_GAP,MISSING_FILTER,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,browser,"{""filterAffordance"": true, ""rows"": 20}"
