"REQUIREMENT_ID","WRITER","PRIMARY_DOMAIN","CURRENT_STATUS","SOURCE_PATHS","OWNERSHIP_STATE","HANDOFF_NOTE"
"PCA-DATA-022","Coordinator","PCA-12;PCA-11","PARTIAL","Length=36; Length=98","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-023","Coordinator","PCA-12","SOURCE_COMPLETE","Length=95","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-024","Coordinator","PCA-12;PCA-11","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-025","Coordinator","PCA-12;PCA-11","PARTIAL","Length=78","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-026","Coordinator","PCA-12","SOURCE_COMPLETE","Length=450","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-027","Coordinator","PCA-12;PCA-11","PARTIAL","Length=34; Length=106; Length=42","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-028","Coordinator","PCA-12","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-029","Coordinator","PCA-12","SOURCE_COMPLETE","Length=103; Length=60","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-000","Coordinator","PCA-0","NOT_APPLICABLE","Length=46","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-000A","Coordinator","PCA-2;PCA-10","PARTIAL","Length=97","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-001","Coordinator","PCA-1","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-002","Coordinator","PCA-1","SOURCE_COMPLETE","Length=126","CLOSED_SOURCE_RECONCILIATION","Coordinator independently reconciled accepted source and test evidence; validation and independent review remain separate gates."
"PCA-FR-002A","Coordinator","PCA-1","SOURCE_COMPLETE","Length=90; Length=37","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-003","Coordinator","PCA-1","SOURCE_COMPLETE","Length=175","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-004","Coordinator","PCA-10","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-004A","Coordinator","PCA-PA-2","SOURCE_COMPLETE","Length=140","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-005","Coordinator","PCA-1","PARTIAL","Length=98; Length=63","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-006","Coordinator","PCA-1","PARTIAL","Length=39; Length=65; Length=58","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-007","Coordinator","PCA-1","SOURCE_COMPLETE","android/app/src/main/java/org/pca/app/enrollment/ui/EnrollmentScreen.kt; android/app/src/main/res/values/strings.xml; android/app/src/main/res/values-ar/strings.xml","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-008","Coordinator","PCA-1","NOT_STARTED","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-010","Coordinator","PCA-3","SOURCE_COMPLETE","Length=148","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-011","Coordinator","PCA-3","SOURCE_COMPLETE","Length=108","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-011A","Coordinator","PCA-3","SOURCE_COMPLETE","Length=133","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-012","Coordinator","PCA-3","SOURCE_COMPLETE","Length=114","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-012A","Coordinator","PCA-3","SOURCE_COMPLETE","Length=131","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-013","Coordinator","PCA-3","SOURCE_COMPLETE","Length=104","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-014","Coordinator","PCA-3","SOURCE_COMPLETE","Length=106","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-014A","Coordinator","PCA-3","SOURCE_COMPLETE","Length=101","CLOSED_SOURCE_RECONCILIATION","Coordinator independently reconciled accepted source and test evidence; validation and independent review remain separate gates."
"PCA-FR-015","Coordinator","PCA-2;PCA-3","SOURCE_COMPLETE","Length=165","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-016","Coordinator","PCA-3","SOURCE_COMPLETE","Length=81","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-017","Coordinator","PCA-3;PCA-13","SOURCE_COMPLETE","Length=152","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-018","Coordinator","PCA-3","SOURCE_COMPLETE","Length=114","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-020","Coordinator","PCA-8","SOURCE_COMPLETE","Length=115","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-021","Coordinator","PCA-8","PARTIAL","Length=85","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-021A","Coordinator","PCA-8","SOURCE_COMPLETE","Length=130","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-022","Coordinator","PCA-8","SOURCE_COMPLETE","Length=230","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-023","Coordinator","PCA-8","NOT_STARTED","Length=102; Length=123","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-024","Coordinator","PCA-8","NOT_STARTED","Length=132","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-030","Coordinator","PCA-5","SOURCE_COMPLETE","Length=108","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-031","Coordinator","PCA-5","SOURCE_COMPLETE","Length=140","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-031A","Writer74-76","PCA-5","SOURCE_COMPLETE","Length=84","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-032","Coordinator","PCA-5","SOURCE_COMPLETE","Length=117","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-033","Coordinator","PCA-5","SOURCE_COMPLETE","Length=135","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-034","Coordinator","PCA-5","SOURCE_COMPLETE","Length=113","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-035","Coordinator","PCA-5","SOURCE_COMPLETE","Length=111; Length=53","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-036","Coordinator","PCA-5","SOURCE_COMPLETE","Length=132","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-037","Writer74-76","PCA-5","SOURCE_COMPLETE","Length=102","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-040","Writer77-79","PCA-2","SOURCE_COMPLETE","Length=115","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-041","Coordinator","PCA-2","SOURCE_COMPLETE","Length=100","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-042","Coordinator","PCA-2","SOURCE_COMPLETE","Length=103","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-043","Coordinator","PCA-4","SOURCE_COMPLETE","Length=112","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-043A","Coordinator","PCA-4","SOURCE_COMPLETE","Length=122","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-044","Coordinator","PCA-2","SOURCE_COMPLETE","android/app/src/main/java/org/pca/app/platform/PlatformProtectionCapabilities.kt; android/app/src/main/java/org/pca/app/runtime/ui/ChildHomeScreen.kt; android/app/src/main/java/org/pca/app/feature/youtube/ui/YouTubeModeScreen.kt","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-045","Writer74-76","PCA-2","SOURCE_COMPLETE","Length=175; Length=91","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-050","Coordinator","PCA-6","SOURCE_COMPLETE","Length=117","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-051","Coordinator","PCA-6","SOURCE_COMPLETE","Length=174","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-052","Coordinator","PCA-6","NOT_STARTED","Length=150; Length=27","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-053","Coordinator","PCA-6","NOT_STARTED","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-054","Coordinator","PCA-6","SOURCE_COMPLETE","Length=112; Length=39; Length=22; Length=32","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-060","Coordinator","PCA-7","SOURCE_COMPLETE","Length=127","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-061","Coordinator","PCA-7","SOURCE_COMPLETE","Length=113","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-062","Coordinator","PCA-7","PARTIAL","Length=109","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-063","Coordinator","PCA-7","PARTIAL","Length=255; Length=88","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-064","Coordinator","PCA-7","SOURCE_COMPLETE","Length=197","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-065","Coordinator","PCA-7","SOURCE_COMPLETE","Length=152","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-070","Coordinator","PCA-9","SOURCE_COMPLETE","Length=127","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-071","Coordinator","PCA-9","SOURCE_COMPLETE","Length=110","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-072","Coordinator","PCA-9","SOURCE_COMPLETE","Length=94","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-073","Coordinator","PCA-9","SOURCE_COMPLETE","Length=276; Length=134","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-074","Coordinator","PCA-9","SOURCE_COMPLETE","Length=116","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-074A","Coordinator","PCA-9","SOURCE_COMPLETE","android/app/src/main/java/org/pca/app/feature/prayer/location/PrayerLocationStalenessDetector.kt; android/app/src/main/java/org/pca/app/runtime/prayer/PrayerLocationStalenessNotificationDelivery.kt; android/app/src/main/java/org/pca/app/runtime/graph/PcaAppGraph.kt; android/app/src/main/res/values/strings.xml; android/app/src/main/res/values-ar/strings.xml","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-080","Coordinator","PCA-13","PARTIAL","Length=103","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-081","Coordinator","PCA-13","PARTIAL","Length=352","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-082","Coordinator","PCA-13","PARTIAL","Length=109","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-083","Coordinator","PCA-13","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-084","Coordinator","PCA-13","PARTIAL","Length=242","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-085","Coordinator","PCA-13","PARTIAL","Length=39; Length=39; Length=28","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-090","Coordinator","PCA-10","SOURCE_COMPLETE","Length=40; Length=53","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-091","Coordinator","PCA-10","PARTIAL","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-092","Writer77-79","PCA-10","SOURCE_COMPLETE","Length=145; Length=434","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-093","Coordinator","PCA-10","SOURCE_COMPLETE","Length=361","CLOSED_SOURCE_IMPLEMENTATION","Coordinator implemented and independently reconciled the bounded Parent Web location-retention selector; validation and device-side enforcement remain separate gates."
"PCA-FR-094","Coordinator","PCA-10","PARTIAL","Length=38","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-095","Coordinator","PCA-10","SOURCE_COMPLETE","Length=94; Length=96","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-096","Writer77-79","PCA-10","SOURCE_COMPLETE","Length=147; Length=47","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-100","Coordinator","PCA-12","SOURCE_COMPLETE","Length=94","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-101","Coordinator","PCA-12","SOURCE_COMPLETE","Length=31","CLOSED_SOURCE_RECONCILIATION","Coordinator independently reconciled accepted source and test evidence; validation and independent review remain separate gates."
"PCA-FR-102","Coordinator","PCA-12","SOURCE_COMPLETE","Length=103","CLOSED_SOURCE_IMPLEMENTATION","Coordinator implemented and independently reconciled the bounded Parent Web location-retention selector; validation and device-side enforcement remain separate gates."
"PCA-FR-103","Coordinator","PCA-12","SOURCE_COMPLETE","Length=168","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-104","Coordinator","PCA-12","PARTIAL","Length=114","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-105","Coordinator","PCA-12","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-110","Coordinator","PCA-16","SOURCE_COMPLETE","Length=339","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-111","Coordinator","PCA-16","PARTIAL","Length=704","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-112","Coordinator","PCA-16","PARTIAL","Length=194","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-113","Coordinator","PCA-16","PARTIAL","Length=250","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-114","Coordinator","PCA-16","PARTIAL","Length=87","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-120","Coordinator","PCA-2;PCA-10","SOURCE_COMPLETE","Length=158","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-121","Coordinator","PCA-10","SOURCE_COMPLETE","Length=245","CLOSED_SOURCE_RECONCILIATION","Coordinator independently reconciled accepted source and test evidence; validation and independent review remain separate gates."
"PCA-FR-122","Coordinator","PCA-17","PARTIAL","Length=114","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-123","Writer74-76","PCA-17","SOURCE_COMPLETE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-124","Coordinator","PCA-12","PARTIAL","Length=113","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-125","Coordinator","PCA-12","PARTIAL","Length=53; Length=71","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-126","Coordinator","PCA-8;PCA-17","SOURCE_COMPLETE","Length=139; Length=125","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-127","Coordinator","PCA-17","PARTIAL","Length=91","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-130","Coordinator","PCA-3;PCA-10","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-131","Coordinator","PCA-2;PCA-10","NOT_STARTED","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-132","Coordinator","PCA-2;PCA-3","SOURCE_COMPLETE","Length=127","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-133","Coordinator","PCA-1","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-134","Coordinator","PCA-2;PCA-3","SOURCE_COMPLETE","Length=37; Length=32; Length=53; Length=65","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-135","Coordinator","PCA-7;PCA-10","PARTIAL","Length=198","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-136","Coordinator","PCA-17","SOURCE_COMPLETE","Length=156","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-137","Coordinator","PCA-17","PARTIAL","Length=62","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-138","Coordinator","PCA-11","PARTIAL","Length=79","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-139","Coordinator","PCA-10;PCA-11","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-140","Coordinator","PCA-1;PCA-11","PARTIAL","Length=131","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-FR-141","Coordinator","PCA-1;PCA-11","SOURCE_COMPLETE","Length=66; Length=60","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
