"FILE","LINE","TERMS","VISIBILITY","TERMINOLOGY_RESULT","REQUIREMENT_ID","NOTE"
"parent-web\src\i18n\locales\ar.json","173","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","174","العائلة; العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","175","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","176","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","181","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","186","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","194","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","198","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","199","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","206","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","216","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","217","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","218","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","250","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","265","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","275","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","280","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","281","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","284","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","295","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","314","child; طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","332","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","351","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","409","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","410","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","411","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","412","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","413","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","416","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","456","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","457","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","461","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","463","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","464","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","500","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","540","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","558","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","561","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","565","العائلة; العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","567","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","578","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","583","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","587","طفل; طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","588","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","600","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","601","والد; طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","604","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","605","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","612","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","3","Parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","7","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","15","children","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","21","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","25","children; Children","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","37","family; Family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","45","Parents","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","70","child; Child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","122","children; Children","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","140","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","143","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","146","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","159","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","165","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","170","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","171","family; family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","172","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","173","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","178","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","183","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","191","Family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","196","family; family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","203","child; children","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","213","Child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","214","Child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","247","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","262","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","272","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","277","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","278","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","281","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","292","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","311","child; Child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","329","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","348","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","404","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","406","Parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","407","Parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","408","Parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","409","family; parent; family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","410","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","413","Parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","453","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","454","Parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","458","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","460","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","461","parent","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","497","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","537","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","555","Family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","558","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","562","family; family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","564","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","575","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","580","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","584","child; child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","585","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","597","Parents","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","598","parent; child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","601","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","602","child","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","604","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","609","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\en.json","616","family","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
